Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations
1964,2,23570,-179.9,-38.2,22.0,22.0,22.0,22.0,1.0,0.0,2.0,1.0,19.0,19.0,19.0,19.0,1.0,0.0,2.0,1.0,12.84,12.84,12.84,12.84,1.0,0.0,2.0,1.0,93.9,93.9,93.9,93.9,1.0,0.0,2.0,1.0,13.0,13.0,13.0,13.0,1.0,0.0,2.0,1.0,8.36,8.36,8.36,8.36,1.0,0.0,2.0,1.0,-9.96,-9.96,-9.96,-9.96,1.0,0.0,2.0,1.0,1011.9,1011.9,1011.9,1011.9,1.0,0.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,2.0,1.0,108.6,108.6,108.6,108.6,1.0,0.0,2.0,1.0,-129.5,-129.5,-129.5,-129.5,1.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,39.0,39.0,39.0,39.0,1.0,0.0,2.0,1.0,3.65,3.65,3.65,3.65,1.0,0.0,2.0,1.0,47.4,47.4,47.4,47.4,1.0,0.0,2.0,1.0,30.5,30.5,30.5,30.5,1.0,0.0,2.0,1.0,-36.3,-36.3,-36.3,-36.3,1.0,0.0,2.0,1.0,2197.0,2197.0,2197.0,2197.0,1.0,0.0,2.0,1.0,2195.0,2195.0,2195.0,2195.0,1.0,0.0,2.0,1.0,158.8,158.8,158.8,158.8,1.0,0.0,2.0,1.0,-189.2,-189.2,-189.2,-189.2,1.0,0.0,2.0,1.0,107.3,107.3,107.3,107.3,1.0,0.0,2.0,1.0,-127.8,-127.8,-127.8,-127.8,1.0,0.0,2.0,1.0
1964,2,23570,-179.9,-34.3,21.1,21.1,21.1,21.1,1.0,0.0,20.0,1.0,19.25,19.8,20.35,19.8,2.0,1.13,10.0,0.5,10.46,11.39,12.31,11.39,2.0,1.92,10.0,0.5,75.9,79.6,83.3,79.6,2.0,7.7,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,1.0,0.0,20.0,1.0,2.1,2.1,2.1,2.1,1.0,0.0,20.0,1.0,2.74,2.74,2.74,2.74,1.0,0.0,20.0,1.0,11.2,11.2,11.2,11.2,1.0,0.0,20.0,1.0,-11.0,-11.0,-11.0,-11.0,1.0,0.0,20.0,1.0,1.9,1.9,1.9,1.9,1.0,0.0,20.0,1.0,185.5,436.5,687.5,436.5,2.0,520.0,10.0,0.5,185.0,435.0,690.0,435.0,2.0,520.0,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,2,23570,-179.9,-21.5,28.5,28.5,28.5,28.5,1.0,0.0,18.0,1.0,26.4,26.4,26.4,26.4,1.0,0.0,18.0,1.0,18.37,18.37,18.37,18.37,1.0,0.0,18.0,1.0,85.1,85.1,85.1,85.1,1.0,0.0,18.0,1.0,7.7,7.7,7.7,7.7,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-7.7,-7.7,-7.7,-7.7,1.0,0.0,18.0,1.0,1008.0,1008.0,1008.0,1008.0,1.0,0.0,18.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-59.3,-59.3,-59.3,-59.3,1.0,0.0,18.0,1.0,2.1,2.1,2.1,2.1,1.0,0.0,18.0,1.0,16.2,16.2,16.2,16.2,1.0,0.0,18.0,1.0,6.13,6.13,6.13,6.13,1.0,0.0,18.0,1.0,47.2,47.2,47.2,47.2,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-47.2,-47.2,-47.2,-47.2,1.0,0.0,18.0,1.0,456.5,456.5,456.5,456.5,1.0,0.0,18.0,1.0,455.0,455.0,455.0,455.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-203.3,-203.3,-203.3,-203.3,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-141.4,-141.4,-141.4,-141.4,1.0,0.0,18.0,1.0
1964,2,23570,-179.9,-17.1,29.0,29.0,29.0,29.0,1.0,0.0,24.0,0.0,27.33,27.6,27.87,27.6,2.0,0.57,24.0,0.0,18.45,19.18,19.9,19.18,2.0,1.5,24.0,0.0,81.0,82.8,84.5,82.8,2.0,3.6,24.0,0.0,6.7,6.7,6.7,6.7,2.0,0.0,24.0,0.0,2.04,3.93,5.82,3.93,2.0,3.91,24.0,0.0,1.05,3.3,5.55,3.3,2.0,4.67,24.0,0.0,1008.32,1008.8,1009.28,1008.8,2.0,0.99,24.0,0.0,4.6,6.0,7.4,6.0,2.0,2.8,24.0,0.0,13.7,26.3,39.0,26.3,2.0,26.2,24.0,0.0,7.0,22.1,37.2,22.1,2.0,31.3,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,24.0,0.0,6.7,6.7,6.7,6.7,1.0,0.0,24.0,0.0,4.99,4.99,4.99,4.99,1.0,0.0,24.0,0.0,33.4,33.4,33.4,33.4,1.0,0.0,24.0,0.0,33.4,33.4,33.4,33.4,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,301.0,301.0,301.0,301.0,2.0,0.0,24.0,0.0,300.0,300.0,300.0,300.0,2.0,0.0,24.0,0.0,56.4,109.6,162.9,109.6,2.0,110.3,24.0,0.0,28.5,89.7,151.0,89.7,2.0,126.9,24.0,0.0,39.2,78.3,117.4,78.3,2.0,81.0,24.0,0.0,19.0,59.8,100.6,59.8,2.0,84.5,24.0,0.0
1964,2,23570,-179.8,-41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-11.7,-11.7,-11.7,-11.7,1.0,0.0,2.0,1.0,129.5,199.0,268.5,199.0,2.0,144.0,16.0,1.0,130.0,200.0,270.0,200.0,2.0,145.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,2,23570,-179.8,-28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.5,-0.5,-0.5,1.0,0.0,10.0,1.0,-6.1,-6.1,-6.1,-6.1,1.0,0.0,10.0,1.0,0.2,0.2,0.2,0.2,1.0,0.0,10.0,1.0,2.5,2.5,2.5,2.5,1.0,0.0,10.0,1.0,-2.4,-2.4,-2.4,-2.4,1.0,0.0,10.0,1.0,0.4,0.4,0.4,0.4,1.0,0.0,10.0,1.0,548.5,1081.0,1613.5,1081.0,2.0,1103.0,16.0,1.0,550.0,1080.0,1615.0,1080.0,2.0,1105.0,16.0,1.0,-268.9,-268.9,-268.9,-268.9,1.0,0.0,10.0,1.0,47.4,47.4,47.4,47.4,1.0,0.0,10.0,1.0,-195.2,-195.2,-195.2,-195.2,1.0,0.0,10.0,1.0,34.4,34.4,34.4,34.4,1.0,0.0,10.0,1.0
1964,2,23570,-179.8,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.3,9.3,9.3,1.0,0.0,10.0,1.0,-7.12,-7.12,-7.12,-7.12,1.0,0.0,10.0,1.0,-5.98,-5.98,-5.98,-5.98,1.0,0.0,10.0,1.0,1008.1,1008.1,1008.1,1008.1,1.0,0.0,10.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,10.0,1.0,-66.3,-66.3,-66.3,-66.3,1.0,0.0,10.0,1.0,-55.6,-55.6,-55.6,-55.6,1.0,0.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-205.9,-205.9,-205.9,-205.9,1.0,0.0,10.0,1.0,-172.8,-172.8,-172.8,-172.8,1.0,0.0,10.0,1.0,-152.2,-152.2,-152.2,-152.2,1.0,0.0,10.0,1.0,-127.7,-127.7,-127.7,-127.7,1.0,0.0,10.0,1.0
1964,2,23570,-179.8,18.0,26.1,26.1,26.1,26.1,1.0,0.0,20.0,0.0,25.0,25.0,25.0,25.0,1.0,0.0,20.0,0.0,14.91,14.91,14.91,14.91,1.0,0.0,20.0,0.0,75.6,75.6,75.6,75.6,1.0,0.0,20.0,0.0,6.7,6.7,6.7,6.7,1.0,0.0,20.0,0.0,-6.3,-6.3,-6.3,-6.3,1.0,0.0,20.0,0.0,-2.29,-2.29,-2.29,-2.29,1.0,0.0,20.0,0.0,1013.2,1013.2,1013.2,1013.2,1.0,0.0,20.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,20.0,0.0,-42.2,-42.2,-42.2,-42.2,1.0,0.0,20.0,0.0,-15.4,-15.4,-15.4,-15.4,1.0,0.0,20.0,0.0,1.1,1.1,1.1,1.1,1.0,0.0,20.0,0.0,7.4,7.4,7.4,7.4,1.0,0.0,20.0,0.0,6.22,6.22,6.22,6.22,1.0,0.0,20.0,0.0,41.7,41.7,41.7,41.7,1.0,0.0,20.0,0.0,-39.1,-39.1,-39.1,-39.1,1.0,0.0,20.0,0.0,-14.2,-14.2,-14.2,-14.2,1.0,0.0,20.0,0.0,301.0,301.0,301.0,301.0,1.0,0.0,20.0,0.0,300.0,300.0,300.0,300.0,1.0,0.0,20.0,0.0,-157.4,-157.4,-157.4,-157.4,1.0,0.0,20.0,0.0,-57.3,-57.3,-57.3,-57.3,1.0,0.0,20.0,0.0,-93.9,-93.9,-93.9,-93.9,1.0,0.0,20.0,0.0,-34.2,-34.2,-34.2,-34.2,1.0,0.0,20.0,0.0
1964,2,23570,-179.8,19.9,25.6,25.6,25.6,25.6,1.0,0.0,2.0,0.0,23.9,23.9,23.9,23.9,1.0,0.0,2.0,0.0,14.06,14.06,14.06,14.06,1.0,0.0,2.0,0.0,76.4,76.4,76.4,76.4,1.0,0.0,2.0,0.0,3.1,3.1,3.1,3.1,1.0,0.0,2.0,0.0,-1.99,-1.99,-1.99,-1.99,1.0,0.0,2.0,0.0,2.37,2.37,2.37,2.37,1.0,0.0,2.0,0.0,1015.2,1015.2,1015.2,1015.2,1.0,0.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,-6.2,-6.2,-6.2,-6.2,1.0,0.0,2.0,0.0,7.4,7.4,7.4,7.4,1.0,0.0,2.0,0.0,1.7,1.7,1.7,1.7,1.0,0.0,2.0,0.0,5.3,5.3,5.3,5.3,1.0,0.0,2.0,0.0,6.4,6.4,6.4,6.4,1.0,0.0,2.0,0.0,19.8,19.8,19.8,19.8,1.0,0.0,2.0,0.0,-12.7,-12.7,-12.7,-12.7,1.0,0.0,2.0,0.0,15.2,15.2,15.2,15.2,1.0,0.0,2.0,0.0,30.0,30.0,30.0,30.0,1.0,0.0,2.0,0.0,30.0,30.0,30.0,30.0,1.0,0.0,2.0,0.0,-47.6,-47.6,-47.6,-47.6,1.0,0.0,2.0,0.0,56.8,56.8,56.8,56.8,1.0,0.0,2.0,0.0,-28.0,-28.0,-28.0,-28.0,1.0,0.0,2.0,0.0,33.4,33.4,33.4,33.4,1.0,0.0,2.0,0.0
1964,2,23570,-179.8,39.5,9.79,11.55,12.56,11.23,6.0,1.49,16.0,0.3,6.35,8.0,10.65,8.95,6.0,4.23,16.0,0.3,5.56,6.46,7.35,6.46,2.0,1.86,16.0,0.5,66.8,74.0,81.3,74.0,2.0,15.0,16.0,0.5,9.37,12.05,17.21,12.77,6.0,4.02,16.0,0.3,2.48,9.75,13.27,8.65,6.0,6.31,16.0,0.3,0.0,0.0,11.44,4.59,6.0,7.54,16.0,0.3,997.94,1007.75,1013.67,1006.03,6.0,9.77,16.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,-1.22,4.0,5.62,2.28,6.0,4.58,16.0,0.3,-21.9,34.0,72.9,21.7,6.0,71.8,16.0,0.3,1.14,2.31,3.48,2.31,2.0,2.43,16.0,0.5,19.9,39.6,59.3,39.6,2.0,40.8,16.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,67.9,111.4,66.5,6.0,44.4,16.0,0.3,0.0,0.0,132.2,64.9,6.0,121.1,16.0,0.3,34.3,55.8,77.4,55.8,2.0,44.6,16.0,0.5,21.9,68.9,115.9,68.9,2.0,97.4,16.0,0.5
