Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations
1966,5,23597,-179.9,-47.8,14.6,14.6,14.6,14.6,1.0,0.0,26.0,1.0,8.9,8.9,8.9,8.9,1.0,0.0,26.0,1.0,5.63,5.63,5.63,5.63,1.0,0.0,26.0,1.0,79.2,79.2,79.2,79.2,1.0,0.0,26.0,1.0,3.6,3.6,3.6,3.6,1.0,0.0,26.0,1.0,-3.12,-3.12,-3.12,-3.12,1.0,0.0,26.0,1.0,1.8,1.8,1.8,1.8,1.0,0.0,26.0,1.0,1005.4,1005.4,1005.4,1005.4,1.0,0.0,26.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,26.0,1.0,-11.2,-11.2,-11.2,-11.2,1.0,0.0,26.0,1.0,6.5,6.5,6.5,6.5,1.0,0.0,26.0,1.0,-27.7,-27.7,-27.7,-27.7,1.0,0.0,26.0,1.0,16.0,16.0,16.0,16.0,1.0,0.0,26.0,1.0,-17.6,-17.6,-17.6,-17.6,1.0,0.0,26.0,1.0,10.1,10.1,10.1,10.1,1.0,0.0,26.0,1.0,-14.8,-14.8,-14.8,-14.8,1.0,0.0,26.0,1.0,8.6,8.6,8.6,8.6,1.0,0.0,26.0,1.0,46.5,46.5,46.5,46.5,1.0,0.0,26.0,1.0,45.0,45.0,45.0,45.0,1.0,0.0,26.0,1.0,5.7,5.7,5.7,5.7,1.0,0.0,26.0,1.0,20.5,20.5,20.5,20.5,1.0,0.0,26.0,1.0,4.75,4.75,4.75,4.75,1.0,0.0,26.0,1.0,17.1,17.1,17.1,17.1,1.0,0.0,26.0,1.0
1966,5,23597,-179.9,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.6,1.0,0.0,30.0,0.0,-2.56,-2.56,-2.56,-2.56,1.0,0.0,30.0,0.0,-0.45,-0.45,-0.45,-0.45,1.0,0.0,30.0,0.0,1008.8,1008.8,1008.8,1008.8,1.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,5,23597,-179.9,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.1,5.1,1.0,0.0,30.0,0.0,-5.02,-5.02,-5.02,-5.02,1.0,0.0,30.0,0.0,-0.89,-0.89,-0.89,-0.89,1.0,0.0,30.0,0.0,1008.5,1008.5,1008.5,1008.5,1.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,5,23597,-179.9,-1.6,29.84,30.15,30.46,30.15,2.0,0.64,24.0,1.0,27.64,28.6,29.56,28.6,2.0,1.98,24.0,1.0,20.78,20.78,20.78,20.78,1.0,0.0,18.0,1.0,78.2,78.2,78.2,78.2,1.0,0.0,18.0,1.0,2.07,3.3,4.53,3.3,2.0,2.55,24.0,1.0,-4.46,-3.25,-2.04,-3.25,2.0,2.51,24.0,1.0,-0.79,-0.57,-0.36,-0.57,2.0,0.44,24.0,1.0,1008.98,1010.0,1011.02,1010.0,2.0,2.12,24.0,1.0,2.3,3.0,3.7,3.0,2.0,1.4,24.0,1.0,-21.9,-13.9,-5.9,-13.9,2.0,16.5,24.0,1.0,-3.9,-2.5,-1.0,-2.5,2.0,2.9,24.0,1.0,-122.0,-90.5,-59.0,-90.5,2.0,65.3,24.0,1.0,-21.5,-16.0,-10.4,-16.0,2.0,11.5,24.0,1.0,-30.7,-30.7,-30.7,-30.7,1.0,0.0,18.0,1.0,-5.4,-5.4,-5.4,-5.4,1.0,0.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,1.55,2.81,1.55,2.0,2.62,24.0,1.0,2.4,8.4,14.5,8.4,2.0,12.6,24.0,1.0,5.41,5.41,5.41,5.41,1.0,0.0,18.0,1.0,8.1,8.1,8.1,8.1,1.0,0.0,18.0,1.0
1966,5,23597,-179.9,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,-8.0,-8.0,-8.0,1.0,0.0,18.0,1.0,-1.4,-1.4,-1.4,-1.4,1.0,0.0,18.0,1.0,24.0,68.0,112.0,68.0,2.0,91.5,24.0,1.0,25.0,70.0,110.0,70.0,2.0,90.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,5,23597,-179.9,38.5,12.8,12.8,12.8,12.8,1.0,0.0,4.0,0.0,12.2,12.2,12.2,12.2,1.0,0.0,4.0,0.0,6.62,6.62,6.62,6.62,1.0,0.0,4.0,0.0,76.0,76.0,76.0,76.0,1.0,0.0,4.0,0.0,11.3,11.3,11.3,11.3,1.0,0.0,4.0,0.0,3.86,3.86,3.86,3.86,1.0,0.0,4.0,0.0,-10.62,-10.62,-10.62,-10.62,1.0,0.0,4.0,0.0,1023.4,1023.4,1023.4,1023.4,1.0,0.0,4.0,0.0,6.0,6.0,6.0,6.0,1.0,0.0,4.0,0.0,43.7,43.7,43.7,43.7,1.0,0.0,4.0,0.0,-120.0,-120.0,-120.0,-120.0,1.0,0.0,4.0,0.0,47.2,47.2,47.2,47.2,1.0,0.0,4.0,0.0,-129.5,-129.5,-129.5,-129.5,1.0,0.0,4.0,0.0,25.6,25.6,25.6,25.6,1.0,0.0,4.0,0.0,-70.3,-70.3,-70.3,-70.3,1.0,0.0,4.0,0.0,9.5,9.5,9.5,9.5,1.0,0.0,4.0,0.0,-26.0,-26.0,-26.0,-26.0,1.0,0.0,4.0,0.0,1443.0,1443.0,1443.0,1443.0,1.0,0.0,4.0,0.0,1445.0,1445.0,1445.0,1445.0,1.0,0.0,4.0,0.0,0.6,0.6,0.6,0.6,1.0,0.0,4.0,0.0,6.8,6.8,6.8,6.8,1.0,0.0,4.0,0.0,2.45,2.45,2.45,2.45,1.0,0.0,4.0,0.0,27.7,27.7,27.7,27.7,1.0,0.0,4.0,0.0
1966,5,23597,-179.8,-34.2,18.3,18.3,18.3,18.3,1.0,0.0,26.0,0.0,16.95,17.5,18.05,17.5,2.0,1.13,18.0,0.5,8.49,9.19,9.88,9.19,2.0,1.44,18.0,0.5,69.6,72.8,76.0,72.8,2.0,6.6,18.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2,104.2,104.2,104.2,1.0,0.0,26.0,0.0,37.9,37.9,37.9,37.9,1.0,0.0,26.0,0.0,1614.0,5047.5,8481.0,5047.5,2.0,7113.5,18.0,0.5,1615.0,5050.0,8480.0,5050.0,2.0,7115.0,18.0,0.5,1.6,1.6,1.6,1.6,1.0,0.0,26.0,0.0,34.6,34.6,34.6,34.6,1.0,0.0,26.0,0.0,5.14,5.14,5.14,5.14,1.0,0.0,26.0,0.0,110.9,110.9,110.9,110.9,1.0,0.0,26.0,0.0
1966,5,23597,-179.8,21.5,25.0,25.0,25.0,25.0,1.0,0.0,6.0,1.0,26.1,26.1,26.1,26.1,1.0,0.0,6.0,1.0,14.93,14.93,14.93,14.93,1.0,0.0,6.0,1.0,71.3,71.3,71.3,71.3,1.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-201.1,-201.1,-201.1,-201.1,1.0,0.0,6.0,1.0,-73.2,-73.2,-73.2,-73.2,1.0,0.0,6.0,1.0,-115.0,-115.0,-115.0,-115.0,1.0,0.0,6.0,1.0,-41.9,-41.9,-41.9,-41.9,1.0,0.0,6.0,1.0,-36.6,-36.6,-36.6,-36.6,1.0,0.0,6.0,1.0,-13.3,-13.3,-13.3,-13.3,1.0,0.0,6.0,1.0,199.0,342.0,485.0,342.0,2.0,296.0,6.0,1.0,200.0,340.0,485.0,340.0,2.0,295.0,6.0,1.0,-1.1,-1.1,-1.1,-1.1,1.0,0.0,6.0,1.0,-9.0,-9.0,-9.0,-9.0,1.0,0.0,6.0,1.0,4.75,4.75,4.75,4.75,1.0,0.0,6.0,1.0,38.9,38.9,38.9,38.9,1.0,0.0,6.0,1.0
1966,5,23597,-179.8,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.5,1.0,0.0,24.0,0.0,-0.4,-0.4,-0.4,-0.4,1.0,0.0,24.0,0.0,978.0,2164.5,4334.0,2633.5,4.0,2332.5,28.0,0.8,980.0,2165.0,4335.0,2635.0,4.0,2335.0,28.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,5,23597,-179.8,59.6,2.0,2.0,2.0,2.0,1.0,0.0,20.0,1.0,1.8,1.8,1.8,1.8,1.0,0.0,20.0,1.0,3.46,3.46,3.46,3.46,1.0,0.0,20.0,1.0,79.9,79.9,79.9,79.9,1.0,0.0,20.0,1.0,8.2,8.2,8.2,8.2,1.0,0.0,20.0,1.0,1.42,1.42,1.42,1.42,1.0,0.0,20.0,1.0,-8.08,-8.08,-8.08,-8.08,1.0,0.0,20.0,1.0,1006.4,1006.4,1006.4,1006.4,1.0,0.0,20.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,20.0,1.0,11.7,11.7,11.7,11.7,1.0,0.0,20.0,1.0,-66.2,-66.2,-66.2,-66.2,1.0,0.0,20.0,1.0,2.6,2.6,2.6,2.6,1.0,0.0,20.0,1.0,-14.5,-14.5,-14.5,-14.5,1.0,0.0,20.0,1.0,4.9,4.9,4.9,4.9,1.0,0.0,20.0,1.0,-27.9,-27.9,-27.9,-27.9,1.0,0.0,20.0,1.0,1.3,1.3,1.3,1.3,1.0,0.0,20.0,1.0,-7.6,-7.6,-7.6,-7.6,1.0,0.0,20.0,1.0,551.5,551.5,551.5,551.5,1.0,0.0,20.0,1.0,550.0,550.0,550.0,550.0,1.0,0.0,20.0,1.0,0.2,0.2,0.2,0.2,1.0,0.0,20.0,1.0,1.6,1.6,1.6,1.6,1.0,0.0,20.0,1.0,0.94,0.94,0.94,0.94,1.0,0.0,20.0,1.0,7.7,7.7,7.7,7.7,1.0,0.0,20.0,1.0
