Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations
1966,8,23600,-179.9,-17.1,24.4,24.4,24.4,24.4,1.0,0.0,16.0,0.0,23.3,23.3,23.3,23.3,1.0,0.0,16.0,0.0,13.87,13.87,13.87,13.87,1.0,0.0,16.0,0.0,78.2,78.2,78.2,78.2,1.0,0.0,16.0,0.0,5.7,5.7,5.7,5.7,1.0,0.0,16.0,0.0,-5.7,-5.7,-5.7,-5.7,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1016.6,1016.6,1016.6,1016.6,1.0,0.0,16.0,0.0,1.1,1.1,1.1,1.1,1.0,0.0,16.0,0.0,6.3,6.3,6.3,6.3,1.0,0.0,16.0,0.0,5.13,5.13,5.13,5.13,1.0,0.0,16.0,0.0,29.3,29.3,29.3,29.3,1.0,0.0,16.0,0.0,-132.8,-132.8,-132.8,-132.8,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,-79.1,-79.1,-79.1,-79.1,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,-29.3,-29.3,-29.3,-29.3,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,185.0,185.0,185.0,185.0,1.0,0.0,16.0,0.0,185.0,185.0,185.0,185.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,-32.5,-32.5,-32.5,-32.5,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0
1966,8,23600,-179.8,-43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.6,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,2.6,2.6,2.6,2.6,1.0,0.0,10.0,0.0,1027.0,1027.0,1027.0,1027.0,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,20.8,20.8,20.8,20.8,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,15.7,15.7,15.7,15.7,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,6.8,6.8,6.8,6.8,1.0,0.0,10.0,0.0
1966,8,23600,-179.8,22.4,28.05,28.15,28.25,28.15,2.0,0.21,20.0,1.0,26.29,26.9,27.51,26.9,2.0,1.27,20.0,1.0,17.57,17.59,17.61,17.59,2.0,0.05,20.0,1.0,77.0,80.1,83.1,80.1,2.0,6.3,20.0,1.0,7.7,7.7,7.7,7.7,2.0,0.0,20.0,1.0,-7.63,-7.47,-7.31,-7.47,2.0,0.33,20.0,1.0,-2.22,-1.32,-0.42,-1.32,2.0,1.86,20.0,1.0,1016.98,1017.8,1018.62,1017.8,2.0,1.7,20.0,1.0,0.74,1.25,1.76,1.25,2.0,1.06,20.0,1.0,5.7,9.6,13.6,9.6,2.0,8.2,20.0,1.0,5.99,6.17,6.36,6.17,2.0,0.38,20.0,1.0,46.1,47.5,49.0,47.5,2.0,3.0,20.0,1.0,-209.9,-201.1,-192.2,-201.1,2.0,18.3,20.0,1.0,-57.6,-34.2,-10.9,-34.2,2.0,48.4,20.0,1.0,-134.0,-131.3,-128.7,-131.3,2.0,5.4,20.0,1.0,-39.0,-23.2,-7.4,-23.2,2.0,32.8,20.0,1.0,-48.5,-46.2,-43.8,-46.2,2.0,4.9,20.0,1.0,-13.1,-7.8,-2.5,-7.8,2.0,11.0,20.0,1.0,456.5,456.5,456.5,456.5,2.0,0.0,20.0,1.0,455.0,455.0,455.0,455.0,2.0,0.0,20.0,1.0,4.5,5.5,6.5,5.5,2.0,2.1,20.0,1.0,-58.7,-57.5,-56.3,-57.5,2.0,2.5,20.0,1.0,-17.1,-10.1,-3.2,-10.1,2.0,14.3,20.0,1.0
1966,8,23600,-179.8,28.4,26.78,26.95,27.12,26.95,2.0,0.35,10.0,0.5,25.6,25.6,27.1,26.33,3.0,1.27,14.0,0.7,16.64,16.66,18.67,17.63,3.0,1.7,14.0,0.7,82.0,82.0,83.5,82.7,3.0,1.3,14.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,0.25,1.17,0.25,2.0,1.91,10.0,0.5,-3.7,3.2,10.0,3.2,2.0,14.1,10.0,0.5,2.8,3.99,5.19,3.99,2.0,2.48,10.0,0.5,19.2,30.5,41.8,30.5,2.0,23.5,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.2,-30.1,-19.0,-30.1,2.0,23.0,10.0,0.5,-6.9,-4.1,-1.3,-4.1,2.0,5.8,10.0,0.5,122.5,238.5,452.0,286.0,3.0,245.0,14.0,0.7,125.0,240.0,450.0,285.0,3.0,245.0,14.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
1966,8,23600,-179.7,-41.2,12.2,12.2,12.2,12.2,2.0,0.0,14.0,0.5,9.6,9.6,10.08,9.83,3.0,0.4,12.0,0.7,5.33,5.33,6.67,5.99,3.0,1.14,12.0,0.7,73.0,73.0,86.6,79.6,3.0,11.5,12.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.6,2.0,0.0,14.0,0.5,12.0,12.0,12.0,12.0,2.0,0.0,14.0,0.5,3.37,3.37,3.37,3.37,2.0,0.0,14.0,0.5,15.5,15.5,15.5,15.5,2.0,0.0,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3,-5.3,-5.3,-5.3,2.0,0.0,14.0,0.5,-14.6,-14.6,-14.6,-14.6,2.0,0.0,14.0,0.5,97.5,97.5,1864.0,960.0,3.0,1494.5,12.0,0.7,95.0,95.0,1865.0,960.0,3.0,1495.0,12.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
1966,8,23600,-179.7,-39.8,11.7,11.7,11.7,11.7,1.0,0.0,14.0,1.0,12.8,12.8,12.8,12.8,1.0,0.0,14.0,1.0,7.12,7.12,7.12,7.12,1.0,0.0,14.0,1.0,78.2,78.2,78.2,78.2,1.0,0.0,14.0,1.0,2.6,2.6,2.6,2.6,1.0,0.0,14.0,1.0,1.67,1.67,1.67,1.67,1.0,0.0,14.0,1.0,-1.99,-1.99,-1.99,-1.99,1.0,0.0,14.0,1.0,1017.7,1017.7,1017.7,1017.7,1.0,0.0,14.0,1.0,-1.1,-1.1,-1.1,-1.1,1.0,0.0,14.0,1.0,-2.9,-2.9,-2.9,-2.9,1.0,0.0,14.0,1.0,1.36,1.36,1.36,1.36,1.0,0.0,14.0,1.0,3.5,3.5,3.5,3.5,1.0,0.0,14.0,1.0,21.4,21.4,21.4,21.4,1.0,0.0,14.0,1.0,-25.5,-25.5,-25.5,-25.5,1.0,0.0,14.0,1.0,11.9,11.9,11.9,11.9,1.0,0.0,14.0,1.0,-14.2,-14.2,-14.2,-14.2,1.0,0.0,14.0,1.0,2.3,2.3,2.3,2.3,1.0,0.0,14.0,1.0,-2.7,-2.7,-2.7,-2.7,1.0,0.0,14.0,1.0,17.5,17.5,17.5,17.5,1.0,0.0,14.0,1.0,20.0,20.0,20.0,20.0,1.0,0.0,14.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,14.0,1.0,4.3,4.3,4.3,4.3,1.0,0.0,14.0,1.0,-5.2,-5.2,-5.2,-5.2,1.0,0.0,14.0,1.0
1966,8,23600,-179.7,-34.2,14.25,15.0,16.79,15.5,5.0,1.61,20.0,0.6,14.0,14.4,16.17,15.02,5.0,1.31,20.0,0.6,8.41,9.12,9.76,9.06,5.0,0.8,20.0,0.6,76.5,82.3,96.8,85.7,5.0,11.5,20.0,0.6,2.38,7.7,10.67,6.78,5.0,4.3,20.0,0.6,2.24,7.58,9.97,6.4,5.0,4.01,20.0,0.6,-1.05,-0.68,2.06,0.55,5.0,2.89,20.0,0.6,1007.1,1011.5,1011.9,1009.34,5.0,4.96,20.0,0.6,-0.26,0.0,1.4,0.48,5.0,1.09,20.0,0.6,-2.0,0.0,15.2,5.7,5.0,11.6,20.0,0.6,0.33,1.48,3.79,1.95,5.0,1.84,20.0,0.6,0.9,11.4,41.3,19.2,5.0,20.9,20.0,0.6,31.9,119.1,150.9,98.5,5.0,65.2,20.0,0.6,-15.8,-9.6,28.9,7.1,5.0,40.9,20.0,0.6,21.8,69.2,81.9,55.7,5.0,32.4,20.0,0.6,-9.9,-6.8,16.3,3.4,5.0,23.5,20.0,0.6,0.8,11.2,37.9,18.0,5.0,19.7,20.0,0.6,-1.0,0.0,7.4,3.6,5.0,9.4,20.0,0.6,14.0,456.5,1220.5,603.5,5.0,645.0,20.0,0.6,15.0,455.0,1220.0,605.0,5.0,645.0,20.0,0.6,0.6,1.0,3.2,2.0,5.0,2.8,20.0,0.6,5.4,58.4,107.7,57.0,5.0,51.7,20.0,0.6,-5.2,-1.4,23.3,10.0,5.0,30.4,20.0,0.6
1966,8,23600,-179.7,-19.3,24.07,24.45,24.83,24.45,2.0,0.78,14.0,0.0,22.63,22.7,23.79,23.2,3.0,0.95,20.0,0.3,12.16,12.17,14.6,13.35,3.0,2.06,20.0,0.3,71.2,71.5,79.6,75.3,3.0,7.0,20.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.95,1.87,0.95,2.0,1.91,14.0,0.0,-0.4,4.5,9.4,4.5,2.0,10.2,14.0,0.0,3.49,5.15,6.81,5.15,2.0,3.43,14.0,0.0,21.5,28.4,35.4,28.4,2.0,14.4,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.2,-4.5,3.1,-4.5,2.0,15.9,14.0,0.0,-1.6,14.5,30.6,14.5,2.0,33.4,14.0,0.0,186.0,301.0,350.0,269.0,3.0,123.5,20.0,0.3,185.0,300.0,350.0,270.0,3.0,125.0,20.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
1966,8,23600,-179.7,-0.1999999999999999,28.0,28.0,28.0,28.0,1.0,0.0,16.0,1.0,29.08,29.25,29.42,29.25,2.0,0.35,10.0,1.0,19.72,19.72,19.72,19.72,1.0,0.0,4.0,1.0,76.3,76.3,76.3,76.3,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,8,23600,-179.7,21.7,27.99,28.4,28.81,28.4,2.0,0.85,12.0,1.0,26.88,28.55,30.22,28.55,2.0,3.46,12.0,1.0,16.76,16.97,17.17,16.97,2.0,0.43,12.0,1.0,64.5,70.4,76.4,70.4,2.0,12.3,12.0,1.0,7.28,7.45,7.62,7.45,2.0,0.35,12.0,1.0,-7.62,-7.45,-7.28,-7.45,2.0,0.35,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,1013.42,1013.9,1014.38,1013.9,2.0,0.99,12.0,1.0,-1.41,-0.15,1.11,-0.15,2.0,2.62,12.0,1.0,-10.0,-0.7,8.7,-0.7,2.0,19.4,12.0,1.0,6.88,7.25,7.62,7.25,2.0,0.76,12.0,1.0,52.4,53.9,55.4,53.9,2.0,3.1,12.0,1.0,-219.7,-212.1,-204.5,-212.1,2.0,15.7,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,-127.7,-126.3,-125.0,-126.3,2.0,2.8,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,-55.4,-53.9,-52.4,-53.9,2.0,3.1,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,386.5,415.0,443.5,415.0,2.0,59.0,12.0,1.0,385.0,415.0,445.0,415.0,2.0,60.0,12.0,1.0,2.2,2.5,2.8,2.5,2.0,0.7,12.0,1.0,-58.1,-55.6,-53.0,-55.6,2.0,5.3,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0
