Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations
1972,11,23675,-179.9,-41.1,8.7,8.7,8.7,8.7,1.0,0.0,18.0,1.0,5.59,5.59,5.59,5.59,1.0,0.0,18.0,1.0,6.66,6.66,6.66,6.66,1.0,0.0,18.0,1.0,1023.9,1023.9,1023.9,1023.9,1.0,0.0,18.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,18.0,1.0,56.7,56.7,56.7,56.7,1.0,0.0,18.0,1.0,48.7,48.7,48.7,48.7,1.0,0.0,18.0,1.0,58.0,58.0,58.0,58.0,1.0,0.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,91.2,91.2,91.2,1.0,0.0,18.0,1.0,108.6,108.6,108.6,108.6,1.0,0.0,18.0,1.0,36.0,36.0,36.0,36.0,1.0,0.0,18.0,1.0,42.9,42.9,42.9,42.9,1.0,0.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,11,23675,-179.9,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,21.8,21.8,21.8,1.0,0.0,18.0,0.0,22.66,23.0,23.34,23.0,2.0,0.71,12.0,0.5,12.86,12.86,12.86,12.86,1.0,0.0,8.0,1.0
1972,11,23675,-179.9,-27.4,7.28,7.45,7.62,7.45,2.0,0.35,12.0,0.5,-4.03,-0.83,2.36,-0.83,2.0,6.62,12.0,0.5,-2.84,1.02,4.88,1.02,2.0,7.99,12.0,0.5,1012.09,1016.6,1021.11,1016.6,2.0,9.33,12.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,-16.8,56.4,-16.8,2.0,151.7,12.0,0.5,-62.7,26.3,115.3,26.3,2.0,184.4,12.0,0.5,49.5,49.5,49.5,49.5,1.0,0.0,8.0,1.0,85.8,85.8,85.8,85.8,1.0,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,11,23675,-179.9,-27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,1.0,0.0,8.0,1.0,71.3,71.3,71.3,71.3,1.0,0.0,8.0,1.0,-28.7,-5.0,18.6,-5.0,2.0,49.0,12.0,0.5,-19.9,9.0,37.9,9.0,2.0,59.9,12.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,11,23675,-179.9,13.7,5.1,5.1,5.1,5.1,1.0,0.0,8.0,0.0,-4.79,-4.79,-4.79,-4.79,1.0,0.0,8.0,0.0,1.74,1.74,1.74,1.74,1.0,0.0,8.0,0.0,1010.5,1010.5,1010.5,1010.5,1.0,0.0,8.0,0.0,5.0,5.0,5.0,5.0,1.0,0.0,8.0,0.0,84.3,84.3,84.3,84.3,1.0,0.0,8.0,0.0,-24.4,-24.4,-24.4,-24.4,1.0,0.0,8.0,0.0,8.9,8.9,8.9,8.9,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,3.84,3.84,3.84,3.84,1.0,0.0,8.0,0.0,19.6,19.6,19.6,19.6,1.0,0.0,8.0,0.0,-135.6,-135.6,-135.6,-135.6,1.0,0.0,8.0,0.0,49.4,49.4,49.4,49.4,1.0,0.0,8.0,0.0,-97.3,-97.3,-97.3,-97.3,1.0,0.0,8.0,0.0,35.4,35.4,35.4,35.4,1.0,0.0,8.0,0.0,-18.4,-18.4,-18.4,-18.4,1.0,0.0,8.0,0.0,6.7,6.7,6.7,6.7,1.0,0.0,8.0,0.0,132.5,132.5,132.5,132.5,1.0,0.0,8.0,0.0,135.0,135.0,135.0,135.0,1.0,0.0,8.0,0.0,28.3,28.3,28.3,28.3,1.0,0.0,8.0,0.0,28.3,28.3,28.3,28.3,1.0,0.0,8.0,0.0,20.31,20.31,20.31,20.31,1.0,0.0,8.0,0.0
1972,11,23675,-179.8,-43.5,5.1,7.0,9.16,7.63,7.0,2.58,12.0,0.6,-0.21,6.66,7.04,4.16,7.0,4.61,12.0,0.6,-2.72,0.0,5.96,1.72,7.0,5.44,12.0,0.6,1016.0,1022.3,1025.02,1022.29,7.0,5.3,12.0,0.6,0.0,6.0,8.0,4.9,7.0,3.6,12.0,0.6,89.7,90.3,94.7,92.2,3.0,4.0,8.0,0.7,-1.1,49.0,63.7,38.5,7.0,40.5,12.0,0.6,-14.2,0.0,55.1,23.6,7.0,52.1,12.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,82.7,85.5,55.3,7.0,56.6,12.0,0.6,-29.5,0.0,70.6,16.1,7.0,61.8,12.0,0.6,-22.5,0.0,34.5,5.9,3.0,42.1,8.0,0.7,-42.5,-19.0,35.1,-4.0,3.0,58.3,8.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,11,23675,-179.8,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8,-20.8,-20.8,-20.8,1.0,0.0,30.0,1.0,-17.4,-17.4,-17.4,-17.4,1.0,0.0,30.0,1.0,349.0,1000.0,1587.5,969.0,3.0,907.5,16.0,1.0,350.0,1000.0,1590.0,970.0,3.0,905.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1972,11,23675,-179.8,18.3,8.95,10.55,12.15,10.55,2.0,3.32,8.0,0.0,-11.2,-9.2,-7.21,-9.2,2.0,4.13,8.0,0.0,-5.13,-4.84,-4.55,-4.84,2.0,0.61,8.0,0.0,1012.9,1013.75,1014.6,1013.75,2.0,1.77,8.0,0.0,5.2,5.5,5.8,5.5,2.0,0.7,8.0,0.0,70.7,71.4,72.1,71.4,2.0,1.5,8.0,0.0,-139.7,-103.9,-68.2,-103.9,2.0,74.2,8.0,0.0,-54.7,-50.1,-45.4,-50.1,2.0,9.7,8.0,0.0,0.39,1.45,2.51,1.45,2.0,2.19,8.0,0.0,2.8,11.7,20.5,11.7,2.0,18.3,8.0,0.0,7.0,8.36,9.72,8.36,2.0,2.82,8.0,0.0,82.6,83.6,84.5,83.6,2.0,1.9,8.0,0.0,-309.4,-250.2,-190.9,-250.2,2.0,122.8,8.0,0.0,-134.8,-129.8,-124.9,-129.8,2.0,10.2,8.0,0.0,-186.9,-148.5,-110.2,-148.5,2.0,79.5,8.0,0.0,-77.0,-76.0,-75.0,-76.0,2.0,2.1,8.0,0.0,-75.3,-71.1,-67.0,-71.1,2.0,8.6,8.0,0.0,-50.4,-41.3,-32.3,-41.3,2.0,18.7,8.0,0.0,804.5,1349.0,1893.5,1349.0,2.0,1128.0,8.0,0.0,805.0,1350.0,1895.0,1350.0,2.0,1130.0,8.0,0.0,27.91,28.35,28.79,28.35,2.0,0.92,8.0,0.0,26.29,26.9,27.51,26.9,2.0,1.27,8.0,0.0,15.04,15.79,16.54,15.79,2.0,1.55,8.0,0.0
1972,11,23675,-179.8,43.7,6.83,10.55,14.27,10.55,2.0,7.71,12.0,0.5,0.24,6.24,12.24,6.24,2.0,12.43,12.0,0.5,-3.9,-0.53,2.85,-0.53,2.0,6.99,12.0,0.5,1001.06,1007.65,1014.24,1007.65,2.0,13.65,12.0,0.5,5.5,6.5,7.5,6.5,2.0,2.1,12.0,0.5,69.1,71.1,73.1,71.1,2.0,4.2,12.0,0.5,27.2,113.8,200.3,113.8,2.0,179.3,12.0,0.5,-70.1,-32.5,5.1,-32.5,2.0,77.8,12.0,0.5,0.69,1.1,1.51,1.1,2.0,0.85,12.0,0.5,8.1,8.3,8.6,8.3,2.0,0.5,12.0,0.5,2.4,2.59,2.79,2.59,2.0,0.4,12.0,0.5,18.2,25.8,33.4,25.8,2.0,15.7,12.0,0.5,-3.6,43.6,90.8,43.6,2.0,97.8,12.0,0.5,-27.5,1.6,30.6,1.6,2.0,60.3,12.0,0.5,-1.5,26.2,53.8,26.2,2.0,57.2,12.0,0.5,-16.5,0.3,17.0,0.3,2.0,34.6,12.0,0.5,-0.7,13.7,28.0,13.7,2.0,29.7,12.0,0.5,-8.6,0.0,8.7,0.0,2.0,17.9,12.0,0.5,761.5,2114.5,3467.0,2114.5,2.0,2802.5,12.0,0.5,760.0,2115.0,3465.0,2115.0,2.0,2805.0,12.0,0.5,8.59,9.85,11.11,9.85,2.0,2.62,12.0,0.5,7.9,8.75,9.6,8.75,2.0,1.77,12.0,0.5,4.62,5.02,5.42,5.02,2.0,0.83,12.0,0.5
1972,11,23675,-179.7,-43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.79,-0.25,1.6,-0.67,6.0,2.49,14.0,0.7,-17.9,0.0,15.5,-0.8,6.0,17.7,14.0,0.7,0.24,0.75,1.26,0.75,2.0,1.06,10.0,1.0,2.9,9.2,15.5,9.2,2.0,13.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,5.9,9.9,5.9,2.0,8.4,10.0,1.0,2.2,7.0,11.9,7.0,2.0,10.0,10.0,1.0,132.5,343.0,783.0,585.0,7.0,611.5,12.0,0.6,135.0,345.0,785.0,585.0,7.0,610.0,12.0,0.6,11.63,12.9,13.62,12.6,6.0,1.25,14.0,0.7,10.43,12.5,16.02,12.87,7.0,2.74,12.0,0.6,6.74,7.47,8.25,7.49,3.0,1.11,8.0,0.7
