Year,Month,Longitude,Latitude,A-Fraction of daylight observations,A-Mean,A-y,A-x,A-Mean day of the month,A-Median,A-Observation number,A-S1,A-S5,A-Standard deviation,Q-Fraction of daylight observations,Q-Mean,Q-y,Q-x,Q-Mean day of the month,Q-Median,Q-Observation number,Q-S1,Q-S5,Q-Standard deviation,R-Fraction of daylight observations,R-Mean,R-y,R-,R-Mean day of the month,R-Median,R-Observation number,R-S1,R-S5,R-Standard deviation,S-Fraction of daylight observations,S-Mean,S-y,S-x,S-Mean day of the month,S-Median,S-Observation number,S-S1,S-S5,S-Standard deviation,P-Fraction of daylight observations,P-Mean,P-y,P-x,P-Mean day of the month,P-Median,P-Observation number,P-S1,P-S5,P-Standard deviation,U-Fraction of daylight observations,U-Mean,U-y,U-x,U-Mean day of the month,U-Median,U-Observation number,U-S1,U-S5,U-Standard deviation,V-Fraction of daylight observations,V-Mean,V-y,V-x,V-Mean day of the month,V-Median,V-Observation number,V-S1,V-S5,V-Standard deviation,W-Fraction of daylight observations,W-Mean,W-y,W-x,W-Mean day of the month,W-Median,W-Observation number,W-S1,W-S5,W-Standard deviation,C-Fraction of daylight observations,C-Mean,C-y,C-x,C-Mean day of the month,C-Median,C-Observation number,C-S1,C-S5,C-Standard deviation,X=W*U-Fraction of daylight observations,X=W*U-Mean,X=W*U-y,X=W*U-x,X=W*U-Mean day of the month,X=W*U-Median,X=W*U-Observation number,X=W*U-S1,X=W*U-S5,X=W*U-Standard deviation,Y=W*V-Fraction of daylight observations,Y=W*V-Mean,Y=W*V-y,Y=W*V-x,Y=W*V-Mean day of the month,Y=W*V-Median,Y=W*V-Observation number,Y=W*V-S1,Y=W*V-S5,Y=W*V-Standard deviation,D=S-A-Fraction of daylight observations,D=S-A-Mean,D=S-A-y,D=S-A-x,D=S-A-Mean day of the month,D=S-A-Median,D=S-A-Observation number,D=S-A-S1,D=S-A-S5,D=S-A-Standard deviation,E=(S-A)*W-Fraction of daylight observations,E=(S-A)*W-Mean,E=(S-A)*W-y,E=(S-A)*W-x,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Median,E=(S-A)*W-Observation number,E=(S-A)*W-S1,E=(S-A)*W-S5,E=(S-A)*W-Standard deviation,F=QS-Q-Fraction of daylight observations,F=QS-Q-Mean,F=QS-Q-y,F=QS-Q-x,F=QS-Q-Mean day of the month,F=QS-Q-Median,F=QS-Q-Observation number,F=QS-Q-S1,F=QS-Q-S5,F=QS-Q-Standard deviation,G=(QS-Q)*W-Fraction of daylight observations,G=(QS-Q)*W-Mean,G=(QS-Q)*W-y,G=(QS-Q)*W-x,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Median,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-S1,G=(QS-Q)*W-S5,G=(QS-Q)*W-Standard deviation,I=U*A-Fraction of daylight observations,I=U*A-Mean,I=U*A-y,I=U*A-x,I=U*A-Mean day of the month,I=U*A-Median,I=U*A-Observation number,I=U*A-S1,I=U*A-S5,I=U*A-Standard deviation,J=V*A-Fraction of daylight observations,J=V*A-Mean,J=V*A-y,J=V*A-x,J=V*A-Mean day of the month,J=V*A-Median,J=V*A-Observation number,J=V*A-S1,J=V*A-S5,J=V*A-Standard deviation,K=U*Q-Fraction of daylight observations,K=U*Q-Mean,K=U*Q-y,K=U*Q-x,K=U*Q-Mean day of the month,K=U*Q-Median,K=U*Q-Observation number,K=U*Q-S1,K=U*Q-S5,K=U*Q-Standard deviation,L=V*Q-Fraction of daylight observations,L=V*Q-Mean,L=V*Q-y,L=V*Q-x,L=V*Q-Mean day of the month,L=V*Q-Median,L=V*Q-Observation number,L=V*Q-S1,L=V*Q-S5,L=V*Q-Standard deviation,B1=W*W*W-Fraction of daylight observations,B1=W*W*W-Mean,B1=W*W*W-y,B1=W*W*W-x,B1=W*W*W-Mean day of the month,B1=W*W*W-Median,B1=W*W*W-Observation number,B1=W*W*W-S1,B1=W*W*W-S5,B1=W*W*W-Standard deviation,B2=W*W*W-Fraction of daylight observations,B2=W*W*W-Mean,B2=W*W*W-y,B2=W*W*W-x,B2=W*W*W-Mean day of the month,B2=W*W*W-Median,B2=W*W*W-Observation number,B2=W*W*W-S1,B2=W*W*W-S5,B2=W*W*W-Standard deviation,M=(QS-Q)*U-Fraction of daylight observations,M=(QS-Q)*U-Mean,M=(QS-Q)*U-y,M=(QS-Q)*U-x,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Median,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-S1,M=(QS-Q)*U-S5,M=(QS-Q)*U-Standard deviation,N=(QS-Q)*V-Fraction of daylight observations,N=(QS-Q)*V-Mean,N=(QS-Q)*V-y,N=(QS-Q)*V-x,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Median,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-S1,N=(QS-Q)*V-S5,N=(QS-Q)*V-Standard deviation
1979,4,0.0,-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1014.3,0.7,0.1,10.0,1014.3,1.0,1014.3,1014.3,0.0,1.0,5.59,0.7,0.1,10.0,5.59,1.0,5.59,5.59,0.0,1.0,6.66,0.7,0.1,10.0,6.66,1.0,6.66,6.66,0.0,1.0,8.7,0.7,0.1,10.0,8.7,1.0,8.7,8.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,4,0.0,-42.0,0.0,12.4,1.0,0.4,16.0,12.4,1.0,12.4,12.4,0.0,0.0,8.19,1.0,0.4,16.0,8.19,1.0,8.19,8.19,0.0,0.0,91.2,1.0,0.4,16.0,91.2,1.0,91.2,91.2,0.0,0.0,12.3,1.0,0.4,16.0,12.3,1.0,12.3,12.3,0.0,0.0,1005.8,1.0,0.4,16.0,1005.8,1.0,1005.8,1005.8,0.0,0.0,9.16,1.0,0.4,16.0,9.16,1.0,9.16,9.16,0.0,0.0,-1.61,1.0,0.4,16.0,-1.61,1.0,-1.61,-1.61,0.0,0.0,9.3,1.0,0.4,16.0,9.3,1.0,9.3,9.3,0.0,0.0,8.0,1.0,0.4,16.0,8.0,1.0,8.0,8.0,0.0,0.0,85.2,1.0,0.4,16.0,85.2,1.0,85.2,85.2,0.0,0.0,-15.0,1.0,0.4,16.0,-15.0,1.0,-15.0,-15.0,0.0,0.0,-0.1,1.0,0.4,16.0,-0.1,1.0,-0.1,-0.1,0.0,0.0,-0.9,1.0,0.4,16.0,-0.9,1.0,-0.9,-0.9,0.0,0.0,0.74,1.0,0.4,16.0,0.74,1.0,0.74,0.74,0.0,0.0,6.9,1.0,0.4,16.0,6.9,1.0,6.9,6.9,0.0,0.0,113.6,1.0,0.4,16.0,113.6,1.0,113.6,113.6,0.0,0.0,-20.0,1.0,0.4,16.0,-20.0,1.0,-20.0,-20.0,0.0,0.0,75.0,1.0,0.4,16.0,75.0,1.0,75.0,75.0,0.0,0.0,-13.2,1.0,0.4,16.0,-13.2,1.0,-13.2,-13.2,0.0,0.0,804.5,1.0,0.4,16.0,804.5,1.0,804.5,804.5,0.0,0.0,805.0,1.0,0.4,16.0,805.0,1.0,805.0,805.0,0.0,0.0,6.8,1.0,0.4,16.0,6.8,1.0,6.8,6.8,0.0,0.0,-1.2,1.0,0.4,16.0,-1.2,1.0,-1.2,-1.2,0.0
1979,4,0.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1013.9,0.5,0.3,30.0,1013.9,1.0,1013.9,1013.9,0.0,1.0,9.65,0.5,0.3,30.0,9.65,1.0,9.65,9.65,0.0,1.0,-1.7,0.5,0.3,30.0,-1.7,1.0,-1.7,-1.7,0.0,1.0,9.8,0.5,0.3,30.0,9.8,1.0,9.8,9.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,4,0.0,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1003.9,0.5,0.6,8.0,1003.9,1.0,1003.9,1003.9,0.0,0.0,8.57,0.5,0.6,8.0,8.57,1.0,8.57,8.57,0.0,0.0,1.51,0.5,0.6,8.0,1.51,1.0,1.51,1.51,0.0,0.0,8.7,0.5,0.6,8.0,8.7,1.0,8.7,8.7,0.0,0.0,8.0,0.5,0.6,8.0,8.0,1.0,8.0,8.0,0.0,0.0,74.5,0.5,0.6,8.0,74.5,1.0,74.5,74.5,0.0,0.0,13.1,0.5,0.6,8.0,13.1,1.0,13.1,13.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,132.8,0.5,0.6,8.0,132.8,1.0,132.8,132.8,0.0,0.0,23.4,0.5,0.6,8.0,23.4,1.0,23.4,23.4,0.0,0.0,89.7,0.5,0.6,8.0,89.7,1.0,89.7,89.7,0.0,0.0,15.8,0.5,0.6,8.0,15.8,1.0,15.8,15.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,4,0.0,-39.0,0.0,16.0,0.7,0.0,20.0,16.0,1.0,16.0,16.0,0.0,0.0,8.03,0.7,0.0,20.0,8.03,1.0,8.03,8.03,0.0,0.0,72.2,0.7,0.0,20.0,72.2,1.0,72.2,72.2,0.0,0.0,16.0,0.7,0.0,20.0,16.0,1.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,4,0.0,-38.0,0.3,17.87,0.7,0.8,6.0,19.0,3.0,16.68,19.0,1.96,0.3,10.24,0.7,0.8,6.0,11.23,3.0,9.15,11.28,1.78,0.3,79.7,0.7,0.8,6.0,82.2,3.0,76.7,82.6,4.9,0.5,16.85,0.6,0.8,4.0,16.8,4.0,15.86,17.85,1.55,0.5,1014.65,0.6,0.8,4.0,1011.2,4.0,1008.53,1021.1,10.58,0.5,4.21,0.6,0.8,4.0,3.08,4.0,2.33,6.2,3.21,0.5,-0.37,0.6,0.8,4.0,-1.69,4.0,-8.47,7.86,9.64,0.5,9.25,0.6,0.8,4.0,9.0,4.0,6.81,11.71,3.61,0.5,6.5,0.6,0.8,4.0,8.0,4.0,4.9,8.0,3.0,0.5,47.1,0.6,0.8,4.0,27.7,4.0,17.0,79.1,52.2,0.5,5.0,0.6,0.8,4.0,-23.3,4.0,-76.4,89.2,106.6,0.3,-1.67,0.7,0.8,6.0,-2.2,3.0,-2.2,-1.11,0.92,0.3,-16.0,0.7,0.8,6.0,-19.1,3.0,-20.0,-11.8,6.6,0.3,1.24,0.7,0.8,6.0,0.67,3.0,0.62,1.89,1.06,0.3,15.2,0.7,0.8,6.0,5.8,3.0,5.6,25.2,16.5,0.3,85.5,0.7,0.8,6.0,60.4,3.0,57.8,114.3,46.7,0.3,-51.8,0.7,0.8,6.0,-155.3,3.0,-162.6,64.1,188.8,0.3,47.5,0.7,0.8,6.0,36.0,3.0,34.2,61.3,22.2,0.3,-34.5,0.7,0.8,6.0,-91.8,3.0,-96.6,30.4,105.4,0.5,1070.5,0.6,0.8,4.0,731.5,4.0,383.0,1790.0,1115.0,0.5,1070.0,0.6,0.8,4.0,730.0,4.0,385.0,1790.0,1115.0,0.3,8.6,0.7,0.8,6.0,2.0,3.0,1.9,15.7,11.6,0.3,5.2,0.7,0.8,6.0,-5.2,3.0,-5.4,16.3,18.2
1979,4,0.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1010.5,1.0,0.0,8.0,1010.5,1.0,1010.5,1010.5,0.0,0.0,0.54,1.0,0.0,8.0,0.54,1.0,0.54,0.54,0.0,0.0,-3.05,1.0,0.0,8.0,-3.05,1.0,-3.05,-3.05,0.0,0.0,3.1,1.0,0.0,8.0,3.1,1.0,3.1,3.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,4,0.0,-36.0,0.0,17.83,0.5,0.5,10.0,18.5,3.0,16.66,18.98,1.8,0.0,9.37,0.7,0.6,14.0,9.37,2.0,8.87,9.88,1.05,0.0,69.8,0.7,0.6,14.0,69.8,2.0,67.1,72.5,5.6,0.0,19.7,0.5,0.5,10.0,20.0,3.0,18.7,20.68,1.47,0.0,1022.23,0.5,0.5,10.0,1020.0,3.0,1019.45,1025.12,4.58,0.0,1.86,0.5,0.5,10.0,0.0,3.0,-1.45,5.26,5.17,0.0,2.98,0.5,0.5,10.0,3.1,3.0,0.98,4.96,2.92,0.0,5.67,0.5,0.5,10.0,6.2,3.0,4.08,7.22,2.35,0.0,5.0,0.5,0.5,10.0,7.0,3.0,2.9,7.0,3.5,0.0,15.4,0.5,0.5,10.0,0.0,3.0,-9.0,40.5,38.6,0.0,15.2,0.5,0.5,10.0,9.6,3.0,3.1,27.7,18.7,0.0,1.87,0.5,0.5,10.0,2.5,3.0,0.04,3.66,2.71,0.0,6.7,0.5,0.5,10.0,13.0,3.0,-1.6,14.7,13.2,0.0,4.73,0.7,0.6,14.0,4.73,2.0,3.35,6.1,2.85,0.0,31.3,0.7,0.6,14.0,31.3,2.0,24.2,38.5,14.8,0.0,36.2,0.5,0.5,10.0,0.0,3.0,-26.8,100.9,98.6,0.0,52.3,0.5,0.5,10.0,49.0,3.0,15.5,89.1,54.0,0.0,29.8,0.7,0.6,14.0,29.8,2.0,-3.0,62.6,68.0,0.0,25.1,0.7,0.6,14.0,25.1,2.0,8.0,42.3,35.6,0.0,241.5,0.5,0.5,10.0,238.5,3.0,96.0,387.5,213.5,0.0,240.0,0.5,0.5,10.0,240.0,3.0,95.0,385.0,215.0,0.0,3.3,0.7,0.6,14.0,3.3,2.0,-8.7,15.3,24.9,0.0,19.6,0.7,0.6,14.0,19.6,2.0,6.2,33.0,27.8
1979,4,0.0,-35.0,0.0,18.93,0.5,0.4,8.0,18.5,3.0,18.16,19.73,1.21,0.0,12.29,0.5,0.4,8.0,12.01,3.0,11.5,13.09,1.19,0.0,90.5,0.5,0.4,8.0,92.2,3.0,87.5,93.4,4.5,0.0,21.1,0.5,0.4,8.0,21.5,3.0,20.34,21.84,1.15,0.0,1015.8,0.5,0.4,8.0,1015.0,3.0,1015.0,1016.64,1.39,0.0,1.46,0.5,0.4,8.0,1.5,3.0,0.91,2.01,0.81,0.0,-0.18,0.5,0.4,8.0,0.0,3.0,-0.89,0.52,1.04,0.0,1.7,0.5,0.4,8.0,1.5,3.0,1.16,2.25,0.82,0.0,5.3,0.5,0.4,8.0,7.0,3.0,2.9,7.7,3.8,0.0,2.9,0.5,0.4,8.0,2.3,3.0,1.2,4.7,2.7,0.0,-0.9,0.5,0.4,8.0,0.0,3.0,-2.3,0.5,2.2,0.0,2.17,0.5,0.4,8.0,3.5,3.0,0.77,3.5,2.31,0.0,2.5,0.5,0.4,8.0,3.5,3.0,0.2,4.7,3.4,0.0,3.27,0.5,0.4,8.0,3.93,3.0,1.72,4.78,2.31,0.0,4.5,0.5,0.4,8.0,3.9,3.0,2.5,6.5,3.0,0.0,28.3,0.5,0.4,8.0,27.8,3.0,16.7,40.0,17.1,0.0,-4.2,0.5,0.4,8.0,0.0,3.0,-18.0,9.4,20.4,0.0,18.4,0.5,0.4,8.0,16.9,3.0,10.6,26.3,11.5,0.0,-2.8,0.5,0.4,8.0,0.0,3.0,-12.1,6.3,13.7,0.0,7.5,0.5,0.4,8.0,3.5,3.0,2.0,13.0,9.0,0.0,5.0,0.5,0.4,8.0,5.0,3.0,0.0,15.0,10.0,0.0,4.0,0.5,0.4,8.0,2.5,3.0,1.9,6.1,3.3,0.0,0.7,0.5,0.4,8.0,0.0,3.0,-0.6,2.1,2.1
1979,4,0.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1018.3,0.6,0.3,8.0,1018.3,2.0,1017.55,1019.05,1.56,0.0,3.81,0.6,0.3,8.0,3.81,2.0,3.13,4.48,1.4,0.0,-1.39,0.6,0.3,8.0,-1.39,2.0,-1.63,-1.14,0.51,0.0,4.05,0.6,0.3,8.0,4.05,2.0,3.33,4.77,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
