Year,Month,Running Month,Longitude,Latitude,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations
1994,6,23934,-179.9,-27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,4.1,4.1,1.0,0.0,28.0,1.0,3.55,3.55,3.55,3.55,1.0,0.0,28.0,1.0,-2.05,-2.05,-2.05,-2.05,1.0,0.0,28.0,1.0,1014.5,1014.5,1014.5,1014.5,1.0,0.0,28.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,28.0,1.0,14.6,14.6,14.6,14.6,1.0,0.0,28.0,1.0,-8.4,-8.4,-8.4,-8.4,1.0,0.0,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,71.4,71.4,71.4,1.0,0.0,28.0,1.0,-41.2,-41.2,-41.2,-41.2,1.0,0.0,28.0,1.0,36.8,36.8,36.8,36.8,1.0,0.0,28.0,1.0,-21.2,-21.2,-21.2,-21.2,1.0,0.0,28.0,1.0
1994,6,23934,-179.9,-13.3,-33.2,-33.2,-33.2,-33.2,1.0,0.0,12.0,1.0,19.1,19.1,19.1,19.1,1.0,0.0,12.0,1.0,804.5,804.5,804.5,804.5,1.0,0.0,12.0,1.0,805.0,805.0,805.0,805.0,1.0,0.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.3,9.3,9.3,1.0,0.0,12.0,1.0,-8.05,-8.05,-8.05,-8.05,1.0,0.0,12.0,1.0,4.65,4.65,4.65,4.65,1.0,0.0,12.0,1.0,1014.24,1014.55,1014.86,1014.55,2.0,0.64,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-233.6,-233.6,-233.6,-233.6,1.0,0.0,12.0,1.0,134.9,134.9,134.9,134.9,1.0,0.0,12.0,1.0,-157.0,-157.0,-157.0,-157.0,1.0,0.0,12.0,1.0,90.7,90.7,90.7,90.7,1.0,0.0,12.0,1.0
1994,6,23934,-179.9,-6.6,-32.3,-32.3,-32.3,-32.3,1.0,0.0,4.0,0.0,-18.6,-18.6,-18.6,-18.6,1.0,0.0,4.0,0.0,132.5,132.5,132.5,132.5,1.0,0.0,4.0,0.0,135.0,135.0,135.0,135.0,1.0,0.0,4.0,0.0,29.9,29.9,29.9,29.9,1.0,0.0,4.0,0.0,29.9,29.9,29.9,29.9,1.0,0.0,4.0,0.0,19.26,19.26,19.26,19.26,1.0,0.0,4.0,0.0,72.8,72.8,72.8,72.8,1.0,0.0,4.0,0.0,5.1,5.1,5.1,5.1,1.0,0.0,4.0,0.0,-4.42,-4.42,-4.42,-4.42,1.0,0.0,4.0,0.0,-2.55,-2.55,-2.55,-2.55,1.0,0.0,4.0,0.0,1008.9,1008.9,1008.9,1008.9,1.0,0.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,0.0,-22.5,-22.5,-22.5,-22.5,1.0,0.0,4.0,0.0,-13.0,-13.0,-13.0,-13.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.31,7.31,7.31,7.31,1.0,0.0,4.0,0.0,37.3,37.3,37.3,37.3,1.0,0.0,4.0,0.0,-132.1,-132.1,-132.1,-132.1,1.0,0.0,4.0,0.0,-76.2,-76.2,-76.2,-76.2,1.0,0.0,4.0,0.0,-85.1,-85.1,-85.1,-85.1,1.0,0.0,4.0,0.0,-49.1,-49.1,-49.1,-49.1,1.0,0.0,4.0,0.0
1994,6,23934,-179.9,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.68,29.8,29.92,29.8,6.0,0.14,4.0,0.3,29.48,29.7,29.86,29.65,6.0,0.37,4.0,0.3,19.29,19.83,19.85,19.58,4.0,0.52,4.0,0.3,73.5,75.5,76.8,75.3,5.0,2.5,4.0,0.4,5.1,5.65,6.3,5.73,6.0,0.72,4.0,0.3,-6.3,-5.6,-4.57,-5.29,6.0,1.49,4.0,0.3,0.0,0.0,1.77,0.92,6.0,1.77,4.0,0.3,1008.96,1009.6,1009.97,1009.5,5.0,0.53,4.0,0.2,2.0,3.0,3.2,2.8,6.0,0.8,4.0,0.3,-39.8,-31.9,-23.3,-31.0,6.0,11.6,4.0,0.3,0.0,0.0,9.9,4.9,6.0,9.1,4.0,0.3,-0.06,0.05,0.46,0.15,6.0,0.35,4.0,0.3,-0.3,0.3,2.6,1.0,6.0,2.2,4.0,0.3,6.56,6.64,7.02,6.78,4.0,0.36,4.0,0.3,33.8,37.4,43.1,38.4,4.0,5.6,4.0,0.3,-186.7,-167.1,-135.5,-156.7,6.0,43.2,4.0,0.3,0.0,0.0,52.5,27.2,6.0,52.7,4.0,0.3,-119.2,-108.0,-74.7,-97.4,4.0,32.5,4.0,0.3,0.0,10.1,55.5,27.0,4.0,41.5,4.0,0.3
1994,6,23934,-179.9,-5.0,-42.7,-37.0,-24.9,-34.0,4.0,12.2,4.0,0.3,0.0,3.9,19.3,9.4,4.0,14.0,4.0,0.3,132.5,185.5,251.0,196.0,6.0,73.0,4.0,0.3,135.0,185.0,250.0,195.0,6.0,75.0,4.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,6,23934,-179.9,-4.6,-32.6,-21.9,-13.4,-22.9,4.0,11.5,6.0,0.3,14.8,18.5,23.4,19.1,4.0,5.5,6.0,0.3,71.0,97.5,116.0,93.5,4.0,35.5,6.0,0.3,70.0,95.0,115.0,95.0,4.0,35.0,6.0,0.3,29.8,29.85,29.9,29.85,4.0,0.06,6.0,0.3,29.14,29.65,30.0,29.58,4.0,0.51,6.0,0.3,19.21,19.6,19.83,19.52,4.0,0.38,6.0,0.3,72.2,75.3,78.4,75.3,4.0,3.6,6.0,0.3,4.08,4.6,4.86,4.48,4.0,0.63,6.0,0.3,-4.41,-3.14,-2.04,-3.22,4.0,1.4,6.0,0.3,2.01,2.71,3.57,2.79,4.0,0.98,6.0,0.3,1008.43,1009.0,1010.14,1009.28,4.0,1.24,6.0,0.3,2.5,3.0,3.0,2.8,4.0,0.5,6.0,0.3,-21.5,-14.5,-8.4,-15.0,4.0,8.0,6.0,0.3,9.7,10.9,14.9,12.3,4.0,4.2,6.0,0.3,-0.1,0.2,0.66,0.28,4.0,0.45,6.0,0.3,-0.5,0.9,2.6,1.1,4.0,1.8,6.0,0.3,6.55,6.88,7.38,6.96,4.0,0.49,6.0,0.3,26.7,31.6,35.9,31.3,4.0,6.2,6.0,0.3,-132.2,-93.5,-59.4,-95.7,4.0,43.1,6.0,0.3,60.3,79.7,104.2,82.1,4.0,27.8,6.0,0.3,-84.6,-61.4,-40.4,-62.5,4.0,26.1,6.0,0.3,38.6,53.2,70.8,54.7,4.0,20.0,6.0,0.3
1994,6,23934,-179.9,-3.0,-12.3,-12.3,-12.3,-12.3,1.0,0.0,6.0,1.0,-2.2,-2.2,-2.2,-2.2,1.0,0.0,6.0,1.0,9.5,9.5,9.5,9.5,1.0,0.0,6.0,1.0,10.0,10.0,10.0,10.0,1.0,0.0,6.0,1.0,29.4,29.4,29.4,29.4,1.0,0.0,6.0,1.0,28.0,28.0,28.0,28.0,1.0,0.0,6.0,1.0,19.83,19.83,19.83,19.83,1.0,0.0,6.0,1.0,83.8,83.8,83.8,83.8,1.0,0.0,6.0,1.0,2.1,2.1,2.1,2.1,1.0,0.0,6.0,1.0,-2.07,-2.07,-2.07,-2.07,1.0,0.0,6.0,1.0,-0.36,-0.36,-0.36,-0.36,1.0,0.0,6.0,1.0,1010.5,1010.5,1010.5,1010.5,1.0,0.0,6.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,6.0,1.0,-4.3,-4.3,-4.3,-4.3,1.0,0.0,6.0,1.0,-0.8,-0.8,-0.8,-0.8,1.0,0.0,6.0,1.0,1.4,1.4,1.4,1.4,1.0,0.0,6.0,1.0,2.9,2.9,2.9,2.9,1.0,0.0,6.0,1.0,5.94,5.94,5.94,5.94,1.0,0.0,6.0,1.0,12.5,12.5,12.5,12.5,1.0,0.0,6.0,1.0,-57.9,-57.9,-57.9,-57.9,1.0,0.0,6.0,1.0,-10.2,-10.2,-10.2,-10.2,1.0,0.0,6.0,1.0,-41.0,-41.0,-41.0,-41.0,1.0,0.0,6.0,1.0,-7.2,-7.2,-7.2,-7.2,1.0,0.0,6.0,1.0
1994,6,23934,-179.9,-2.1,-57.3,-45.1,-27.1,-42.3,4.0,22.2,6.0,0.5,-21.8,-13.7,2.4,-9.9,4.0,18.0,6.0,0.5,167.5,426.0,607.5,389.5,4.0,273.0,6.0,0.5,170.0,425.0,605.0,390.0,4.0,275.0,6.0,0.5,29.1,29.15,29.25,29.18,4.0,0.1,6.0,0.5,29.0,29.1,29.62,29.3,4.0,0.48,6.0,0.5,18.27,18.69,19.3,18.78,4.0,0.8,6.0,0.5,70.8,72.5,76.4,73.6,4.0,3.9,6.0,0.5,5.08,7.45,8.46,6.8,4.0,2.3,6.0,0.5,-7.87,-6.7,-4.21,-6.07,4.0,2.67,6.0,0.5,-3.24,-1.9,0.73,-1.29,4.0,2.91,6.0,0.5,1008.66,1009.5,1009.81,1009.25,4.0,0.94,6.0,0.5,2.5,3.0,4.6,3.5,4.0,1.7,6.0,0.5,-66.8,-50.2,-24.4,-45.8,4.0,28.3,6.0,0.5,-24.9,-14.2,-1.1,-13.0,4.0,17.9,6.0,0.5,-0.47,0.05,0.2,-0.12,4.0,0.53,6.0,0.5,-3.9,0.2,1.5,-1.1,4.0,4.3,6.0,0.5,6.05,6.74,7.3,6.68,4.0,0.92,6.0,0.5,32.1,50.2,61.3,46.9,4.0,20.1,6.0,0.5,-231.6,-198.4,-122.7,-178.1,4.0,78.6,6.0,0.5,-96.3,-55.4,21.0,-38.4,4.0,85.7,6.0,0.5,-143.6,-125.2,-80.0,-112.4,4.0,46.7,6.0,0.5,-60.6,-34.9,15.8,-23.0,4.0,55.8,6.0,0.5
1994,6,23934,-179.9,-1.7,-61.3,-55.7,-33.2,-49.6,5.0,16.5,6.0,0.4,-22.5,-12.5,1.0,-9.9,5.0,17.8,6.0,0.4,233.5,373.0,658.5,416.0,7.0,209.5,6.0,0.6,235.0,375.0,660.0,415.0,7.0,210.0,6.0,0.6,29.0,29.2,29.3,29.17,7.0,0.14,6.0,0.6,28.83,29.2,29.65,29.24,5.0,0.48,6.0,0.4,17.72,18.69,19.28,18.51,5.0,1.02,6.0,0.4,70.8,72.7,74.4,72.6,5.0,2.6,6.0,0.4,6.15,7.2,8.7,7.26,7.0,1.36,6.0,0.6,-8.57,-6.77,-4.79,-6.71,7.0,1.65,6.0,0.6,-2.86,-1.51,2.5,-0.82,7.0,2.71,6.0,0.6,1006.09,1007.8,1008.24,1007.4,7.0,1.17,6.0,0.6,3.0,3.0,4.0,3.6,7.0,0.8,6.0,0.6,-74.5,-48.7,-29.2,-50.5,7.0,20.7,6.0,0.6,-23.1,-13.1,18.0,-6.1,7.0,18.8,6.0,0.6,-0.41,-0.2,0.24,-0.12,5.0,0.37,6.0,0.4,-2.6,-1.7,2.0,-0.6,5.0,2.7,6.0,0.4,6.29,6.63,7.61,6.91,5.0,0.9,6.0,0.4,40.5,56.7,63.9,53.7,5.0,13.5,6.0,0.4,-247.5,-222.7,-160.5,-206.4,5.0,47.8,6.0,0.4,-95.0,-44.1,8.6,-37.8,5.0,82.5,6.0,0.4,-150.8,-139.8,-105.5,-130.0,5.0,27.6,6.0,0.4,-60.0,-28.2,7.8,-23.0,5.0,53.7,6.0,0.4
1994,6,23934,-179.9,-0.1999999999999999,-60.3,-59.4,-58.5,-59.4,2.0,1.8,8.0,0.0,23.9,27.8,31.7,27.8,2.0,8.1,8.0,0.0,487.5,733.0,978.5,733.0,2.0,508.5,8.0,0.0,485.0,735.0,980.0,735.0,2.0,510.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,8.75,9.81,8.75,2.0,2.19,8.0,0.0,-8.58,-7.84,-7.11,-7.84,2.0,1.52,8.0,0.0,2.89,3.81,4.72,3.81,2.0,1.9,8.0,0.0,1006.9,1007.95,1008.9,1007.9,4.0,1.16,8.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250.9,-230.4,-209.8,-230.4,2.0,42.6,8.0,0.0,85.2,111.6,138.1,111.6,2.0,54.8,8.0,0.0,-157.7,-138.3,-118.8,-138.3,2.0,40.2,8.0,0.0,48.9,68.1,87.3,68.1,2.0,39.8,8.0,0.0
