Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1999,9,23997,-179.9,-33.2,7.7,7.7,7.7,7.7,1.0,0.0,18.0,0.0,7.7,7.7,7.7,7.7,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,1015.0,1015.0,1015.0,1015.0,1.0,0.0,18.0,0.0,16.0,16.0,16.0,16.0,1.0,0.0,18.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,18.0,0.0,8.67,8.67,8.67,8.67,1.0,0.0,18.0,0.0,87.7,87.7,87.7,87.7,1.0,0.0,18.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,18.0,0.0,59.3,59.3,59.3,59.3,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,18.0,0.0,15.4,15.4,15.4,15.4,1.0,0.0,18.0,0.0,2.59,2.59,2.59,2.59,1.0,0.0,18.0,0.0,19.9,19.9,19.9,19.9,1.0,0.0,18.0,0.0,107.8,107.8,107.8,107.8,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,66.8,66.8,66.8,66.8,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,19.9,19.9,19.9,19.9,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,456.5,456.5,456.5,456.5,1.0,0.0,18.0,0.0,455.0,455.0,455.0,455.0,1.0,0.0,18.0,0.0
1999,9,23997,-179.9,7.2,4.6,4.6,4.6,4.6,1.0,0.0,22.0,1.0,-1.57,-1.57,-1.57,-1.57,1.0,0.0,22.0,1.0,4.32,4.32,4.32,4.32,1.0,0.0,22.0,1.0,1013.2,1013.2,1013.2,1013.2,1.0,0.0,22.0,1.0,30.0,30.0,30.0,30.0,1.0,0.0,22.0,1.0,26.5,26.5,26.5,26.5,1.0,0.0,22.0,1.0,19.3,19.3,19.3,19.3,1.0,0.0,22.0,1.0,89.3,89.3,89.3,89.3,1.0,0.0,22.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,22.0,1.0,-7.2,-7.2,-7.2,-7.2,1.0,0.0,22.0,1.0,19.9,19.9,19.9,19.9,1.0,0.0,22.0,1.0,3.5,3.5,3.5,3.5,1.0,0.0,22.0,1.0,16.1,16.1,16.1,16.1,1.0,0.0,22.0,1.0,7.32,7.32,7.32,7.32,1.0,0.0,22.0,1.0,33.6,33.6,33.6,33.6,1.0,0.0,22.0,1.0,-41.7,-41.7,-41.7,-41.7,1.0,0.0,22.0,1.0,114.5,114.5,114.5,114.5,1.0,0.0,22.0,1.0,-30.4,-30.4,-30.4,-30.4,1.0,0.0,22.0,1.0,83.4,83.4,83.4,83.4,1.0,0.0,22.0,1.0,-11.5,-11.5,-11.5,-11.5,1.0,0.0,22.0,1.0,31.6,31.6,31.6,31.6,1.0,0.0,22.0,1.0,97.5,97.5,97.5,97.5,1.0,0.0,22.0,1.0,95.0,95.0,95.0,95.0,1.0,0.0,22.0,1.0
1999,9,23997,-179.9,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,24.5,24.5,24.5,1.0,0.0,20.0,1.0,28.16,28.5,28.84,28.5,2.0,0.71,18.0,1.0,16.59,17.01,17.43,17.01,2.0,0.87,18.0,1.0,70.1,70.4,70.7,70.4,2.0,0.7,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,-4.5,-4.5,-4.5,1.0,0.0,20.0,1.0,-22.5,-22.5,-22.5,-22.5,1.0,0.0,20.0,1.0,1.45,1.45,1.45,1.45,1.0,0.0,20.0,1.0,7.3,7.3,7.3,7.3,1.0,0.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8,-6.8,-6.8,-6.8,1.0,0.0,20.0,1.0,2.5,2.5,2.5,2.5,1.0,0.0,20.0,1.0,20.5,63.0,105.5,63.0,2.0,87.5,18.0,1.0,20.0,65.0,105.0,65.0,2.0,90.0,18.0,1.0
1999,9,23997,-179.9,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,28.2,28.2,28.2,1.0,0.0,10.0,1.0,28.3,28.3,28.3,28.3,1.0,0.0,10.0,1.0,14.15,14.15,14.15,14.15,1.0,0.0,10.0,1.0,59.6,59.6,59.6,59.6,1.0,0.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,9,23997,-179.8,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16,28.5,28.84,28.5,2.0,0.71,4.0,0.5,28.08,28.25,28.42,28.25,2.0,0.35,4.0,0.5,16.86,17.46,18.07,17.46,2.0,1.26,4.0,0.5,70.7,72.6,74.4,72.6,2.0,3.8,4.0,0.5,2.3,3.0,3.7,3.0,2.0,1.4,4.0,0.5,-63.2,-63.2,-63.2,-63.2,1.0,0.0,6.0,1.0,-23.0,-23.0,-23.0,-23.0,1.0,0.0,6.0,1.0,0.08,0.25,0.42,0.25,2.0,0.35,4.0,0.5,4.1,4.1,4.1,4.1,1.0,0.0,6.0,1.0,6.92,7.05,7.18,7.05,2.0,0.28,4.0,0.5,56.2,56.2,56.2,56.2,1.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,9,23997,-179.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,1.0,0.0,6.0,1.0,17.9,51.5,79.1,48.6,3.0,44.9,10.0,1.0,-34.2,6.4,31.5,-1.2,3.0,48.6,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,9,23997,-179.8,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.0,6.4,5.0,2.0,2.8,14.0,1.0,29.9,59.3,86.9,58.4,3.0,41.7,12.0,0.7,-9.3,0.0,24.8,7.6,3.0,25.8,12.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,9,23997,-179.7,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.0,6.7,6.0,2.0,1.4,28.0,0.5,-39.4,-23.3,-4.2,-21.9,4.0,20.4,18.0,0.3,-78.5,-22.1,11.8,-32.8,4.0,58.2,18.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,9,23997,-179.7,38.5,6.43,8.0,9.57,8.0,2.0,3.25,4.0,0.0,-7.83,-3.86,0.1,-3.86,2.0,8.22,4.0,0.0,-5.07,-4.44,-3.81,-4.44,2.0,1.3,4.0,0.0,1023.87,1025.75,1027.63,1025.75,2.0,3.89,4.0,0.0,23.4,24.25,25.1,24.25,2.0,1.77,4.0,0.0,17.63,19.0,20.37,19.0,2.0,2.83,4.0,0.0,8.1,9.32,10.55,9.32,2.0,2.53,4.0,0.0,64.9,68.2,71.6,68.2,2.0,6.9,4.0,0.0,3.0,5.0,7.0,5.0,2.0,4.2,4.0,0.0,-82.1,-44.3,-6.5,-44.3,2.0,78.4,4.0,0.0,-35.4,-33.4,-31.4,-33.4,2.0,4.1,4.0,0.0,3.03,5.25,7.47,5.25,2.0,4.6,4.0,0.0,25.0,34.5,44.0,34.5,2.0,19.7,4.0,0.0,7.17,9.39,11.62,9.39,2.0,4.61,4.0,0.0,64.6,67.6,70.7,67.6,2.0,6.3,4.0,0.0,-165.7,-85.1,-4.4,-85.1,2.0,167.2,4.0,0.0,-88.3,-82.5,-76.7,-82.5,2.0,12.1,4.0,0.0,-88.2,-46.4,-4.7,-46.4,2.0,86.4,4.0,0.0,-40.1,-39.7,-39.3,-39.7,2.0,0.8,4.0,0.0,-46.0,-17.3,11.3,-17.3,2.0,59.4,4.0,0.0,-60.4,-44.7,-28.9,-44.7,2.0,32.6,4.0,0.0,329.0,639.0,948.5,639.0,2.0,641.5,4.0,0.0,330.0,640.0,950.0,640.0,2.0,640.0,4.0,0.0
1999,9,23997,-179.7,44.3,8.2,8.2,8.2,8.2,1.0,0.0,8.0,0.0,2.8,2.8,2.8,2.8,1.0,0.0,8.0,0.0,-7.71,-7.71,-7.71,-7.71,1.0,0.0,8.0,0.0,1029.1,1029.1,1029.1,1029.1,1.0,0.0,8.0,0.0,13.0,13.0,13.0,13.0,1.0,0.0,8.0,0.0,13.0,13.0,13.0,13.0,1.0,0.0,8.0,0.0,6.72,6.72,6.72,6.72,1.0,0.0,8.0,0.0,73.6,73.6,73.6,73.6,1.0,0.0,8.0,0.0,8.0,8.0,8.0,8.0,1.0,0.0,8.0,0.0,23.0,23.0,23.0,23.0,1.0,0.0,8.0,0.0,-63.2,-63.2,-63.2,-63.2,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.42,2.42,2.42,2.42,1.0,0.0,8.0,0.0,19.9,19.9,19.9,19.9,1.0,0.0,8.0,0.0,36.5,36.5,36.5,36.5,1.0,0.0,8.0,0.0,-100.2,-100.2,-100.2,-100.2,1.0,0.0,8.0,0.0,18.8,18.8,18.8,18.8,1.0,0.0,8.0,0.0,-51.8,-51.8,-51.8,-51.8,1.0,0.0,8.0,0.0,6.8,6.8,6.8,6.8,1.0,0.0,8.0,0.0,-18.7,-18.7,-18.7,-18.7,1.0,0.0,8.0,0.0,551.5,551.5,551.5,551.5,1.0,0.0,8.0,0.0,550.0,550.0,550.0,550.0,1.0,0.0,8.0,0.0
