Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations
2001,3,24015,-179.9,-30.1,23.8,23.8,23.8,23.8,1.0,0.0,6.0,1.0,22.0,22.0,22.0,22.0,1.0,0.0,6.0,1.0,11.22,11.22,11.22,11.22,1.0,0.0,6.0,1.0,68.7,68.7,68.7,68.7,1.0,0.0,6.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,6.0,1.0,-18.3,-18.3,-18.3,-18.3,1.0,0.0,6.0,1.0,10.6,10.6,10.6,10.6,1.0,0.0,6.0,1.0,1.8,1.8,1.8,1.8,1.0,0.0,6.0,1.0,8.3,8.3,8.3,8.3,1.0,0.0,6.0,1.0,7.06,7.06,7.06,7.06,1.0,0.0,6.0,1.0,32.5,32.5,32.5,32.5,1.0,0.0,6.0,1.0,-87.6,-87.6,-87.6,-87.6,1.0,0.0,6.0,1.0,50.6,50.6,50.6,50.6,1.0,0.0,6.0,1.0,-44.7,-44.7,-44.7,-44.7,1.0,0.0,6.0,1.0,25.8,25.8,25.8,25.8,1.0,0.0,6.0,1.0,-28.1,-28.1,-28.1,-28.1,1.0,0.0,6.0,1.0,16.2,16.2,16.2,16.2,1.0,0.0,6.0,1.0,97.5,97.5,97.5,97.5,1.0,0.0,6.0,1.0,95.0,95.0,95.0,95.0,1.0,0.0,6.0,1.0,4.6,4.6,4.6,4.6,1.0,0.0,6.0,1.0,-3.98,-3.98,-3.98,-3.98,1.0,0.0,6.0,1.0,2.3,2.3,2.3,2.3,1.0,0.0,6.0,1.0,1019.0,1019.0,1019.0,1019.0,1.0,0.0,6.0,1.0
2001,3,24015,-179.8,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.9,-76.9,-76.9,-76.9,1.0,0.0,16.0,1.0,133.3,133.3,133.3,133.3,1.0,0.0,16.0,1.0,-44.0,-44.0,-44.0,-44.0,1.0,0.0,16.0,1.0,76.1,76.1,76.1,76.1,1.0,0.0,16.0,1.0,-3.4,-3.4,-3.4,-3.4,1.0,0.0,16.0,1.0,5.9,5.9,5.9,5.9,1.0,0.0,16.0,1.0,185.0,185.0,185.0,185.0,1.0,0.0,16.0,1.0,185.0,185.0,185.0,185.0,1.0,0.0,16.0,1.0,5.7,5.7,5.7,5.7,1.0,0.0,16.0,1.0,-2.85,-2.85,-2.85,-2.85,1.0,0.0,16.0,1.0,4.94,4.94,4.94,4.94,1.0,0.0,16.0,1.0,1012.68,1016.5,1019.91,1016.3,3.0,5.3,14.0,1.0
2001,3,24015,-179.8,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,6.0,7.4,5.3,3.0,3.1,12.0,0.0,-142.8,-10.8,91.6,-25.3,3.0,172.2,12.0,0.0,4.1,12.9,28.7,16.3,3.0,18.2,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-225.8,-55.6,103.2,-61.2,3.0,241.0,12.0,0.0,17.1,53.8,62.3,40.0,3.0,35.2,12.0,0.0,-149.2,-29.4,57.6,-45.4,3.0,152.0,12.0,0.0,11.1,35.1,35.8,23.7,3.0,20.6,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,11.8,13.57,10.1,3.0,5.36,12.0,0.0,-10.52,-2.64,7.22,-1.67,3.0,13.02,12.0,0.0,0.79,2.5,2.94,1.88,3.0,1.66,12.0,0.0,1016.75,1023.3,1024.6,1020.73,3.0,6.16,12.0,0.0
2001,3,24015,-179.8,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.0,8.0,7.8,4.0,0.5,20.0,0.3,-60.8,-17.4,26.9,-21.1,5.0,58.8,20.0,0.2,-55.7,20.3,132.0,38.9,5.0,106.5,20.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3,24015,-179.7,-54.3,8.9,8.9,8.9,8.9,1.0,0.0,14.0,1.0,8.6,8.6,8.6,8.6,1.0,0.0,14.0,1.0,6.63,6.63,6.63,6.63,1.0,0.0,14.0,1.0,95.4,95.4,95.4,95.4,1.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3,24015,-179.7,-36.4,20.5,20.5,20.5,20.5,1.0,0.0,8.0,1.0,19.5,19.5,19.5,19.5,1.0,0.0,8.0,1.0,9.36,9.36,9.36,9.36,1.0,0.0,8.0,1.0,67.4,67.4,67.4,67.4,1.0,0.0,8.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,8.0,1.0,-30.5,-30.5,-30.5,-30.5,1.0,0.0,8.0,1.0,-11.1,-11.1,-11.1,-11.1,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,5.7,5.7,5.7,5.7,1.0,0.0,8.0,1.0,5.47,5.47,5.47,5.47,1.0,0.0,8.0,1.0,31.2,31.2,31.2,31.2,1.0,0.0,8.0,1.0,-104.4,-104.4,-104.4,-104.4,1.0,0.0,8.0,1.0,-38.0,-38.0,-38.0,-38.0,1.0,0.0,8.0,1.0,-50.1,-50.1,-50.1,-50.1,1.0,0.0,8.0,1.0,-18.2,-18.2,-18.2,-18.2,1.0,0.0,8.0,1.0,-29.3,-29.3,-29.3,-29.3,1.0,0.0,8.0,1.0,-10.7,-10.7,-10.7,-10.7,1.0,0.0,8.0,1.0,185.0,185.0,185.0,185.0,1.0,0.0,8.0,1.0,185.0,185.0,185.0,185.0,1.0,0.0,8.0,1.0,5.7,5.7,5.7,5.7,1.0,0.0,8.0,1.0,-5.36,-5.36,-5.36,-5.36,1.0,0.0,8.0,1.0,-1.95,-1.95,-1.95,-1.95,1.0,0.0,8.0,1.0,1024.7,1024.7,1024.7,1024.7,1.0,0.0,8.0,1.0
2001,3,24015,-179.7,-34.4,20.91,21.15,23.6,21.9,8.0,1.38,18.0,0.8,19.27,20.2,21.5,20.51,9.0,1.15,12.0,0.8,9.75,11.08,13.49,11.73,9.0,1.97,12.0,0.8,69.7,73.0,87.1,78.1,9.0,9.4,12.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3,24015,-179.7,-34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,2.0,3.82,1.81,7.0,1.87,16.0,0.7,4.8,6.5,16.0,9.2,7.0,8.9,16.0,0.7,4.5,5.41,6.04,5.21,7.0,2.38,16.0,0.7,12.9,19.2,66.6,33.0,7.0,27.2,16.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.9,-12.6,-7.0,-27.3,7.0,25.7,16.0,0.7,-0.7,4.6,23.7,10.4,7.0,19.0,16.0,0.7,21.0,373.0,1396.5,566.5,9.0,715.0,12.0,0.8,20.0,375.0,1395.0,565.0,9.0,715.0,12.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3,24015,-179.7,-33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,5.0,5.4,4.0,5.0,2.0,20.0,0.8,-86.1,-20.5,-10.9,-41.1,6.0,43.5,22.0,0.8,-4.1,7.0,41.8,16.1,6.0,29.3,22.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3,24015,-179.7,-33.5,21.0,21.0,21.37,21.2,5.0,0.45,20.0,1.0,19.32,19.5,22.46,20.8,5.0,2.46,24.0,0.8,10.07,11.69,15.71,12.83,4.0,3.96,22.0,1.0,73.6,78.6,87.1,80.2,5.0,9.5,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,5.65,9.47,6.28,6.0,3.45,22.0,0.8,-9.05,-4.25,-1.97,-5.11,6.0,3.47,22.0,0.8,-1.08,0.78,5.69,1.54,6.0,3.61,22.0,0.8,1020.59,1021.6,1023.02,1021.55,6.0,1.53,22.0,0.8
