Year,Month,Running Month,Longitude,Latitude,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
2004,12,24060,-179.9,-30.0,-0.04,0.3,0.64,0.3,2.0,0.71,18.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,14.0,1.0,2.94,2.94,2.94,2.94,1.0,0.0,14.0,1.0,14.7,14.7,14.7,14.7,1.0,0.0,14.0,1.0,21.12,21.8,22.48,21.8,2.0,1.41,18.0,1.0,20.48,21.5,22.52,21.5,2.0,2.12,18.0,1.0,14.39,14.39,14.39,14.39,1.0,0.0,14.0,1.0,82.2,82.2,82.2,82.2,1.0,0.0,14.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,14.0,1.0,-4.33,-4.33,-4.33,-4.33,1.0,0.0,14.0,1.0,2.5,2.5,2.5,2.5,1.0,0.0,14.0,1.0,1010.39,1010.8,1011.21,1010.8,2.0,0.85,18.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,14.0,1.0,-21.7,-21.7,-21.7,-21.7,1.0,0.0,14.0,1.0,12.5,12.5,12.5,12.5,1.0,0.0,14.0,1.0,-99.6,-99.6,-99.6,-99.6,1.0,0.0,14.0,1.0,57.5,57.5,57.5,57.5,1.0,0.0,14.0,1.0,-62.3,-62.3,-62.3,-62.3,1.0,0.0,14.0,1.0,36.0,36.0,36.0,36.0,1.0,0.0,14.0,1.0,-12.7,-12.7,-12.7,-12.7,1.0,0.0,14.0,1.0,7.3,7.3,7.3,7.3,1.0,0.0,14.0,1.0,125.0,125.0,125.0,125.0,1.0,0.0,14.0,1.0,125.0,125.0,125.0,125.0,1.0,0.0,14.0,1.0
2004,12,24060,-179.9,-8.0,3.9,3.9,3.9,3.9,1.0,0.0,4.0,1.0,24.2,24.2,24.2,24.2,1.0,0.0,4.0,1.0,7.9,7.9,7.9,7.9,1.0,0.0,4.0,1.0,49.0,49.0,49.0,49.0,1.0,0.0,4.0,1.0,29.9,29.9,29.9,29.9,1.0,0.0,4.0,1.0,26.0,26.0,26.0,26.0,1.0,0.0,4.0,1.0,18.73,18.73,18.73,18.73,1.0,0.0,4.0,1.0,88.7,88.7,88.7,88.7,1.0,0.0,4.0,1.0,6.2,6.2,6.2,6.2,1.0,0.0,4.0,1.0,5.37,5.37,5.37,5.37,1.0,0.0,4.0,1.0,-3.1,-3.1,-3.1,-3.1,1.0,0.0,4.0,1.0,1006.6,1006.6,1006.6,1006.6,1.0,0.0,4.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,4.0,1.0,33.3,33.3,33.3,33.3,1.0,0.0,4.0,1.0,-19.2,-19.2,-19.2,-19.2,1.0,0.0,4.0,1.0,139.6,139.6,139.6,139.6,1.0,0.0,4.0,1.0,-80.6,-80.6,-80.6,-80.6,1.0,0.0,4.0,1.0,100.6,100.6,100.6,100.6,1.0,0.0,4.0,1.0,-58.1,-58.1,-58.1,-58.1,1.0,0.0,4.0,1.0,42.4,42.4,42.4,42.4,1.0,0.0,4.0,1.0,-24.5,-24.5,-24.5,-24.5,1.0,0.0,4.0,1.0,238.5,238.5,238.5,238.5,1.0,0.0,4.0,1.0,240.0,240.0,240.0,240.0,1.0,0.0,4.0,1.0
2004,12,24060,-179.9,-5.3,1.13,1.4,1.67,1.4,2.0,0.57,4.0,0.5,3.8,4.1,4.5,4.1,2.0,0.8,4.0,0.5,8.68,9.0,9.32,9.0,2.0,0.66,4.0,0.5,24.1,28.1,32.2,28.1,2.0,8.4,4.0,0.5,30.22,30.25,30.28,30.25,2.0,0.07,4.0,0.5,28.61,28.85,29.09,28.85,2.0,0.49,4.0,0.5,17.78,18.16,18.55,18.16,2.0,0.8,4.0,0.5,70.5,72.9,75.4,72.9,2.0,5.2,4.0,0.5,2.76,3.1,3.44,3.1,2.0,0.71,4.0,0.5,-1.21,-0.22,0.77,-0.22,2.0,2.05,4.0,0.5,-3.16,-2.69,-2.21,-2.69,2.0,0.98,4.0,0.5,1006.99,1007.4,1007.81,1007.4,2.0,0.85,4.0,0.5,3.2,3.5,3.8,3.5,2.0,0.7,4.0,0.5,-3.0,0.0,3.0,0.0,2.0,6.2,4.0,0.5,-11.1,-8.7,-6.3,-8.7,2.0,4.9,4.0,0.5,-34.4,-5.8,22.7,-5.8,2.0,59.1,4.0,0.5,-92.1,-77.8,-63.4,-77.8,2.0,29.7,4.0,0.5,-22.9,-4.8,13.3,-4.8,2.0,37.5,4.0,0.5,-56.0,-48.4,-40.8,-48.4,2.0,15.7,4.0,0.5,-10.1,-1.3,7.5,-1.3,2.0,18.3,4.0,0.5,-29.6,-24.5,-19.4,-24.5,2.0,10.6,4.0,0.5,22.0,32.0,42.0,32.0,2.0,20.5,4.0,0.5,20.0,30.0,40.0,30.0,2.0,20.0,4.0,0.5
2004,12,24060,-179.9,-4.1,1.5,1.5,1.5,1.5,1.0,0.0,4.0,1.0,3.2,3.2,3.2,3.2,1.0,0.0,4.0,1.0,9.96,9.96,9.96,9.96,1.0,0.0,4.0,1.0,20.9,20.9,20.9,20.9,1.0,0.0,4.0,1.0,30.5,30.5,30.5,30.5,1.0,0.0,4.0,1.0,29.0,29.0,29.0,29.0,1.0,0.0,4.0,1.0,17.62,17.62,17.62,17.62,1.0,0.0,4.0,1.0,70.1,70.1,70.1,70.1,1.0,0.0,4.0,1.0,2.1,2.1,2.1,2.1,1.0,0.0,4.0,1.0,-0.36,-0.36,-0.36,-0.36,1.0,0.0,4.0,1.0,-2.07,-2.07,-2.07,-2.07,1.0,0.0,4.0,1.0,1007.0,1007.0,1007.0,1007.0,1.0,0.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,4.0,1.0,-0.8,-0.8,-0.8,-0.8,1.0,0.0,4.0,1.0,-4.3,-4.3,-4.3,-4.3,1.0,0.0,4.0,1.0,-10.6,-10.6,-10.6,-10.6,1.0,0.0,4.0,1.0,-60.0,-60.0,-60.0,-60.0,1.0,0.0,4.0,1.0,-6.4,-6.4,-6.4,-6.4,1.0,0.0,4.0,1.0,-36.4,-36.4,-36.4,-36.4,1.0,0.0,4.0,1.0,-3.6,-3.6,-3.6,-3.6,1.0,0.0,4.0,1.0,-20.6,-20.6,-20.6,-20.6,1.0,0.0,4.0,1.0,9.5,9.5,9.5,9.5,1.0,0.0,4.0,1.0,10.0,10.0,10.0,10.0,1.0,0.0,4.0,1.0
2004,12,24060,-179.9,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,30.7,30.7,30.7,1.0,0.0,6.0,1.0,29.1,29.1,29.1,29.1,1.0,0.0,6.0,1.0,18.75,18.75,18.75,18.75,1.0,0.0,6.0,1.0,74.0,74.0,74.0,74.0,1.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,24060,-179.9,-2.2,0.71,1.6,2.15,1.43,3.0,1.06,6.0,0.7,2.3,6.6,10.4,6.4,3.0,6.0,6.0,0.7,7.84,8.86,9.5,8.67,3.0,1.23,6.0,0.7,16.6,36.3,45.6,31.2,3.0,21.8,6.0,0.7,29.96,30.3,30.37,30.17,3.0,0.32,6.0,0.7,28.06,28.2,29.43,28.73,3.0,1.1,6.0,0.7,17.62,17.62,19.18,18.38,3.0,1.31,6.0,0.7,73.7,74.3,74.5,74.1,3.0,0.6,6.0,0.7,1.98,4.1,4.78,3.4,3.0,2.14,6.0,0.7,-4.7,-3.85,-1.86,-3.3,3.0,2.14,6.0,0.7,-0.96,0.0,0.23,-0.35,3.0,0.92,6.0,0.7,1006.53,1006.6,1006.8,1006.67,3.0,0.21,6.0,0.7,2.0,2.0,2.7,2.3,3.0,0.6,6.0,0.7,-22.8,-15.8,-5.7,-14.2,3.0,12.6,6.0,0.7,-3.9,0.0,0.2,-1.8,3.0,3.4,6.0,0.7,-132.0,-108.6,-53.7,-93.2,3.0,58.8,6.0,0.7,-27.0,0.0,7.0,-9.8,3.0,26.3,6.0,0.7,-82.9,-67.9,-34.3,-58.8,3.0,36.4,6.0,0.7,-16.9,0.0,4.6,-6.0,3.0,16.6,6.0,0.7,-45.0,-34.1,-15.6,-30.3,3.0,21.8,6.0,0.7,-8.5,0.0,1.7,-3.3,3.0,8.0,6.0,0.7,22.5,69.0,112.5,67.5,3.0,66.0,6.0,0.7,25.0,70.0,110.0,70.0,3.0,65.0,6.0,0.7
2004,12,24060,-179.9,-1.5,0.5,0.5,0.5,0.5,1.0,0.0,6.0,0.0,2.1,2.1,2.1,2.1,1.0,0.0,6.0,0.0,7.54,7.54,7.54,7.54,1.0,0.0,6.0,0.0,30.9,30.9,30.9,30.9,1.0,0.0,6.0,0.0,30.4,30.4,30.4,30.4,1.0,0.0,6.0,0.0,29.9,29.9,29.9,29.9,1.0,0.0,6.0,0.0,19.94,19.94,19.94,19.94,1.0,0.0,6.0,0.0,75.0,75.0,75.0,75.0,1.0,0.0,6.0,0.0,4.1,4.1,4.1,4.1,1.0,0.0,6.0,0.0,-3.55,-3.55,-3.55,-3.55,1.0,0.0,6.0,0.0,2.05,2.05,2.05,2.05,1.0,0.0,6.0,0.0,1004.5,1004.5,1004.5,1004.5,1.0,0.0,6.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,6.0,0.0,-14.6,-14.6,-14.6,-14.6,1.0,0.0,6.0,0.0,8.4,8.4,8.4,8.4,1.0,0.0,6.0,0.0,-106.2,-106.2,-106.2,-106.2,1.0,0.0,6.0,0.0,61.3,61.3,61.3,61.3,1.0,0.0,6.0,0.0,-70.8,-70.8,-70.8,-70.8,1.0,0.0,6.0,0.0,40.9,40.9,40.9,40.9,1.0,0.0,6.0,0.0,-26.8,-26.8,-26.8,-26.8,1.0,0.0,6.0,0.0,15.5,15.5,15.5,15.5,1.0,0.0,6.0,0.0,69.0,69.0,69.0,69.0,1.0,0.0,6.0,0.0,70.0,70.0,70.0,70.0,1.0,0.0,6.0,0.0
2004,12,24060,-179.9,-0.8,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,8.7,8.7,8.7,8.7,1.0,0.0,6.0,0.0,6.89,6.89,6.89,6.89,1.0,0.0,6.0,0.0,60.0,60.0,60.0,60.0,1.0,0.0,6.0,0.0,30.0,30.0,30.0,30.0,1.0,0.0,6.0,0.0,29.0,29.0,29.0,29.0,1.0,0.0,6.0,0.0,19.91,19.91,19.91,19.91,1.0,0.0,6.0,0.0,79.0,79.0,79.0,79.0,1.0,0.0,6.0,0.0,8.7,8.7,8.7,8.7,1.0,0.0,6.0,0.0,-8.57,-8.57,-8.57,-8.57,1.0,0.0,6.0,0.0,1.51,1.51,1.51,1.51,1.0,0.0,6.0,0.0,1006.1,1006.1,1006.1,1006.1,1.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,-74.5,-74.5,-74.5,-74.5,1.0,0.0,6.0,0.0,13.1,13.1,13.1,13.1,1.0,0.0,6.0,0.0,-248.5,-248.5,-248.5,-248.5,1.0,0.0,6.0,0.0,43.8,43.8,43.8,43.8,1.0,0.0,6.0,0.0,-170.6,-170.6,-170.6,-170.6,1.0,0.0,6.0,0.0,30.1,30.1,30.1,30.1,1.0,0.0,6.0,0.0,-59.0,-59.0,-59.0,-59.0,1.0,0.0,6.0,0.0,10.4,10.4,10.4,10.4,1.0,0.0,6.0,0.0,658.5,658.5,658.5,658.5,1.0,0.0,6.0,0.0,660.0,660.0,660.0,660.0,1.0,0.0,6.0,0.0
2004,12,24060,-179.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,4.6,4.94,4.6,2.0,0.71,6.0,1.0,-4.9,-4.48,-4.05,-4.48,2.0,0.88,6.0,1.0,-1.18,-0.7,-0.22,-0.7,2.0,0.99,6.0,1.0,1005.73,1006.0,1006.68,1006.2,3.0,0.72,6.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,-142.6,-131.4,-120.1,-131.4,2.0,23.4,6.0,1.0,-35.2,-20.9,-6.6,-20.9,2.0,29.5,6.0,1.0,-96.9,-86.9,-76.9,-86.9,2.0,20.8,6.0,1.0,-22.1,-13.1,-4.2,-13.1,2.0,18.6,6.0,1.0,-33.1,-32.0,-31.0,-32.0,2.0,2.2,6.0,1.0,-9.3,-5.5,-1.8,-5.5,2.0,7.8,6.0,1.0,79.0,101.0,122.5,101.0,2.0,45.0,6.0,1.0,80.0,100.0,125.0,100.0,2.0,45.0,6.0,1.0
2004,12,24060,-179.9,0.2,0.32,0.8,1.0,0.67,3.0,0.51,6.0,0.7,1.0,2.2,3.5,2.2,2.0,2.6,6.0,1.0,6.95,7.74,7.86,7.41,3.0,0.72,6.0,0.7,32.6,33.0,33.4,33.0,2.0,0.8,6.0,1.0,29.8,29.8,29.87,29.83,3.0,0.06,6.0,0.7,28.8,29.0,29.55,29.17,3.0,0.57,6.0,0.7,18.73,18.74,19.55,19.13,3.0,0.69,6.0,0.7,72.6,75.8,78.0,75.3,3.0,4.0,6.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.4,1.7,3.0,1.2,6.0,0.7,-24.4,-20.9,-17.4,-20.9,2.0,7.2,6.0,1.0,-4.8,-2.9,-0.9,-2.9,2.0,4.1,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
