Year,Month,Running Month,Longitude,Latitude,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
2007,7,24091,-179.9,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,-29.4,-29.4,-29.4,-29.4,1.0,0.0,10.0,0.0,24.7,24.7,24.7,24.7,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,7,24091,-179.9,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,1.0,0.0,8.0,1.0,10.0,10.0,10.0,10.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1015.5,1015.5,1015.5,1015.5,1.0,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,7,24091,-179.9,34.8,96.9,114.8,132.7,114.8,2.0,37.1,12.0,0.5,190.5,270.5,350.4,270.5,2.0,165.6,12.0,0.5,59.2,59.2,59.2,59.2,1.0,0.0,10.0,0.0,102.6,102.6,102.6,102.6,1.0,0.0,10.0,0.0,22.16,22.5,22.84,22.5,2.0,0.71,12.0,0.5,23.32,24.0,24.68,24.0,2.0,1.41,12.0,0.5,15.39,15.39,15.39,15.39,1.0,0.0,10.0,0.0,88.0,88.0,88.0,88.0,1.0,0.0,10.0,0.0,9.1,12.1,15.1,12.1,2.0,6.22,12.0,0.5,4.13,4.75,5.36,4.75,2.0,1.27,12.0,0.5,8.07,11.09,14.1,11.09,2.0,6.25,12.0,0.5,1013.1,1013.95,1014.8,1013.95,2.0,1.77,12.0,0.5,7.2,7.5,7.8,7.5,2.0,0.7,12.0,0.5,39.7,61.4,83.0,61.4,2.0,44.9,12.0,0.5,83.8,153.6,223.4,153.6,2.0,144.6,12.0,0.5,-1.84,-1.5,-1.16,-1.5,2.0,0.71,12.0,0.5,-29.0,-20.3,-11.7,-20.3,2.0,17.9,12.0,0.5,1.08,1.08,1.08,1.08,1.0,0.0,10.0,0.0,8.3,8.3,8.3,8.3,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,7,24091,-179.9,41.4,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,175.0,175.0,175.0,175.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,118.6,118.6,118.6,118.6,1.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,10.0,10.0,10.0,10.0,1.0,0.0,14.0,1.0,1008.5,1008.5,1008.5,1008.5,1.0,0.0,14.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,7,24091,-179.9,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,3.0,0.0,16.0,0.3,-92.8,-63.2,0.3,-50.7,5.0,49.1,16.0,0.4,-8.2,0.0,75.4,34.0,5.0,75.3,16.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,7,24091,-179.9,50.1,-94.3,-83.2,-0.1,-48.0,3.0,75.4,14.0,0.7,-42.9,-36.2,-21.5,-32.3,3.0,16.0,14.0,0.7,-74.6,-66.4,-2.3,-39.1,3.0,58.0,14.0,0.7,-31.5,-28.5,-17.1,-24.4,3.0,11.2,14.0,0.7,8.44,9.4,9.47,8.97,3.0,0.84,14.0,0.7,8.2,8.2,9.43,8.8,3.0,1.04,14.0,0.7,6.49,6.55,6.95,6.72,3.0,0.37,14.0,0.7,94.7,96.0,96.9,95.8,3.0,1.6,14.0,0.7,7.36,10.3,12.07,9.73,3.0,3.48,14.0,0.7,-11.49,-10.14,-0.59,-6.14,3.0,8.71,14.0,0.7,-4.54,-4.41,-2.62,-3.6,3.0,1.57,14.0,0.7,1012.18,1013.0,1014.43,1013.3,3.0,1.67,14.0,0.7,8.0,8.0,8.0,8.0,3.0,0.0,14.0,0.7,-139.9,-104.5,-17.4,-79.2,3.0,92.4,14.0,0.7,-47.6,-27.6,-21.3,-34.3,3.0,20.1,14.0,0.7,-0.98,1.2,1.27,0.17,3.0,1.88,14.0,0.7,-3.9,13.4,14.8,5.6,3.0,15.3,14.0,0.7,-0.1,0.8,0.83,0.38,3.0,0.77,14.0,0.7,0.5,8.3,10.0,5.3,3.0,7.4,14.0,0.7,-9.6,-8.1,-3.9,-6.8,3.0,4.3,14.0,0.7,-3.0,-1.4,1.2,-0.9,3.0,3.1,14.0,0.7,494.5,1092.5,1812.0,1152.0,3.0,966.5,14.0,0.7,495.0,1095.0,1810.0,1150.0,3.0,965.0,14.0,0.7
2007,7,24091,-179.8,-39.8,-78.0,9.8,97.7,9.8,2.0,182.0,6.0,0.0,49.1,61.6,74.2,61.6,2.0,26.0,6.0,0.0,-34.8,15.1,65.0,15.1,2.0,103.4,6.0,0.0,25.8,36.0,46.2,36.0,2.0,21.1,6.0,0.0,16.16,16.5,16.84,16.5,2.0,0.71,6.0,0.0,12.21,13.75,15.29,13.75,2.0,3.18,6.0,0.0,6.34,7.9,9.46,7.9,2.0,3.23,6.0,0.0,70.6,78.3,86.1,78.3,2.0,16.0,6.0,0.0,10.16,10.5,10.84,10.5,2.0,0.71,6.0,0.0,-7.32,-0.84,5.65,-0.84,2.0,13.43,6.0,0.0,3.96,4.38,4.8,4.38,2.0,0.88,6.0,0.0,1007.17,1010.75,1014.33,1010.75,2.0,7.42,6.0,0.0,8.0,8.0,8.0,8.0,2.0,0.0,6.0,0.0,-81.9,-13.6,54.8,-13.6,2.0,141.6,6.0,0.0,42.8,45.7,48.6,45.7,2.0,6.1,6.0,0.0,1.56,2.75,3.94,2.75,2.0,2.47,6.0,0.0,16.3,29.8,43.2,29.8,2.0,27.9,6.0,0.0,2.53,3.79,5.05,3.79,2.0,2.62,6.0,0.0,26.1,40.7,55.3,40.7,2.0,30.2,6.0,0.0,-46.4,-20.8,4.9,-20.8,2.0,53.1,6.0,0.0,11.5,15.5,19.4,15.5,2.0,8.2,6.0,0.0,1052.5,1165.5,1278.5,1165.5,2.0,234.0,6.0,0.0,1055.0,1165.0,1280.0,1165.0,2.0,235.0,6.0,0.0
2007,7,24091,-179.8,30.0,-120.4,-54.5,11.4,-54.5,2.0,136.5,18.0,1.0,125.8,147.8,169.7,147.8,2.0,45.5,18.0,1.0,-82.6,-37.9,6.7,-37.9,2.0,92.5,18.0,1.0,83.1,99.4,115.6,99.4,2.0,33.7,18.0,1.0,26.32,27.0,27.68,27.0,2.0,1.41,18.0,1.0,27.48,28.5,29.52,28.5,2.0,2.12,18.0,1.0,18.66,19.04,19.42,19.04,2.0,0.79,18.0,1.0,76.0,79.2,82.3,79.2,2.0,6.4,18.0,1.0,4.83,6.4,7.97,6.4,2.0,3.25,18.0,1.0,-4.48,-2.09,0.29,-2.09,2.0,4.95,18.0,1.0,4.3,5.26,6.22,5.26,2.0,1.99,18.0,1.0,1020.32,1021.0,1021.68,1021.0,2.0,1.41,18.0,1.0,2.0,4.0,6.0,4.0,2.0,4.2,18.0,1.0,-40.0,-21.5,-2.9,-21.5,2.0,38.5,18.0,1.0,22.5,36.9,51.3,36.9,2.0,29.8,18.0,1.0,-1.84,-1.5,-1.16,-1.5,2.0,0.71,18.0,1.0,-8.6,-8.4,-8.3,-8.4,2.0,0.4,18.0,1.0,2.61,3.11,3.62,3.11,2.0,1.05,18.0,1.0,16.6,18.2,19.9,18.2,2.0,3.4,18.0,1.0,-10.3,-3.9,2.4,-3.9,2.0,13.2,18.0,1.0,15.0,15.3,15.7,15.3,2.0,0.7,18.0,1.0,162.5,363.5,565.0,363.5,2.0,417.0,18.0,1.0,160.0,365.0,565.0,365.0,2.0,415.0,18.0,1.0
2007,7,24091,-179.8,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,4.2,4.2,1.0,0.0,10.0,0.0,7.2,7.2,7.2,7.2,1.0,0.0,10.0,0.0,1097.0,2474.5,3851.5,2474.5,2.0,2853.5,12.0,0.5,1095.0,2475.0,3850.0,2475.0,2.0,2855.0,12.0,0.5
2007,7,24091,-179.8,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-4.7,-4.7,-4.7,1.0,0.0,28.0,1.0,-5.6,-5.6,-5.6,-5.6,1.0,0.0,28.0,1.0,73.5,83.0,93.0,83.0,2.0,20.0,28.0,1.0,75.0,85.0,95.0,85.0,2.0,20.0,28.0,1.0
