Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
2023,11,24287,-179.9,-38.6,17.0,17.0,17.0,17.0,1.0,0.0,8.0,1.0,19.0,19.0,19.0,19.0,1.0,0.0,8.0,1.0,8.98,8.98,8.98,8.98,1.0,0.0,8.0,1.0,65.5,65.5,65.5,65.5,1.0,0.0,8.0,1.0,8.2,8.2,8.2,8.2,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,8.2,8.2,8.2,8.2,1.0,0.0,8.0,1.0,1006.8,1006.8,1006.8,1006.8,1.0,0.0,8.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,67.2,67.2,67.2,67.2,1.0,0.0,8.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,8.0,1.0,-16.4,-16.4,-16.4,-16.4,1.0,0.0,8.0,1.0,3.13,3.13,3.13,3.13,1.0,0.0,8.0,1.0,25.6,25.6,25.6,25.6,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,155.8,155.8,155.8,155.8,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,73.6,73.6,73.6,73.6,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,25.6,25.6,25.6,25.6,1.0,0.0,8.0,1.0,551.5,551.5,551.5,551.5,1.0,0.0,8.0,1.0,550.0,550.0,550.0,550.0,1.0,0.0,8.0,1.0
2023,11,24287,-179.9,31.6,22.0,22.0,22.0,22.0,1.0,0.0,14.0,1.0,24.0,24.0,24.0,24.0,1.0,0.0,14.0,1.0,15.36,15.36,15.36,15.36,1.0,0.0,14.0,1.0,83.3,83.3,83.3,83.3,1.0,0.0,14.0,1.0,7.2,7.2,7.2,7.2,1.0,0.0,14.0,1.0,-6.77,-6.77,-6.77,-6.77,1.0,0.0,14.0,1.0,-2.46,-2.46,-2.46,-2.46,1.0,0.0,14.0,1.0,1021.0,1021.0,1021.0,1021.0,1.0,0.0,14.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,14.0,1.0,-48.7,-48.7,-48.7,-48.7,1.0,0.0,14.0,1.0,-17.7,-17.7,-17.7,-17.7,1.0,0.0,14.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,14.0,1.0,-14.4,-14.4,-14.4,-14.4,1.0,0.0,14.0,1.0,0.98,0.98,0.98,0.98,1.0,0.0,14.0,1.0,7.1,7.1,7.1,7.1,1.0,0.0,14.0,1.0,-162.4,-162.4,-162.4,-162.4,1.0,0.0,14.0,1.0,-59.1,-59.1,-59.1,-59.1,1.0,0.0,14.0,1.0,-103.9,-103.9,-103.9,-103.9,1.0,0.0,14.0,1.0,-37.8,-37.8,-37.8,-37.8,1.0,0.0,14.0,1.0,-6.6,-6.6,-6.6,-6.6,1.0,0.0,14.0,1.0,-2.4,-2.4,-2.4,-2.4,1.0,0.0,14.0,1.0,373.0,373.0,373.0,373.0,1.0,0.0,14.0,1.0,375.0,375.0,375.0,375.0,1.0,0.0,14.0,1.0
2023,11,24287,-179.9,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.4,-15.4,-15.4,-15.4,1.0,0.0,4.0,1.0,-8.9,-8.9,-8.9,-8.9,1.0,0.0,4.0,1.0,1354.5,1752.0,3693.5,2489.0,4.0,1940.5,14.0,0.8,1355.0,1750.0,3695.0,2490.0,4.0,1940.0,14.0,0.8
2023,11,24287,-179.8,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,8.2,8.2,1.0,0.0,24.0,1.0,-6.28,-6.28,-6.28,-6.28,1.0,0.0,24.0,1.0,-5.27,-5.27,-5.27,-5.27,1.0,0.0,24.0,1.0,1018.0,1018.0,1018.0,1018.0,1.0,0.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,24287,-179.7,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.1,5.1,3.0,0.0,14.0,1.0,4.42,4.42,4.42,4.42,3.0,0.0,14.0,1.0,-2.55,-2.55,-2.55,-2.55,3.0,0.0,14.0,1.0,1006.9,1006.9,1006.9,1006.9,3.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,24287,-179.7,0.3,31.0,31.0,31.0,31.0,1.0,0.0,14.0,0.0,30.0,30.0,30.0,30.0,1.0,0.0,14.0,0.0,22.97,22.97,22.97,22.97,1.0,0.0,14.0,0.0,86.0,86.0,86.0,86.0,1.0,0.0,14.0,0.0,7.7,7.7,7.7,7.7,1.0,0.0,14.0,0.0,-6.67,-6.67,-6.67,-6.67,1.0,0.0,14.0,0.0,3.85,3.85,3.85,3.85,1.0,0.0,14.0,0.0,1007.1,1007.1,1007.1,1007.1,1.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,7.7,7.7,7.7,7.7,1.0,0.0,14.0,0.0,5.41,5.41,5.41,5.41,1.0,0.0,14.0,0.0,41.7,41.7,41.7,41.7,1.0,0.0,14.0,0.0,-200.1,-200.1,-200.1,-200.1,1.0,0.0,14.0,0.0,115.5,115.5,115.5,115.5,1.0,0.0,14.0,0.0,-153.2,-153.2,-153.2,-153.2,1.0,0.0,14.0,0.0,88.4,88.4,88.4,88.4,1.0,0.0,14.0,0.0,-36.1,-36.1,-36.1,-36.1,1.0,0.0,14.0,0.0,20.8,20.8,20.8,20.8,1.0,0.0,14.0,0.0,456.5,456.5,456.5,456.5,1.0,0.0,14.0,0.0,455.0,455.0,455.0,455.0,1.0,0.0,14.0,0.0
2023,11,24287,-179.7,34.8,21.3,21.3,21.3,21.3,1.0,0.0,30.0,1.0,18.23,18.3,20.21,19.2,3.0,1.65,24.0,1.0,9.27,10.21,11.15,10.21,2.0,1.95,22.0,1.0,71.6,79.2,86.8,79.2,2.0,15.8,22.0,1.0,10.3,10.3,10.3,10.3,1.0,0.0,30.0,1.0,3.52,3.52,3.52,3.52,1.0,0.0,30.0,1.0,9.68,9.68,9.68,9.68,1.0,0.0,30.0,1.0,1017.89,1019.8,1023.49,1020.67,3.0,4.17,24.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,30.0,1.0,36.3,36.3,36.3,36.3,1.0,0.0,30.0,1.0,99.7,99.7,99.7,99.7,1.0,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,24287,-179.7,39.9,20.0,20.0,20.0,20.0,1.0,0.0,20.0,0.0,18.0,18.0,18.0,18.0,1.0,0.0,20.0,0.0,4.64,4.64,4.64,4.64,1.0,0.0,20.0,0.0,36.5,36.5,36.5,36.5,1.0,0.0,20.0,0.0,19.5,19.5,19.5,19.5,1.0,0.0,20.0,0.0,9.75,9.75,9.75,9.75,1.0,0.0,20.0,0.0,16.89,16.89,16.89,16.89,1.0,0.0,20.0,0.0,1019.25,1022.9,1023.72,1021.55,4.0,3.56,16.0,0.0,8.0,8.0,8.0,8.0,1.0,0.0,20.0,0.0,190.1,190.1,190.1,190.1,1.0,0.0,20.0,0.0,329.3,329.3,329.3,329.3,1.0,0.0,20.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,20.0,0.0,39.0,39.0,39.0,39.0,1.0,0.0,20.0,0.0,9.86,9.86,9.86,9.86,1.0,0.0,20.0,0.0,192.2,192.2,192.2,192.2,1.0,0.0,20.0,0.0,175.5,175.5,175.5,175.5,1.0,0.0,20.0,0.0,304.0,304.0,304.0,304.0,1.0,0.0,20.0,0.0,45.2,45.2,45.2,45.2,1.0,0.0,20.0,0.0,78.3,78.3,78.3,78.3,1.0,0.0,20.0,0.0,96.1,96.1,96.1,96.1,1.0,0.0,20.0,0.0,166.5,166.5,166.5,166.5,1.0,0.0,20.0,0.0,7415.0,7415.0,7415.0,7415.0,1.0,0.0,20.0,0.0,7415.0,7415.0,7415.0,7415.0,1.0,0.0,20.0,0.0
2023,11,24287,-179.7,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.4,15.4,1.0,0.0,22.0,1.0,11.8,11.8,11.8,11.8,1.0,0.0,22.0,1.0,9.9,9.9,9.9,9.9,1.0,0.0,22.0,1.0,1004.52,1012.1,1012.92,1008.8,3.0,6.78,10.0,0.3,8.0,8.0,8.0,8.0,1.0,0.0,22.0,1.0,181.7,181.7,181.7,181.7,1.0,0.0,22.0,1.0,152.4,152.4,152.4,152.4,1.0,0.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,24287,-179.6,38.5,19.59,20.3,21.74,20.37,6.0,1.42,12.0,0.3,15.0,16.0,18.52,16.29,15.0,1.81,14.0,0.4,7.68,8.76,9.24,8.58,15.0,0.98,14.0,0.4,69.0,76.7,87.0,75.8,15.0,8.7,14.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,5.85,6.92,5.38,6.0,1.75,12.0,0.3,20.3,37.7,50.2,39.9,6.0,23.1,12.0,0.3,6.17,7.06,7.47,6.74,6.0,1.26,12.0,0.3,25.6,48.2,83.5,52.2,6.0,28.0,12.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.4,29.6,54.0,14.3,6.0,47.7,12.0,0.3,-57.0,-1.8,12.2,-15.3,6.0,35.3,12.0,0.3,199.5,238.5,1154.5,521.0,9.0,588.5,10.0,0.3,200.0,240.0,1155.0,520.0,9.0,590.0,10.0,0.3
