Year,Month,Running Month,Longitude,Latitude,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations
2025,5,24305,-179.9,-20.1,-30.1,-30.1,-30.1,-30.1,1.0,0.0,22.0,1.0,11.0,11.0,11.0,11.0,1.0,0.0,22.0,1.0,551.5,551.5,551.5,551.5,1.0,0.0,22.0,1.0,550.0,550.0,550.0,550.0,1.0,0.0,22.0,1.0,-208.0,-208.0,-208.0,-208.0,1.0,0.0,22.0,1.0,75.7,75.7,75.7,75.7,1.0,0.0,22.0,1.0,-131.5,-131.5,-131.5,-131.5,1.0,0.0,22.0,1.0,47.9,47.9,47.9,47.9,1.0,0.0,22.0,1.0,26.0,26.0,26.0,26.0,1.0,0.0,22.0,1.0,27.0,27.0,27.0,27.0,1.0,0.0,22.0,1.0,17.07,17.07,17.07,17.07,1.0,0.0,22.0,1.0,76.9,76.9,76.9,76.9,1.0,0.0,22.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,22.0,1.0,-8.2,-8.2,-8.2,-8.2,1.0,0.0,22.0,1.0,3.91,3.91,3.91,3.91,1.0,0.0,22.0,1.0,32.1,32.1,32.1,32.1,1.0,0.0,22.0,1.0,8.2,8.2,8.2,8.2,1.0,0.0,22.0,1.0,-7.71,-7.71,-7.71,-7.71,1.0,0.0,22.0,1.0,2.8,2.8,2.8,2.8,1.0,0.0,22.0,1.0,1014.2,1014.2,1014.2,1014.2,1.0,0.0,22.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,22.0,1.0,76.9,76.9,76.9,76.9,1.0,0.0,22.0,1.0,-63.2,-63.2,-63.2,-63.2,1.0,0.0,22.0,1.0,23.0,23.0,23.0,23.0,1.0,0.0,22.0,1.0
2025,5,24305,-179.9,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,1.0,0.0,4.0,1.0,82.8,83.2,83.5,83.2,2.0,0.8,6.0,1.0,-28.0,-16.6,-5.3,-16.6,2.0,23.5,6.0,1.0,14.0,16.1,18.2,16.1,2.0,4.4,6.0,1.0
2025,5,24305,-179.8,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.3,12.3,12.3,1.0,0.0,30.0,1.0,-11.56,-11.56,-11.56,-11.56,1.0,0.0,30.0,1.0,-4.21,-4.21,-4.21,-4.21,1.0,0.0,30.0,1.0,1013.7,1013.7,1013.7,1013.7,1.0,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,24305,-179.8,41.6,8.7,8.7,8.7,8.7,1.0,0.0,20.0,0.0,23.9,23.9,23.9,23.9,1.0,0.0,20.0,0.0,373.0,373.0,667.5,517.0,3.0,249.0,24.0,0.7,375.0,375.0,670.0,515.0,3.0,250.0,24.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,1.0,0.0,20.0,0.0,91.2,93.7,95.3,93.2,4.0,2.8,26.0,0.8,34.4,44.9,47.5,41.1,3.0,10.1,24.0,0.7,-23.3,-17.7,49.9,12.5,3.0,59.7,24.0,0.7
2025,5,24305,-179.8,47.8,10.0,10.0,10.0,10.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,456.5,456.5,787.5,618.0,3.0,280.0,18.0,0.7,455.0,455.0,785.0,620.0,3.0,280.0,18.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,24305,-179.8,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,21.3,51.5,21.3,2.0,62.7,14.0,1.0,-3.4,-2.0,-0.6,-2.0,2.0,2.9,14.0,1.0,-13.3,-13.3,-13.3,-13.3,1.0,0.0,2.0,1.0,-2.3,-2.3,-2.3,-2.3,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,5.4,7.31,5.4,2.0,3.96,14.0,1.0,-0.85,2.82,6.49,2.82,2.0,7.61,14.0,1.0,-0.38,-0.23,-0.07,-0.23,2.0,0.32,14.0,1.0,1004.08,1008.15,1016.79,1009.13,6.0,7.0,18.0,0.8,8.0,8.0,8.0,8.0,2.0,0.0,14.0,1.0,76.1,89.5,92.9,85.3,5.0,9.2,16.0,0.8,5.1,30.3,55.5,30.3,2.0,52.3,14.0,1.0,-1.0,-0.6,-0.2,-0.6,2.0,0.8,14.0,1.0
2025,5,24305,-179.7,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,27.8,27.8,27.8,2.0,0.0,24.0,0.0,23.43,25.7,27.19,25.36,9.0,1.86,10.0,0.4,15.13,17.17,18.07,16.73,7.0,1.72,6.0,0.6,70.0,99.4,100.0,87.1,7.0,15.9,6.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,10.05,10.22,10.05,2.0,0.35,24.0,0.0,-10.22,-10.05,-9.88,-10.05,2.0,0.35,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,1013.45,1014.8,1015.29,1014.44,9.0,1.33,10.0,0.4,2.0,2.0,2.0,2.0,2.0,0.0,24.0,0.0,70.0,99.4,100.0,87.1,7.0,15.9,6.0,0.6,-104.5,-101.1,-97.6,-101.1,2.0,7.1,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0
2025,5,24305,-179.7,30.6,4.2,4.2,4.2,4.2,1.0,0.0,16.0,1.0,7.2,7.2,7.2,7.2,1.0,0.0,16.0,1.0,46.5,46.5,46.5,46.5,1.0,0.0,16.0,1.0,45.0,45.0,45.0,45.0,1.0,0.0,16.0,1.0,36.0,36.0,36.0,36.0,1.0,0.0,16.0,1.0,62.4,62.4,62.4,62.4,1.0,0.0,16.0,1.0,22.5,22.5,22.5,22.5,1.0,0.0,16.0,1.0,39.0,39.0,39.0,39.0,1.0,0.0,16.0,1.0,20.4,20.4,20.4,20.4,1.0,0.0,16.0,1.0,20.0,20.0,20.0,20.0,1.0,0.0,16.0,1.0,12.5,12.5,12.5,12.5,1.0,0.0,16.0,1.0,86.6,86.6,86.6,86.6,1.0,0.0,16.0,1.0,0.4,0.4,0.4,0.4,1.0,0.0,16.0,1.0,1.4,1.4,1.4,1.4,1.0,0.0,16.0,1.0,2.32,2.32,2.32,2.32,1.0,0.0,16.0,1.0,8.3,8.3,8.3,8.3,1.0,0.0,16.0,1.0,3.6,3.6,3.6,3.6,1.0,0.0,16.0,1.0,1.8,1.8,1.8,1.8,1.0,0.0,16.0,1.0,3.12,3.12,3.12,3.12,1.0,0.0,16.0,1.0,1019.8,1019.8,1019.8,1019.8,1.0,0.0,16.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,16.0,1.0,86.6,86.6,86.6,86.6,1.0,0.0,16.0,1.0,6.5,6.5,6.5,6.5,1.0,0.0,16.0,1.0,11.2,11.2,11.2,11.2,1.0,0.0,16.0,1.0
2025,5,24305,-179.7,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,7.5,8.52,7.5,2.0,2.12,18.0,0.5,5.1,5.75,6.0,6.05,8.0,1.53,20.0,0.9,4.24,5.69,5.81,5.08,7.0,0.86,20.0,0.9,77.4,100.0,100.0,87.4,7.0,18.0,20.0,0.9,1.32,2.0,2.68,2.0,2.0,1.41,18.0,0.5,11.9,16.5,21.0,16.5,2.0,9.4,18.0,0.5,1.3,1.3,1.3,1.3,1.0,0.0,24.0,0.0,10.0,10.0,10.0,10.0,1.0,0.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,24305,-179.7,48.1,0.5,0.5,0.5,0.5,1.0,0.0,2.0,1.0,0.1,0.1,0.1,0.1,1.0,0.0,2.0,1.0,102.5,284.5,466.5,284.5,2.0,377.5,14.0,1.0,100.0,285.0,465.0,285.0,2.0,375.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,1.0,0.0,2.0,1.0,5.8,7.05,8.21,7.07,6.0,1.32,18.0,0.8,4.85,5.19,5.8,5.26,5.0,0.63,16.0,0.8,76.1,89.5,92.9,85.3,5.0,9.2,16.0,0.8,-5.0,-5.0,-5.0,-5.0,1.0,0.0,2.0,1.0,-13.0,-13.0,-13.0,-13.0,1.0,0.0,2.0,1.0,-0.18,-0.18,-0.18,-0.18,1.0,0.0,2.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
