Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations
2025,6,24306,-179.9,-38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,11.8,12.3,8.32,5.0,5.24,18.0,0.2,-0.39,9.04,9.42,5.36,5.0,5.4,18.0,0.2,-7.91,-7.58,-0.27,-4.52,5.0,4.83,18.0,0.2,1022.71,1026.4,1027.08,1025.24,15.0,2.11,18.0,0.6,-5.3,141.0,147.2,84.5,5.0,83.9,18.0,0.2,-123.5,-118.3,-3.8,-71.1,5.0,74.0,18.0,0.2,-2.1,65.4,69.5,39.9,5.0,39.1,18.0,0.2,-58.3,-54.9,-1.6,-33.6,5.0,34.0,18.0,0.2
2025,6,24306,-179.9,-37.2,16.0,16.0,16.0,16.0,1.0,0.0,20.0,0.0,13.7,13.95,16.96,14.9,8.0,1.65,20.0,0.3,4.9,5.26,10.01,6.85,8.0,2.53,20.0,0.3,51.6,54.4,83.8,64.2,8.0,16.5,20.0,0.3,23.1,23.1,23.1,23.1,1.0,0.0,20.0,0.0,-13.3,-13.3,-13.3,-13.3,1.0,0.0,20.0,0.0,132.5,279.0,7735.5,2557.5,8.0,3725.5,20.0,0.3,135.0,280.0,7735.0,2560.0,8.0,3725.0,20.0,0.3,8.0,8.0,8.0,8.0,1.0,0.0,20.0,0.0,51.6,54.4,83.8,64.2,8.0,16.5,20.0,0.3,-33.9,-5.1,10.4,10.8,8.0,65.7,20.0,0.3,-375.7,21.4,31.3,-96.6,8.0,200.0,20.0,0.3,0.2,0.2,0.2,0.2,1.0,0.0,20.0,0.0,2.8,2.8,2.8,2.8,1.0,0.0,20.0,0.0,1.92,1.92,1.92,1.92,1.0,0.0,20.0,0.0,26.6,26.6,26.6,26.6,1.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,24306,-179.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.5,-69.5,-69.5,-69.5,1.0,0.0,14.0,1.0,-12.2,-12.2,-12.2,-12.2,1.0,0.0,14.0,1.0,305.0,448.5,592.0,448.5,2.0,297.0,18.0,1.0,305.0,450.0,590.0,450.0,2.0,295.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,1.0,0.0,14.0,1.0,26.1,26.1,26.1,26.1,1.0,0.0,14.0,1.0,8.11,8.11,8.11,8.11,1.0,0.0,14.0,1.0,70.5,70.5,70.5,70.5,1.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-239.9,-239.9,-239.9,-239.9,1.0,0.0,14.0,1.0,-42.3,-42.3,-42.3,-42.3,1.0,0.0,14.0,1.0,-173.1,-173.1,-173.1,-173.1,1.0,0.0,14.0,1.0,-30.5,-30.5,-30.5,-30.5,1.0,0.0,14.0,1.0
2025,6,24306,-179.9,30.4,26.0,26.0,26.0,26.0,1.0,0.0,18.0,1.0,27.0,27.25,27.71,27.35,4.0,0.48,26.0,1.0,17.6,17.7,18.82,18.18,4.0,1.03,26.0,1.0,79.0,79.7,82.6,80.8,4.0,2.7,26.0,1.0,-5.5,-5.5,-5.5,-5.5,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,185.0,185.0,185.0,185.0,1.0,0.0,18.0,1.0,185.0,185.0,185.0,185.0,1.0,0.0,18.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,18.0,1.0,79.0,79.7,82.6,80.8,4.0,2.7,26.0,1.0,-32.5,-32.5,-32.5,-32.5,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,18.0,1.0,-11.4,-11.4,-11.4,-11.4,1.0,0.0,18.0,1.0,0.97,0.97,0.97,0.97,1.0,0.0,18.0,1.0,5.5,5.5,5.5,5.5,1.0,0.0,18.0,1.0,5.7,5.7,5.7,5.7,1.0,0.0,18.0,1.0,-5.7,-5.7,-5.7,-5.7,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,1020.3,1020.4,1024.27,1022.2,4.0,3.67,26.0,1.0,-159.6,-159.6,-159.6,-159.6,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,-112.4,-112.4,-112.4,-112.4,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0
2025,6,24306,-179.9,38.7,18.0,18.0,18.0,18.0,1.0,0.0,20.0,1.0,15.0,15.0,15.0,15.0,1.0,0.0,20.0,1.0,9.49,9.49,9.49,9.49,1.0,0.0,20.0,1.0,89.6,89.6,89.6,89.6,1.0,0.0,20.0,1.0,8.6,8.6,8.6,8.6,1.0,0.0,20.0,1.0,-14.8,-14.8,-14.8,-14.8,1.0,0.0,20.0,1.0,132.5,132.5,132.5,132.5,1.0,0.0,20.0,1.0,135.0,135.0,135.0,135.0,1.0,0.0,20.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,20.0,1.0,89.6,89.6,89.6,89.6,1.0,0.0,20.0,1.0,13.0,13.0,13.0,13.0,1.0,0.0,20.0,1.0,-22.5,-22.5,-22.5,-22.5,1.0,0.0,20.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,20.0,1.0,15.3,15.3,15.3,15.3,1.0,0.0,20.0,1.0,3.36,3.36,3.36,3.36,1.0,0.0,20.0,1.0,17.1,17.1,17.1,17.1,1.0,0.0,20.0,1.0,5.1,5.1,5.1,5.1,1.0,0.0,20.0,1.0,2.55,2.55,2.55,2.55,1.0,0.0,20.0,1.0,-4.42,-4.42,-4.42,-4.42,1.0,0.0,20.0,1.0,1011.0,1011.0,1011.0,1011.0,1.0,0.0,20.0,1.0,38.3,38.3,38.3,38.3,1.0,0.0,20.0,1.0,-66.3,-66.3,-66.3,-66.3,1.0,0.0,20.0,1.0,24.2,24.2,24.2,24.2,1.0,0.0,20.0,1.0,-41.9,-41.9,-41.9,-41.9,1.0,0.0,20.0,1.0
2025,6,24306,-179.9,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.6,3.6,4.09,26.0,2.31,4.0,0.6,-2.31,-2.31,-2.31,-1.49,26.0,3.48,4.0,0.6,2.76,2.76,2.76,2.61,26.0,1.12,4.0,0.6,1022.0,1022.0,1022.0,1021.85,26.0,1.78,4.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,24306,-179.8,46.4,10.0,10.0,10.0,10.0,1.0,0.0,30.0,0.0,6.9,8.1,9.59,8.42,5.0,2.1,18.0,0.2,5.63,5.72,6.46,6.07,5.0,0.85,18.0,0.2,87.0,88.1,90.6,88.7,5.0,2.0,18.0,0.2,-0.2,-0.2,-0.2,-0.2,1.0,0.0,30.0,0.0,-0.4,-0.4,-0.4,-0.4,1.0,0.0,30.0,0.0,551.5,551.5,551.5,551.5,1.0,0.0,30.0,0.0,550.0,550.0,550.0,550.0,1.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-2.0,-2.0,-2.0,1.0,0.0,30.0,0.0,-16.4,-16.4,-16.4,-16.4,1.0,0.0,30.0,0.0,-0.05,-0.05,-0.05,-0.05,1.0,0.0,30.0,0.0,-0.4,-0.4,-0.4,-0.4,1.0,0.0,30.0,0.0,8.2,8.2,8.2,8.2,1.0,0.0,30.0,0.0,4.1,4.1,4.1,4.1,1.0,0.0,30.0,0.0,7.1,7.1,7.1,7.1,1.0,0.0,30.0,0.0,1006.86,1022.0,1023.65,1016.62,5.0,8.95,18.0,0.2,49.2,49.2,49.2,49.2,1.0,0.0,30.0,0.0,85.2,85.2,85.2,85.2,1.0,0.0,30.0,0.0,31.1,31.1,31.1,31.1,1.0,0.0,30.0,0.0,53.9,53.9,53.9,53.9,1.0,0.0,30.0,0.0
2025,6,24306,-179.7,-32.5,20.06,20.3,20.47,20.28,5.0,0.24,6.0,0.6,19.56,19.7,19.8,19.68,5.0,0.13,6.0,0.6,11.06,11.39,11.73,11.38,5.0,0.47,6.0,0.6,76.8,79.2,80.7,78.7,5.0,2.9,6.0,0.6,38.2,50.0,57.0,48.1,5.0,9.9,6.0,0.6,-19.3,-9.9,-1.7,-10.0,5.0,10.2,6.0,0.6,2076.0,2460.5,3443.0,2689.0,5.0,711.5,6.0,0.6,2075.0,2460.0,3445.0,2690.0,5.0,710.0,6.0,0.6,4.0,4.0,4.0,4.0,1.0,0.0,6.0,1.0,76.8,79.2,80.7,78.7,5.0,2.9,6.0,0.6,151.4,181.6,213.2,182.5,5.0,33.7,6.0,0.6,-88.0,-39.6,-5.1,-44.3,5.0,45.8,6.0,0.6,0.3,0.6,0.85,0.6,5.0,0.33,6.0,0.6,4.3,9.1,11.0,8.1,5.0,4.0,6.0,0.6,3.11,3.76,4.14,3.65,5.0,0.6,6.0,0.6,42.8,50.2,57.6,50.2,5.0,7.7,6.0,0.6,12.75,13.5,15.1,13.82,5.0,1.22,6.0,0.6,11.98,13.45,14.12,13.13,5.0,1.39,6.0,0.6,-6.41,-2.62,-0.35,-3.11,5.0,3.3,6.0,0.6,996.32,996.9,998.77,997.44,5.0,1.42,6.0,0.6,234.9,263.6,278.7,258.3,5.0,27.7,6.0,0.6,-126.4,-51.9,-6.9,-61.4,5.0,65.0,6.0,0.6,136.7,143.4,165.4,149.3,5.0,16.5,6.0,0.6,-75.4,-29.9,-3.5,-36.2,5.0,38.9,6.0,0.6
2025,6,24306,-179.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.5,-44.5,-40.9,-49.2,13.0,10.3,28.0,0.0,0.0,0.0,10.4,4.5,13.0,8.3,28.0,0.0,238.5,373.0,854.5,493.5,15.0,345.0,28.0,0.0,240.0,375.0,855.0,495.0,15.0,345.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,24306,-179.6,29.8,27.65,27.7,27.7,27.68,4.0,0.05,26.0,0.3,26.8,26.9,27.16,26.98,4.0,0.3,26.0,0.3,17.01,17.42,17.79,17.4,4.0,0.45,26.0,0.3,76.4,79.5,81.7,79.0,4.0,3.2,26.0,0.3,-35.2,-33.1,-31.9,-33.5,4.0,2.3,26.0,0.3,0.0,0.0,2.9,1.4,4.0,2.8,26.0,0.3,195.0,227.0,238.5,217.0,4.0,29.5,26.0,0.3,195.0,225.0,240.0,215.0,4.0,30.0,26.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.75,0.9,0.7,4.0,0.29,26.0,0.3,3.0,4.4,5.4,4.2,4.0,1.8,26.0,0.3,5.19,5.63,6.06,5.62,4.0,0.51,26.0,0.3,32.1,33.1,35.2,33.7,4.0,2.2,26.0,0.3,5.79,6.1,6.2,6.0,4.0,0.28,26.0,0.3,-6.16,-6.05,-5.79,-5.98,4.0,0.26,26.0,0.3,0.0,0.0,0.56,0.27,4.0,0.54,26.0,0.3,1020.59,1021.15,1021.56,1021.08,4.0,0.61,26.0,0.3,-165.0,-164.3,-157.1,-161.2,4.0,7.1,26.0,0.3,0.0,0.0,15.2,7.2,4.0,14.5,26.0,0.3,-109.5,-105.2,-98.5,-104.1,4.0,6.8,26.0,0.3,0.0,0.0,10.0,4.8,4.0,9.6,26.0,0.3
