Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,As1,As3,As5,Am,An,As,Ad,Aht,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Is1,Is3,Is5,Im,In,Is,Id,Iht,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht
1814,7,-41.10000000000002,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2,0.0,4,1.0,0.0,0.0,0.0,0.0,2,0.0,4,1.0,0.0,0.0,0.0,0.0,2,0.0,4,1.0,1017.0,1017.0,1017.0,1017.0,1,0.0,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-41.0,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.54,0.43,6,1.06,8,1.0,-0.53,0.0,0.0,-0.43,6,1.04,8,1.0,-0.1,0.0,0.0,-0.08,6,0.2,8,1.0,1017.03,1017.1,1017.17,1017.1,2,0.14,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-39.69999999999999,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.49,37,1.66,6,1.0,0.0,0.0,0.0,-0.37,37,1.22,6,1.0,0.0,0.0,0.0,-0.3,37,1.13,6,1.0,1018.97,1020.45,1023.6,1020.57,26,2.62,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-39.69999999999999,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.6,1.29,48,1.99,8,1.0,-1.18,0.0,0.53,-0.33,48,2.0,8,1.0,-1.38,0.0,0.0,-0.6,48,1.08,8,1.0,1017.16,1020.45,1022.96,1019.84,30,2.65,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-39.30000000000001,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,9.3,9.3,6.92,5,4.03,2,1.0,-7.02,-5.2,-3.06,-4.88,5,2.97,2,1.0,-6.99,-5.07,-2.95,-4.8,5,2.95,2,1.0,1019.01,1020.3,1023.95,1021.33,7,3.83,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-39.19999999999999,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.8,2.6,1.8,8,0.86,18,1.0,-2.59,-1.77,-0.89,-1.68,8,0.98,18,1.0,-0.29,-0.06,0.45,0.06,8,0.48,18,1.0,1014.82,1018.2,1021.2,1018.41,15,3.86,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-39.10000000000002,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,2,0.0,14,1.0,-6.53,-6.53,-6.53,-6.53,2,0.0,14,1.0,-1.51,-1.51,-1.51,-1.51,2,0.0,14,1.0,1014.6,1014.6,1014.6,1014.6,1,0.0,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-39.10000000000002,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,9.01,6.84,8,2.08,16,1.0,-8.8,-6.53,-4.74,-6.38,8,2.17,16,1.0,-2.65,-1.8,-0.84,-1.98,8,1.42,16,1.0,1014.32,1014.6,1017.78,1015.76,8,1.85,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-37.80000000000001,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,8.47,7.57,3,1.5,16,1.0,-8.31,-6.7,-6.58,-7.43,3,1.42,16,1.0,-1.91,-1.51,-0.64,-1.28,3,0.95,16,1.0,1017.37,1018.0,1021.09,1019.2,5,2.94,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-37.69999999999999,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,6.7,9.3,6.65,8,2.77,14,1.0,-8.99,-6.3,-2.93,-6.24,8,2.71,14,1.0,-2.83,-2.09,-1.49,-2.17,8,1.03,14,1.0,1015.14,1017.55,1022.59,1018.53,10,3.52,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-37.69999999999999,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.6,1.79,14,1.64,18,1.0,-2.47,-0.96,-0.88,-1.61,14,1.7,18,1.0,-0.58,-0.29,0.46,-0.07,14,0.66,18,1.0,1015.03,1021.1,1027.47,1020.65,21,5.47,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,7,-37.60000000000002,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6,2.6,1.56,9,1.28,10,1.0,-0.82,-0.41,0.0,-0.36,9,0.49,10,1.0,-2.57,-2.27,0.0,-1.42,9,1.3,10,1.0,1016.74,1020.6,1027.47,1021.51,9,4.81,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
