Year,Month,Running Month,Longitude,Latitude,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1886,8,22640,-179.6,-5.5,2.0,3.0,3.0,2.6,12.0,0.5,6.0,0.4,87.4,87.9,91.6,88.7,12.0,2.3,6.0,0.4,-37.2,-37.2,-20.8,-32.7,12.0,8.9,6.0,0.4,-25.1,-25.1,-2.0,-17.8,12.0,13.3,6.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.5,-45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.4,15.4,2.0,0.0,16.0,1.0,-14.26,-14.23,-14.19,-14.23,2.0,0.07,16.0,1.0,-3.9,0.12,4.15,0.12,2.0,8.33,16.0,1.0,1017.59,1018.65,1019.71,1018.65,2.0,2.19,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.5,-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,11.05,12.3,9.75,4.0,3.63,10.0,0.8,4.33,9.64,10.2,7.37,4.0,4.94,10.0,0.8,4.11,5.74,6.88,5.51,4.0,1.63,10.0,0.8,1022.6,1022.6,1022.6,1022.6,1.0,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.5,-9.2,2.0,3.0,4.0,3.0,23.0,0.8,2.0,0.4,88.4,91.6,93.8,90.7,23.0,2.9,2.0,0.4,-2.6,0.0,0.4,-0.9,17.0,2.1,2.0,0.4,-6.2,-0.9,0.0,-2.1,17.0,2.7,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.6,1.27,17.0,1.09,2.0,0.4,-1.02,0.0,0.37,-0.33,17.0,0.84,2.0,0.4,-2.39,-0.93,0.0,-1.01,17.0,1.0,2.0,0.4,1006.57,1007.9,1008.4,1007.71,21.0,0.75,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,0.0,10.4,-9.4,17.0,23.9,2.0,0.4,-68.4,-25.8,0.0,-29.0,17.0,28.6,2.0,0.4,-22.1,0.0,8.2,-7.7,15.0,19.3,2.0,0.5,-52.2,-19.9,0.0,-22.4,15.0,23.4,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.5,-7.7,3.0,4.0,5.0,3.9,22.0,1.2,4.0,0.5,88.4,91.6,92.2,90.7,19.0,2.4,4.0,0.5,-25.1,-0.8,0.0,-8.7,18.0,12.4,4.0,0.5,-33.4,-21.2,-0.7,-18.3,18.0,13.9,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.5,44.6,3.4,7.0,8.0,6.1,10.0,2.2,20.0,0.5,77.3,85.7,88.3,83.5,8.0,5.3,18.0,0.6,-84.9,-49.2,-12.7,-48.0,10.0,38.1,20.0,0.5,-16.5,-5.6,16.9,-3.1,10.0,18.4,20.0,0.5,12.2,12.75,13.3,12.81,10.0,0.67,20.0,0.5,14.11,14.7,15.6,14.89,10.0,0.88,20.0,0.5,7.55,9.21,9.51,8.75,8.0,0.96,18.0,0.6,77.3,85.7,88.3,83.5,8.0,5.3,18.0,0.6,4.6,6.95,9.3,6.75,10.0,2.75,20.0,0.5,-9.13,-6.28,-2.77,-5.9,10.0,3.35,20.0,0.5,-1.77,0.15,3.67,0.49,10.0,2.84,20.0,0.5,1023.4,1025.75,1028.27,1025.85,10.0,2.32,20.0,0.5,-2.3,-2.2,-1.7,-2.08,10.0,0.37,20.0,0.5,-20.5,-13.2,-7.8,-13.7,10.0,5.5,20.0,0.5,-0.16,0.12,1.16,0.4,8.0,0.6,18.0,0.6,-0.8,0.6,10.8,3.8,8.0,5.4,18.0,0.6,-131.5,-89.5,-42.2,-85.4,10.0,45.9,20.0,0.5,-25.6,5.0,56.4,9.0,10.0,42.4,20.0,0.5,-68.2,-31.3,-25.6,-41.8,8.0,22.7,18.0,0.6,-13.8,21.0,34.8,11.5,8.0,25.2,18.0,0.6,-10.1,-0.4,0.5,-3.7,8.0,5.2,18.0,0.6,-2.1,-0.7,0.3,-1.1,8.0,1.5,18.0,0.6,97.5,451.0,804.5,443.0,10.0,382.0,20.0,0.5,95.0,450.0,805.0,445.0,10.0,380.0,20.0,0.5
1886,8,22640,-179.5,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.4,15.4,4.0,0.0,14.0,1.0,-5.77,-5.77,-5.77,-5.77,4.0,0.0,14.0,1.0,14.28,14.28,14.28,14.28,4.0,0.0,14.0,1.0,1024.0,1024.85,1025.7,1024.85,4.0,0.98,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.2,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,2.6,4.6,2.56,5.0,2.08,2.0,0.6,-4.56,-2.57,-0.63,-2.54,5.0,2.06,2.0,0.6,-0.64,-0.36,-0.09,-0.36,5.0,0.29,2.0,0.6,1014.6,1014.6,1014.6,1014.6,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-179.1,0.4,2.0,3.0,3.2,2.8,6.0,0.8,8.0,0.7,91.6,91.6,91.6,91.6,3.0,0.0,8.0,0.7,-84.9,-84.9,-84.9,-84.9,5.0,0.0,8.0,0.6,-16.5,-16.5,-16.5,-16.5,5.0,0.0,8.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.9,-1.8,2.0,2.0,2.0,2.0,5.0,0.0,8.0,0.2,91.6,92.2,95.4,93.3,5.0,2.0,8.0,0.2,-39.7,-37.2,-37.2,-38.6,5.0,3.1,8.0,0.2,19.1,25.1,25.1,21.8,5.0,7.4,8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
