Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y
1912,11,22955,-179.7,46.5,6.7,6.7,6.7,6.7,1.0,0.0,28.0,1.0,6.21,6.21,6.21,6.21,1.0,0.0,28.0,1.0,2.51,2.51,2.51,2.51,1.0,0.0,28.0,1.0,1004.9,1004.9,1004.9,1004.9,1.0,0.0,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,27.3,27.3,27.3,1.0,0.0,28.0,1.0,11.0,11.0,11.0,11.0,1.0,0.0,28.0,1.0,27.1,27.1,27.1,27.1,1.0,0.0,28.0,1.0,11.0,11.0,11.0,11.0,1.0,0.0,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-179.6,-17.2,4.6,4.6,4.6,4.6,1.0,0.0,14.0,0.0,-1.72,-1.72,-1.72,-1.72,1.0,0.0,14.0,0.0,4.27,4.27,4.27,4.27,1.0,0.0,14.0,0.0,1006.2,1006.2,1006.2,1006.2,1.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-179.5,48.8,6.7,9.5,15.06,10.28,8.0,4.0,14.0,0.3,-1.9,2.29,13.12,3.57,8.0,7.21,14.0,0.3,-6.18,-4.79,11.47,0.41,8.0,8.36,14.0,0.3,988.21,1002.0,1009.7,1000.4,8.0,10.83,14.0,0.3,4.1,7.0,8.0,6.3,8.0,2.1,14.0,0.3,88.4,91.5,91.9,90.2,4.0,2.9,10.0,0.5,-23.4,15.4,199.8,53.9,8.0,106.0,14.0,0.3,-76.8,-35.5,137.1,8.4,8.0,95.5,14.0,0.3,-1.51,1.15,3.69,1.18,8.0,2.32,14.0,0.3,-10.1,12.7,34.4,12.2,8.0,23.3,14.0,0.3,0.31,0.84,1.33,0.82,4.0,0.6,10.0,0.5,2.1,11.0,20.5,11.3,4.0,10.7,10.0,0.5,-9.5,1.9,37.7,8.9,8.0,24.8,14.0,0.3,-17.1,-5.4,58.5,16.8,8.0,43.8,14.0,0.3,-7.9,36.7,62.5,27.7,4.0,43.0,10.0,0.5,-22.7,-22.1,7.2,-8.4,4.0,28.1,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.6,5.21,8.0,0.52,14.0,0.3,1.29,4.15,6.51,4.04,8.0,2.55,14.0,0.3,4.31,4.75,5.23,4.77,4.0,0.54,10.0,0.5,88.4,91.5,91.9,90.2,4.0,2.9,10.0,0.5
1912,11,22955,-179.4,30.6,9.3,9.3,9.3,9.3,3.0,0.0,30.0,0.0,3.32,3.63,5.64,4.46,3.0,1.84,30.0,0.0,7.21,8.56,8.68,7.96,3.0,1.2,30.0,0.0,1013.9,1018.0,1018.68,1016.33,3.0,3.79,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-179.4,42.1,2.71,8.45,15.81,9.23,4.0,8.04,10.0,0.3,0.82,5.21,14.09,7.36,4.0,8.63,10.0,0.3,-2.71,-0.5,4.56,0.86,4.0,5.53,10.0,0.3,1031.0,1031.0,1031.0,1031.0,2.0,0.0,6.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-179.4,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,9.1,19.3,9.1,4.0,11.7,10.0,0.5,-7.0,-4.2,-0.3,-3.7,4.0,4.1,10.0,0.5,301.0,1081.0,3453.5,1528.5,8.0,1477.0,14.0,0.3,300.0,1080.0,3455.0,1530.0,8.0,1475.0,14.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-177.5,48.8,5.6,8.0,9.3,7.48,4.0,2.28,16.0,0.5,4.29,6.13,7.97,6.13,4.0,2.28,16.0,0.5,3.06,3.74,5.18,4.11,4.0,1.38,16.0,0.5,994.7,1000.8,1007.79,1001.23,4.0,7.57,16.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-177.4,50.0,9.3,12.3,13.43,11.72,5.0,2.55,8.0,0.0,2.66,9.3,12.62,7.23,5.0,8.76,8.0,0.0,-4.59,0.0,5.46,0.63,5.0,5.97,8.0,0.0,999.75,1002.9,1004.76,1002.18,5.0,4.09,8.0,0.0,3.9,6.0,8.0,5.8,5.0,2.5,8.0,0.0,90.9,91.8,91.9,91.5,5.0,0.6,8.0,0.0,16.1,86.5,171.6,87.1,5.0,117.8,8.0,0.0,-62.5,0.0,61.1,2.5,5.0,76.7,8.0,0.0,0.08,2.8,3.02,1.68,5.0,2.08,8.0,0.0,-1.1,26.0,42.3,20.1,5.0,26.5,8.0,0.0,0.43,1.43,1.61,1.06,5.0,0.78,8.0,0.0,3.8,14.6,21.2,12.5,5.0,10.1,8.0,0.0,-1.0,36.3,39.0,18.2,5.0,40.0,8.0,0.0,-14.2,0.0,29.7,9.0,5.0,32.0,8.0,0.0,8.2,42.5,55.0,29.8,5.0,42.7,8.0,0.0,-20.0,0.0,28.5,5.3,5.0,30.7,8.0,0.0,4.9,14.6,20.0,12.6,5.0,8.2,8.0,0.0,-7.3,-1.8,0.9,-2.8,5.0,4.4,8.0,0.0,804.5,1861.0,2515.0,1796.5,5.0,1164.0,8.0,0.0,805.0,1860.0,2515.0,1795.0,5.0,1165.0,8.0,0.0,4.78,5.6,6.7,5.68,5.0,1.02,8.0,0.0,3.12,3.3,4.92,4.0,5.0,1.56,8.0,0.0,4.36,4.44,4.98,4.68,5.0,0.58,8.0,0.0,90.9,91.8,91.9,91.5,5.0,0.6,8.0,0.0
1912,11,22955,-177.2,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,27.2,27.2,27.2,1.0,0.0,10.0,0.0,26.87,27.25,27.63,27.25,2.0,0.78,12.0,0.0,20.39,20.39,20.39,20.39,1.0,0.0,14.0,0.0,87.3,87.3,87.3,87.3,1.0,0.0,14.0,0.0
1912,11,22955,-177.2,30.5,5.27,6.7,6.7,6.0,3.0,1.21,28.0,1.0,2.82,3.25,3.97,3.39,3.0,0.85,28.0,1.0,3.85,5.13,5.84,4.85,3.0,1.48,28.0,1.0,1017.32,1018.0,1018.68,1018.0,3.0,1.0,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
