Year,Month,Running Month,Longitude,Latitude,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations
1934,6,23214,-179.9,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,22.0,0.0,-0.88,-0.88,-0.88,-0.88,1.0,0.0,22.0,0.0,-4.52,-4.52,-4.52,-4.52,1.0,0.0,22.0,0.0,1011.2,1011.2,1011.2,1011.2,1.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.9,24.0,-13.0,-13.0,-13.0,-13.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,17.5,17.5,17.5,17.5,1.0,0.0,26.0,1.0,20.0,20.0,20.0,20.0,1.0,0.0,26.0,1.0,27.2,27.2,27.2,27.2,1.0,0.0,26.0,1.0,26.1,26.1,26.1,26.1,1.0,0.0,26.0,1.0,17.38,17.38,17.38,17.38,1.0,0.0,26.0,1.0,83.1,83.1,83.1,83.1,1.0,0.0,26.0,1.0,2.6,2.6,2.6,2.6,1.0,0.0,26.0,1.0,-2.6,-2.6,-2.6,-2.6,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,1020.7,1020.7,1020.7,1020.7,1.0,0.0,26.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,26.0,1.0,83.1,83.1,83.1,83.1,1.0,0.0,26.0,1.0,-6.8,-6.8,-6.8,-6.8,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,1.1,1.1,1.1,1.1,1.0,0.0,26.0,1.0,2.9,2.9,2.9,2.9,1.0,0.0,26.0,1.0,5.02,5.02,5.02,5.02,1.0,0.0,26.0,1.0,13.0,13.0,13.0,13.0,1.0,0.0,26.0,1.0,-67.9,-67.9,-67.9,-67.9,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,-45.2,-45.2,-45.2,-45.2,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0
1934,6,23214,-179.9,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.6,5.6,5.6,1.0,0.0,22.0,1.0,4.59,5.0,5.41,5.0,3.0,0.6,22.0,0.7,4.99,5.07,5.14,5.07,2.0,0.15,24.0,0.5,90.7,90.7,90.7,90.7,2.0,0.0,24.0,0.5,12.3,12.3,12.3,12.3,1.0,0.0,22.0,1.0,11.32,11.32,11.32,11.32,1.0,0.0,22.0,1.0,-4.81,-4.81,-4.81,-4.81,1.0,0.0,22.0,1.0,999.22,999.7,1006.87,1002.97,3.0,6.27,22.0,0.7,8.0,8.0,8.0,8.0,1.0,0.0,22.0,1.0,90.7,90.7,90.7,90.7,2.0,0.0,24.0,0.5,139.3,139.3,139.3,139.3,1.0,0.0,22.0,1.0,-59.1,-59.1,-59.1,-59.1,1.0,0.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.8,-29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,5.65,6.37,5.65,2.0,1.48,18.0,0.5,-5.86,-5.2,-4.54,-5.2,2.0,1.37,18.0,0.5,1.93,2.21,2.49,2.21,2.0,0.58,18.0,0.5,1022.14,1023.95,1025.76,1023.95,2.0,3.75,18.0,0.5,3.8,5.5,7.2,5.5,2.0,3.5,18.0,0.5,86.1,87.6,89.1,87.6,2.0,3.2,18.0,0.5,-37.9,-30.4,-22.9,-30.4,2.0,15.4,18.0,0.5,9.7,12.9,16.1,12.9,2.0,6.6,18.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.7,-96.4,-85.2,-96.4,2.0,23.2,18.0,0.5,36.2,40.9,45.7,40.9,2.0,9.9,18.0,0.5,-65.2,-59.5,-53.8,-59.5,2.0,11.7,18.0,0.5,22.8,25.3,27.7,25.3,2.0,5.0,18.0,0.5
1934,6,23214,-179.7,-41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,11.05,15.4,11.05,4.0,5.02,14.0,0.5,2.62,4.32,6.02,4.32,4.0,1.96,14.0,0.5,6.17,10.17,14.18,10.17,4.0,4.62,14.0,0.5,1015.3,1016.95,1018.6,1016.95,4.0,1.91,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.7,-29.2,-12.2,-12.2,-12.2,-12.2,1.0,0.0,18.0,1.0,5.2,5.2,5.2,5.2,1.0,0.0,18.0,1.0,129.5,199.0,268.5,199.0,2.0,144.0,18.0,0.5,130.0,200.0,270.0,200.0,2.0,145.0,18.0,0.5,20.6,20.6,20.6,20.6,1.0,0.0,18.0,1.0,18.4,18.6,18.8,18.6,2.0,0.42,18.0,0.5,11.17,11.54,11.91,11.54,2.0,0.77,18.0,0.5,86.1,87.6,89.1,87.6,2.0,3.2,18.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.7,1.7,1.0,0.0,18.0,1.0,7.8,7.8,7.8,7.8,1.0,0.0,18.0,1.0,2.89,2.89,2.89,2.89,1.0,0.0,18.0,1.0,13.3,13.3,13.3,13.3,1.0,0.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.7,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,1.0,0.0,16.0,1.0,-4.74,-4.74,-4.74,-4.74,1.0,0.0,16.0,1.0,4.74,4.74,4.74,4.74,1.0,0.0,16.0,1.0,1013.2,1013.2,1013.2,1013.2,1.0,0.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.7,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,6.0,0.0,-4.23,-4.23,-4.23,-4.23,1.0,0.0,6.0,0.0,1.8,1.8,1.8,1.8,1.0,0.0,6.0,0.0,1016.3,1016.3,1016.3,1016.3,1.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.7,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.6,6.7,4.64,5.0,2.05,18.0,0.8,-5.28,-1.8,1.02,-2.14,5.0,3.29,18.0,0.8,-4.42,-2.51,2.39,-1.34,5.0,3.51,18.0,0.8,1014.34,1019.95,1021.78,1018.08,6.0,5.05,16.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.7,48.1,0.2,0.2,0.2,0.2,1.0,0.0,14.0,0.0,0.1,0.1,0.1,0.1,1.0,0.0,14.0,0.0,22.5,97.5,301.0,633.5,14.0,1796.0,12.0,0.5,25.0,95.0,300.0,635.0,14.0,1795.0,12.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
