Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,As1,As3,As5,Am,An,As,Ad,Aht,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Ds1,Ds3,Ds5,Dm,Dn,Ds,Dd,Dht,Es1,Es3,Es5,Em,En,Es,Ed,Eht,Fs1,Fs3,Fs5,Fm,Fn,Fs,Fd,Fht,Gs1,Gs3,Gs5,Gm,Gn,Gs,Gd,Ght,Is1,Is3,Is5,Im,In,Is,Id,Iht,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht
1936,7,-179.9,-19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.35,-0.6,0.15,-0.6,2.0,1.56,14.0,0.0,-3.5,-1.6,0.4,-1.6,2.0,4.0,14.0,0.0,3.17,3.31,3.44,3.31,2.0,0.28,14.0,0.0,8.2,8.6,9.0,8.6,2.0,0.7,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,-8.2,-8.1,-8.2,2.0,0.2,14.0,0.0,0.6,1.8,3.0,1.8,2.0,2.5,14.0,0.0,9.0,17.5,501.5,244.5,4.0,464.5,10.0,0.5,10.0,20.0,500.0,245.0,4.0,465.0,10.0,0.5
1936,7,-179.9,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,12.0,0.0,-3.25,-3.25,-3.25,-3.25,1.0,0.0,12.0,0.0,3.25,3.25,3.25,3.25,1.0,0.0,12.0,0.0,1022.0,1022.0,1022.0,1022.0,1.0,0.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,0.0,12.0,0.0,-15.0,-15.0,-15.0,-15.0,1.0,0.0,12.0,0.0,15.0,15.0,15.0,15.0,1.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.8,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,-3.8,-3.8,-3.8,1.0,0.0,8.0,0.0,3.8,3.8,3.8,3.8,1.0,0.0,8.0,0.0,17.5,301.0,804.5,381.0,11.0,355.5,10.0,0.6,20.0,300.0,805.0,380.0,11.0,355.0,10.0,0.6
1936,7,-179.7,-19.4,24.94,26.1,26.51,25.73,3.0,1.19,10.0,0.3,23.15,23.9,26.56,24.83,3.0,2.63,12.0,0.3,16.23,16.78,17.34,16.78,2.0,1.15,14.0,0.0,77.3,81.0,84.7,81.0,2.0,7.7,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.7,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,2.0,0.0,2.0,0.5,-6.21,-6.21,-6.21,-6.21,2.0,0.0,2.0,0.5,-2.51,-2.51,-2.51,-2.51,2.0,0.0,2.0,0.5,1017.81,1018.25,1018.69,1018.25,2.0,0.92,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.7,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,8.0,8.89,8.0,2.0,1.84,14.0,0.5,-4.97,-4.47,-3.98,-4.47,2.0,1.03,14.0,0.5,5.9,6.63,7.37,6.63,2.0,1.52,14.0,0.5,1016.7,1016.7,1016.7,1016.7,2.0,0.0,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.7,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.3,-1.3,-1.3,1.0,0.0,8.0,0.0,1.3,1.3,1.3,1.3,1.0,0.0,8.0,0.0,17.5,97.5,97.5,111.5,26.0,160.0,14.0,0.5,20.0,95.0,95.0,110.0,26.0,160.0,14.0,0.5
1936,7,-179.6,-33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,11.05,13.92,11.83,4.0,2.66,16.0,0.3,0.0,1.84,9.23,4.49,4.0,6.75,16.0,0.3,-11.11,-9.44,-1.3,-6.35,4.0,8.2,16.0,0.3,1006.75,1011.5,1022.11,1013.8,7.0,7.48,12.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,-19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3,-66.5,-63.5,-70.8,3.0,11.4,12.0,0.3,9.0,28.2,150.4,78.5,3.0,112.3,12.0,0.3,-42.0,-41.8,-41.6,-41.8,2.0,0.4,14.0,0.0,2.8,8.9,15.0,8.9,2.0,12.6,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.6,6.37,4.0,4.0,3.94,10.0,0.5,-3.16,-2.5,-1.24,-2.21,4.0,1.46,10.0,0.5,0.47,1.0,5.24,2.77,4.0,4.24,10.0,0.5,1013.24,1014.4,1015.97,1014.6,3.0,2.01,10.0,0.3,4.9,7.0,7.5,6.3,4.0,2.2,10.0,0.5,-22.1,-6.5,-3.1,-12.3,4.0,16.1,10.0,0.5,0.5,1.8,47.9,23.2,4.0,43.9,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
