Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,Sx,Sy,As1,As3,As5,Am,An,As,Ad,Aht,Ax,Ay,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Qx,Qy,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ry,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Wx,Wy,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Ux,Uy,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Vx,Vy,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Px,Py,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Cx,Cy,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Xx,Xy,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Yx,Yy,Ds1,Ds3,Ds5,Dm,Dn,Ds,Dd,Dht,Dx,Dy,Es1,Es3,Es5,Em,En,Es,Ed,Eht,Ex,Ey,Fs1,Fs3,Fs5,Fm,Fn,Fs,Fd,Fht,Fx,Fy,Gs1,Gs3,Gs5,Gm,Gn,Gs,Gd,Ght,Gx,Gy,Is1,Is3,Is5,Im,In,Is,Id,Iht,Ix,Iy,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Jx,Jy,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Kx,Ky,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Lx,Ly,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Mx,My,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,Nx,Ny,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B1x,B1y,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht,B2x,B2y
1946,2,0.0,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,1.0,0.0,4.0,1.0,0.6,0.2,21.2,21.2,21.2,21.2,1.0,0.0,4.0,1.0,0.6,0.2,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,2,0.0,-24.0,22.49,22.8,23.06,22.78,4.0,0.45,10.0,1.0,0.5,0.7,22.2,22.75,24.77,23.45,4.0,1.84,10.0,1.0,0.5,0.7,12.84,13.92,14.42,13.64,4.0,1.06,10.0,1.0,0.5,0.7,70.4,77.4,81.9,76.2,4.0,6.9,10.0,1.0,0.7,1.76,3.6,5.7,3.73,4.0,2.47,10.0,1.0,0.5,0.7,-5.05,-2.98,-1.46,-3.24,4.0,2.3,10.0,1.0,0.5,0.7,0.99,2.01,2.6,1.8,4.0,0.99,10.0,1.0,0.5,0.7,1013.29,1013.55,1015.96,1014.58,4.0,2.36,10.0,1.0,0.5,0.7,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.4,0.6,-30.0,-11.6,-3.1,-16.3,4.0,18.1,10.0,1.0,0.5,0.7,2.1,7.8,14.8,8.4,4.0,7.7,10.0,1.0,0.5,0.7,-1.97,-0.25,0.58,-0.67,4.0,1.87,10.0,1.0,0.5,0.7,-6.1,-1.7,0.6,-2.7,4.0,4.3,10.0,1.0,0.5,0.7,2.83,3.06,4.43,3.6,4.0,1.38,10.0,1.0,0.5,0.7,6.7,11.1,16.1,11.4,4.0,5.6,10.0,1.0,0.5,0.7,-115.6,-70.5,-36.4,-75.8,4.0,52.8,10.0,1.0,0.5,0.7,24.6,47.5,59.1,42.1,4.0,22.2,10.0,1.0,0.5,0.7,-71.7,-41.2,-19.9,-45.6,4.0,34.0,10.0,1.0,0.5,0.7,13.4,27.8,36.6,25.1,4.0,14.4,10.0,1.0,0.5,0.7,-14.2,-9.2,-5.6,-9.8,4.0,5.3,10.0,1.0,0.5,0.7,3.7,5.7,7.5,5.6,4.0,2.2,10.0,1.0,0.5,0.7,9.0,57.5,204.0,104.0,4.0,137.5,10.0,1.0,0.5,0.7,10.0,55.0,205.0,105.0,4.0,140.0,10.0,1.0,0.5,0.7
1946,2,0.0,-22.0,22.8,22.8,22.8,22.8,1.0,0.0,28.0,1.0,0.3,0.1,23.9,23.9,23.9,23.9,1.0,0.0,28.0,1.0,0.3,0.1,15.88,15.88,15.88,15.88,1.0,0.0,28.0,1.0,0.3,0.1,86.4,86.4,86.4,86.4,1.0,0.0,28.0,1.0,0.1,6.7,6.7,6.7,6.7,1.0,0.0,28.0,1.0,0.3,0.1,-6.7,-6.7,-6.7,-6.7,1.0,0.0,28.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.3,0.1,1018.4,1018.4,1018.4,1018.4,1.0,0.0,28.0,1.0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1.1,-1.1,-1.1,1.0,0.0,28.0,1.0,0.3,0.1,-7.4,-7.4,-7.4,-7.4,1.0,0.0,28.0,1.0,0.3,0.1,1.32,1.32,1.32,1.32,1.0,0.0,28.0,1.0,0.3,0.1,8.9,8.9,8.9,8.9,1.0,0.0,28.0,1.0,0.3,0.1,-160.1,-160.1,-160.1,-160.1,1.0,0.0,28.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.3,0.1,-106.4,-106.4,-106.4,-106.4,1.0,0.0,28.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.3,0.1,-8.9,-8.9,-8.9,-8.9,1.0,0.0,28.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.3,0.1,301.0,301.0,301.0,301.0,1.0,0.0,28.0,1.0,0.3,0.1,300.0,300.0,300.0,300.0,1.0,0.0,28.0,1.0,0.3,0.1
1946,2,0.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,7.0,7.7,7.0,2.0,1.4,22.0,1.0,0.5,0.6,-36.1,-24.9,-13.8,-24.9,2.0,23.2,22.0,1.0,0.5,0.6,21.7,30.8,39.9,30.8,2.0,18.8,22.0,1.0,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,2,0.0,-14.0,24.69,25.3,25.6,25.15,4.0,0.57,14.0,0.5,0.5,0.6,21.29,23.9,24.4,23.04,5.0,1.65,14.0,0.4,0.6,0.5,12.64,13.9,16.05,14.19,5.0,2.02,14.0,0.4,0.6,0.5,75.3,85.6,87.3,81.1,5.0,10.8,14.0,0.4,0.5,2.6,4.6,4.6,3.8,5.0,1.1,14.0,0.4,0.6,0.5,-2.35,-1.72,0.04,-1.2,5.0,1.87,14.0,0.4,0.6,0.5,2.2,3.25,4.25,3.2,5.0,1.08,14.0,0.4,0.6,0.5,1012.43,1012.8,1014.67,1013.46,5.0,1.36,14.0,0.4,0.6,0.5,8.0,8.0,8.0,8.0,2.0,0.0,14.0,0.5,0.6,0.6,-10.5,-4.8,1.4,-4.4,5.0,8.5,14.0,0.4,0.6,0.5,5.7,15.0,19.5,13.0,5.0,7.1,14.0,0.4,0.6,0.5,0.81,2.65,4.07,2.45,4.0,2.01,14.0,0.5,0.5,0.6,3.7,9.8,14.2,9.0,4.0,7.0,14.0,0.5,0.5,0.6,4.51,6.52,8.18,6.36,4.0,2.43,14.0,0.5,0.5,0.6,13.4,22.8,34.7,24.0,4.0,14.0,14.0,0.5,0.5,0.6,-52.1,-38.8,0.6,-26.3,5.0,42.1,14.0,0.4,0.6,0.5,51.5,69.6,102.2,74.5,5.0,28.0,14.0,0.4,0.6,0.5,-34.6,-24.5,-2.2,-18.6,5.0,24.4,14.0,0.4,0.6,0.5,33.1,45.2,56.5,45.3,5.0,16.8,14.0,0.4,0.6,0.5,-16.3,-8.2,7.0,-4.8,4.0,15.5,14.0,0.5,0.5,0.6,10.5,16.1,29.2,19.7,4.0,13.3,14.0,0.5,0.5,0.6,17.5,97.5,97.5,65.5,5.0,43.5,14.0,0.4,0.6,0.5,20.0,95.0,95.0,65.0,5.0,45.0,14.0,0.4,0.6,0.5
1946,2,0.0,-12.0,25.1,25.3,25.5,25.3,2.0,0.42,14.0,1.0,0.1,0.2,28.3,28.3,28.3,28.3,1.0,0.0,14.0,1.0,0.1,0.2,15.65,15.65,15.65,15.65,1.0,0.0,14.0,1.0,0.1,0.2,65.4,65.4,65.4,65.4,1.0,0.0,14.0,1.0,0.2,2.92,3.6,4.28,3.6,2.0,1.41,14.0,1.0,0.1,0.2,-2.89,-2.11,-1.34,-2.11,2.0,1.61,14.0,1.0,0.1,0.2,2.54,2.83,3.12,2.83,2.0,0.6,14.0,1.0,0.1,0.2,1014.12,1014.15,1014.18,1014.15,2.0,0.07,14.0,1.0,0.1,0.2,5.0,5.0,5.0,5.0,1.0,0.0,14.0,1.0,0.1,0.3,-13.0,-8.7,-4.5,-8.7,2.0,8.8,14.0,1.0,0.1,0.2,7.6,10.6,13.6,10.6,2.0,6.1,14.0,1.0,0.1,0.2,-2.7,-2.7,-2.7,-2.7,1.0,0.0,14.0,1.0,0.1,0.2,-12.4,-12.4,-12.4,-12.4,1.0,0.0,14.0,1.0,0.1,0.2,4.83,4.83,4.83,4.83,1.0,0.0,14.0,1.0,0.1,0.2,22.2,22.2,22.2,22.2,1.0,0.0,14.0,1.0,0.1,0.2,-92.1,-92.1,-92.1,-92.1,1.0,0.0,14.0,1.0,0.1,0.2,92.1,92.1,92.1,92.1,1.0,0.0,14.0,1.0,0.1,0.2,-50.9,-50.9,-50.9,-50.9,1.0,0.0,14.0,1.0,0.1,0.2,50.9,50.9,50.9,50.9,1.0,0.0,14.0,1.0,0.1,0.2,-15.7,-15.7,-15.7,-15.7,1.0,0.0,14.0,1.0,0.1,0.2,15.7,15.7,15.7,15.7,1.0,0.0,14.0,1.0,0.1,0.2,30.0,57.5,84.5,57.5,2.0,56.5,14.0,1.0,0.1,0.2,30.0,55.0,85.0,55.0,2.0,55.0,14.0,1.0,0.1,0.2
1946,2,0.0,36.0,14.89,15.6,16.1,15.51,44.0,0.75,14.0,0.5,0.5,0.4,13.3,14.4,15.0,14.3,49.0,1.21,14.0,0.4,0.5,0.4,7.15,8.32,9.19,8.19,36.0,1.36,14.0,0.4,0.5,0.4,76.6,87.6,93.7,82.3,39.0,11.9,14.0,0.4,0.4,1.0,2.6,6.7,3.26,45.0,2.43,14.0,0.5,0.5,0.4,-2.43,0.0,2.56,-0.07,45.0,3.18,14.0,0.5,0.5,0.4,-2.51,0.0,1.84,-0.34,45.0,2.56,14.0,0.5,0.5,0.4,1019.88,1026.75,1030.84,1025.37,44.0,5.86,14.0,0.5,0.5,0.4,0.0,0.0,2.0,1.0,26.0,1.9,18.0,0.4,0.5,0.4,-6.5,0.0,8.7,-0.3,45.0,20.0,14.0,0.5,0.5,0.4,-8.6,0.0,4.8,-3.2,45.0,16.9,14.0,0.5,0.5,0.4,0.0,1.2,2.47,1.23,43.0,1.51,14.0,0.4,0.5,0.4,0.0,1.7,10.1,3.6,38.0,7.4,14.0,0.5,0.5,0.4,1.34,2.5,3.36,2.57,33.0,1.41,12.0,0.4,0.5,0.4,0.8,6.6,20.5,9.4,28.0,11.0,14.0,0.4,0.5,0.4,-39.7,0.0,38.7,-0.1,44.0,45.9,14.0,0.5,0.5,0.4,-33.9,0.0,26.5,-5.6,44.0,37.9,14.0,0.5,0.5,0.4,-22.8,0.0,12.1,-2.3,31.0,21.7,14.0,0.5,0.5,0.4,-20.5,0.0,10.2,-4.2,31.0,18.5,14.0,0.5,0.5,0.4,-4.2,0.0,4.2,-2.4,28.0,12.2,14.0,0.4,0.5,0.4,-6.2,0.0,2.6,-1.2,28.0,7.5,14.0,0.4,0.5,0.4,1.0,17.5,301.0,100.0,45.0,172.5,14.0,0.5,0.5,0.4,0.0,20.0,300.0,100.0,45.0,175.0,14.0,0.5,0.5,0.4
1946,2,0.0,50.0,7.8,8.3,8.95,8.28,13.0,0.68,6.0,0.8,0.3,0.7,1.7,5.6,10.23,6.02,49.0,3.82,20.0,0.6,0.3,0.7,4.11,5.75,7.11,5.64,46.0,1.28,20.0,0.6,0.3,0.7,86.3,95.1,100.0,93.1,46.0,7.8,20.0,0.6,0.7,0.0,1.0,4.6,1.87,59.0,2.27,22.0,0.5,0.3,0.7,0.0,0.0,2.6,0.92,59.0,1.93,22.0,0.5,0.3,0.7,-1.0,0.0,0.77,0.05,59.0,2.04,22.0,0.5,0.3,0.7,1004.6,1008.3,1012.16,1008.36,59.0,4.05,22.0,0.5,0.3,0.7,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.8,0.8,0.0,0.0,6.8,4.9,59.0,13.3,22.0,0.5,0.3,0.7,-1.0,0.0,2.0,1.0,59.0,10.5,22.0,0.5,0.3,0.7,-3.01,-2.2,-1.66,-2.16,11.0,0.81,6.0,1.0,0.3,0.7,-15.3,-5.7,-3.1,-8.2,11.0,6.7,6.0,1.0,0.3,0.7,-0.44,-0.04,0.57,0.05,11.0,0.49,6.0,1.0,0.3,0.7,-1.1,0.0,2.2,0.3,11.0,1.8,6.0,1.0,0.3,0.7,0.0,0.0,29.0,10.5,47.0,20.9,20.0,0.6,0.3,0.7,-1.9,0.0,24.1,7.0,47.0,17.3,20.0,0.6,0.3,0.7,0.0,0.0,19.7,7.3,46.0,13.9,20.0,0.6,0.3,0.7,-3.3,0.0,16.6,2.9,46.0,12.6,20.0,0.6,0.3,0.7,-0.3,0.1,1.5,0.4,11.0,1.2,6.0,1.0,0.3,0.7,-0.9,0.0,1.4,0.1,11.0,1.3,6.0,1.0,0.3,0.7,0.0,1.0,97.5,47.5,59.0,122.5,22.0,0.5,0.3,0.7,0.0,0.0,95.0,50.0,59.0,125.0,22.0,0.5,0.3,0.7
1946,2,2.0,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,1.0,0.0,2.0,1.0,0.8,0.9,44.9,44.9,44.9,44.9,1.0,0.0,2.0,1.0,0.8,0.9,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,2,2.0,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,1.0,0.0,4.0,0.0,0.2,0.1,21.2,21.2,21.2,21.2,1.0,0.0,4.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
