Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1959,9,23517,-179.7,-43.3,12.3,12.3,12.3,12.3,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,-12.3,-12.3,-12.3,-12.3,1.0,0.0,12.0,0.0,1007.97,1013.7,1019.43,1013.7,2.0,11.88,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,-145.1,-145.1,-145.1,-145.1,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,-74.5,-74.5,-74.5,-74.5,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,-35.7,-35.7,-35.7,-35.7,1.0,0.0,12.0,0.0,1861.0,1861.0,1861.0,1861.0,1.0,0.0,12.0,0.0,1860.0,1860.0,1860.0,1860.0,1.0,0.0,12.0,0.0
1959,9,23517,-179.7,-37.1,2.6,2.6,2.6,2.6,1.0,0.0,4.0,1.0,2.44,2.44,2.44,2.44,1.0,0.0,4.0,1.0,-0.89,-0.89,-0.89,-0.89,1.0,0.0,4.0,1.0,1032.0,1032.0,1032.0,1032.0,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,1.0,0.0,4.0,1.0,80.2,80.2,80.2,80.2,1.0,0.0,4.0,1.0,6.4,6.4,6.4,6.4,1.0,0.0,4.0,1.0,-2.3,-2.3,-2.3,-2.3,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,38.1,38.1,38.1,1.0,0.0,4.0,1.0,-13.9,-13.9,-13.9,-13.9,1.0,0.0,4.0,1.0,21.1,21.1,21.1,21.1,1.0,0.0,4.0,1.0,-7.7,-7.7,-7.7,-7.7,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,9,23517,-179.7,-29.5,5.1,5.1,5.1,5.1,1.0,0.0,4.0,1.0,-3.28,-3.28,-3.28,-3.28,1.0,0.0,4.0,1.0,3.91,3.91,3.91,3.91,1.0,0.0,4.0,1.0,1030.1,1030.1,1030.1,1030.1,1.0,0.0,4.0,1.0,20.0,20.0,20.0,20.0,1.0,0.0,4.0,1.0,18.3,18.3,18.3,18.3,1.0,0.0,4.0,1.0,7.84,7.84,7.84,7.84,1.0,0.0,4.0,1.0,61.2,61.2,61.2,61.2,1.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,61.2,61.2,61.2,61.2,1.0,0.0,4.0,1.0,-16.7,-16.7,-16.7,-16.7,1.0,0.0,4.0,1.0,19.9,19.9,19.9,19.9,1.0,0.0,4.0,1.0,1.7,1.7,1.7,1.7,1.0,0.0,4.0,1.0,8.7,8.7,8.7,8.7,1.0,0.0,4.0,1.0,6.46,6.46,6.46,6.46,1.0,0.0,4.0,1.0,33.0,33.0,33.0,33.0,1.0,0.0,4.0,1.0,-60.0,-60.0,-60.0,-60.0,1.0,0.0,4.0,1.0,71.5,71.5,71.5,71.5,1.0,0.0,4.0,1.0,-25.7,-25.7,-25.7,-25.7,1.0,0.0,4.0,1.0,30.6,30.6,30.6,30.6,1.0,0.0,4.0,1.0,-21.2,-21.2,-21.2,-21.2,1.0,0.0,4.0,1.0,25.3,25.3,25.3,25.3,1.0,0.0,4.0,1.0,132.5,132.5,132.5,132.5,1.0,0.0,4.0,1.0,135.0,135.0,135.0,135.0,1.0,0.0,4.0,1.0
1959,9,23517,-179.7,-27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,1.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,1.0,0.0,20.0,0.0,13.85,13.85,13.85,13.85,1.0,0.0,20.0,0.0,95.1,95.1,95.1,95.1,1.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.71,0.71,0.71,0.71,1.0,0.0,20.0,0.0,5.1,5.1,5.1,5.1,1.0,0.0,20.0,0.0,-135.3,-135.3,-135.3,-135.3,1.0,0.0,20.0,0.0,-49.3,-49.3,-49.3,-49.3,1.0,0.0,20.0,0.0,-93.7,-93.7,-93.7,-93.7,1.0,0.0,20.0,0.0,-34.1,-34.1,-34.1,-34.1,1.0,0.0,20.0,0.0,-4.8,-4.8,-4.8,-4.8,1.0,0.0,20.0,0.0,-1.8,-1.8,-1.8,-1.8,1.0,0.0,20.0,0.0,141.0,235.5,329.5,235.5,2.0,195.0,24.0,0.0,140.0,235.0,330.0,235.0,2.0,195.0,24.0,0.0
1959,9,23517,-179.7,22.3,3.1,3.1,3.1,3.1,1.0,0.0,14.0,0.0,-2.68,-2.68,-2.68,-2.68,1.0,0.0,14.0,0.0,1.55,1.55,1.55,1.55,1.0,0.0,14.0,0.0,1014.6,1014.6,1014.6,1014.6,1.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.7,-71.7,-71.7,-71.7,1.0,0.0,14.0,0.0,41.4,41.4,41.4,41.4,1.0,0.0,14.0,0.0,-46.4,-46.4,-46.4,-46.4,1.0,0.0,14.0,0.0,26.8,26.8,26.8,26.8,1.0,0.0,14.0,0.0,-18.2,-18.2,-18.2,-18.2,1.0,0.0,14.0,0.0,10.5,10.5,10.5,10.5,1.0,0.0,14.0,0.0,30.0,30.0,30.0,30.0,1.0,0.0,14.0,0.0,30.0,30.0,30.0,30.0,1.0,0.0,14.0,0.0
1959,9,23517,-179.7,60.6,7.94,8.75,10.71,9.3,4.0,1.92,2.0,1.0,0.0,3.85,8.54,4.25,4.0,4.95,2.0,1.0,-10.19,-4.1,0.0,-5.05,4.0,6.03,2.0,1.0,1014.86,1018.25,1018.76,1016.88,4.0,3.28,2.0,1.0,7.48,8.0,8.84,8.15,4.0,1.08,2.0,1.0,7.32,8.5,9.52,8.43,4.0,1.41,2.0,1.0,6.05,6.6,6.61,6.33,3.0,0.47,2.0,1.0,83.3,87.4,96.0,89.6,3.0,9.5,2.0,1.0,2.0,4.0,4.7,3.3,3.0,2.1,2.0,1.0,83.3,87.4,96.0,89.6,3.0,9.5,2.0,1.0,0.0,29.6,73.5,36.4,4.0,43.5,2.0,1.0,-107.5,-33.6,0.0,-52.8,4.0,68.6,2.0,1.0,-1.52,-1.0,1.04,-0.27,4.0,2.17,2.0,1.0,-12.5,-8.7,14.3,0.5,4.0,23.1,2.0,1.0,-0.3,0.0,0.58,0.14,3.0,0.66,2.0,1.0,-2.8,0.0,4.8,1.0,3.0,5.6,2.0,1.0,0.0,37.2,75.8,37.9,4.0,43.7,2.0,1.0,-77.3,-36.9,0.0,-38.5,4.0,44.6,2.0,1.0,16.1,50.8,58.1,37.4,3.0,32.8,2.0,1.0,-32.4,0.0,0.0,-15.8,3.0,27.4,2.0,1.0,-2.8,0.0,0.0,-1.4,3.0,2.4,2.0,1.0,-4.8,0.0,0.0,-2.3,3.0,4.0,2.0,1.0,501.5,678.0,1288.5,885.0,4.0,581.0,2.0,1.0,500.0,680.0,1290.0,885.0,4.0,580.0,2.0,1.0
1959,9,23517,-179.6,-43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26,12.4,12.54,12.4,2.0,0.28,18.0,0.0,12.21,13.1,13.99,13.1,2.0,1.84,18.0,0.0,6.46,7.32,8.18,7.32,2.0,1.78,18.0,0.0,73.4,77.6,81.9,77.6,2.0,8.8,18.0,0.0,2.6,4.0,5.4,4.0,2.0,2.8,18.0,0.0,73.4,77.6,81.9,77.6,2.0,8.8,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,-151.3,-151.3,-151.3,-151.3,1.0,0.0,12.0,0.0,-1.72,-0.7,0.32,-0.7,2.0,2.12,18.0,0.0,9.8,9.8,9.8,9.8,1.0,0.0,12.0,0.0,0.7,1.6,2.49,1.6,2.0,1.85,18.0,0.0,35.7,35.7,35.7,35.7,1.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,9,23517,-179.6,-41.5,5.94,9.3,11.48,8.7,5.0,3.19,20.0,0.2,-4.42,-1.96,1.64,-1.31,5.0,3.78,20.0,0.2,-10.85,-9.3,1.96,-5.15,5.0,7.43,20.0,0.2,1006.35,1014.8,1021.5,1013.4,5.0,12.63,20.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,7.0,8.0,6.6,5.0,1.7,20.0,0.2,79.0,85.2,91.2,84.6,5.0,8.3,20.0,0.2,-35.6,-16.8,11.5,-13.3,5.0,33.0,20.0,0.2,-125.9,-86.5,13.7,-60.2,5.0,75.0,20.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.8,-28.5,19.7,-19.4,5.0,49.3,20.0,0.2,-160.8,-129.3,23.5,-77.3,5.0,103.3,20.0,0.2,-34.9,-18.5,10.1,-12.9,5.0,27.7,20.0,0.2,-97.9,-84.8,12.0,-50.1,5.0,62.2,20.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,9,23517,-179.6,-33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.79,16.5,17.87,16.33,3.0,2.25,16.0,0.0,13.0,13.5,15.05,14.0,4.0,1.41,12.0,0.0,6.67,6.94,8.52,7.58,3.0,1.47,16.0,0.0,71.7,71.8,79.0,75.3,3.0,6.1,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,2.5,2.5,2.0,3.0,0.87,16.0,0.0,10.4,11.3,12.1,11.3,2.0,1.8,18.0,0.0,3.45,3.94,4.28,3.87,3.0,0.61,16.0,0.0,18.1,18.7,19.4,18.7,2.0,1.4,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,4.1,14.8,4.1,2.0,22.0,18.0,0.0,2.2,6.8,11.4,6.8,2.0,9.6,18.0,0.0,83.5,125.0,125.0,104.5,3.0,35.0,12.0,0.0,85.0,125.0,125.0,105.0,3.0,35.0,12.0,0.0
1959,9,23517,-179.6,-27.3,5.01,5.9,6.79,5.9,2.0,1.84,24.0,0.0,-5.06,-1.39,2.28,-1.39,2.0,7.6,24.0,0.0,-1.71,-0.08,1.54,-0.08,2.0,3.37,24.0,0.0,1010.97,1011.35,1011.73,1011.35,2.0,0.78,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.5,4.8,4.5,2.0,0.7,24.0,0.0,95.1,95.1,95.1,95.1,1.0,0.0,20.0,0.0,-38.1,-15.2,7.7,-15.2,2.0,47.4,24.0,0.0,-13.2,-3.6,6.1,-3.6,2.0,20.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
