Year,Month,Running Month,Longitude,Latitude,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations
2009,10,24118,-179.9,20.3,-79.3,-43.0,-6.7,-43.0,2.0,75.1,8.0,0.5,-48.4,-28.7,-9.1,-28.7,2.0,40.7,8.0,0.5,-49.0,-26.8,-4.7,-26.8,2.0,45.9,8.0,0.5,-26.9,-16.0,-5.1,-16.0,2.0,22.6,8.0,0.5,-22.5,-12.0,-1.5,-12.0,2.0,21.8,8.0,0.5,-16.4,-9.8,-3.1,-9.8,2.0,13.8,8.0,0.5,21.0,46.5,391.0,202.5,3.0,303.0,8.0,0.7,20.0,45.0,390.0,200.0,3.0,305.0,8.0,0.7,1.18,1.35,1.52,1.35,2.0,0.35,8.0,0.5,2.9,4.0,5.2,4.0,2.0,2.4,8.0,0.5,7.91,8.53,9.16,8.53,2.0,1.3,8.0,0.5,21.0,23.6,26.2,23.6,2.0,5.4,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.8,-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1,-1.0,6.6,-7.0,4.0,22.0,28.0,0.5,12.5,37.2,66.3,39.3,4.0,31.2,28.0,0.5,132.5,337.0,551.5,341.5,14.0,216.0,24.0,0.5,135.0,335.0,550.0,340.0,14.0,215.0,24.0,0.5,3.39,3.85,4.47,3.93,4.0,0.69,28.0,0.5,11.0,22.9,35.9,23.4,4.0,15.5,28.0,0.5,7.43,7.77,8.2,7.82,4.0,0.46,28.0,0.5,25.4,50.7,66.8,46.3,4.0,26.8,28.0,0.5,19.34,19.85,20.41,19.88,4.0,0.68,28.0,0.5,15.59,17.4,18.37,17.22,14.0,1.12,24.0,0.5,6.63,9.89,11.21,9.3,14.0,1.95,24.0,0.5,58.3,79.9,84.2,75.9,14.0,11.8,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.7,-37.1,98.1,138.3,143.3,121.1,3.0,36.3,6.0,0.3,-132.6,-122.2,-118.0,-125.3,3.0,11.0,6.0,0.3,52.8,70.1,74.3,63.7,3.0,16.7,6.0,0.3,-73.2,-64.0,-60.5,-66.8,3.0,9.6,6.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47,12.9,13.92,12.7,3.0,1.81,6.0,0.3,6.82,9.88,10.67,8.77,3.0,2.98,6.0,0.3,-9.32,-9.26,-8.6,-8.97,3.0,0.59,6.0,0.3,1007.46,1012.5,1013.57,1011.22,9.0,2.91,8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.7,-31.4,-3.8,33.0,100.2,34.6,14.0,58.0,24.0,0.5,-121.2,-60.1,87.9,-27.1,14.0,96.4,24.0,0.5,-1.6,17.6,56.5,20.8,14.0,31.5,24.0,0.5,-71.3,-33.9,49.1,-20.4,14.0,51.1,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.95,8.2,6.49,14.0,2.06,24.0,0.5,-0.24,1.9,5.89,2.01,14.0,3.35,24.0,0.5,-6.58,-3.53,5.05,-1.3,14.0,5.68,24.0,0.5,1014.52,1017.15,1018.48,1016.7,14.0,2.06,24.0,0.5,1.3,2.0,2.7,2.0,3.0,1.0,26.0,0.7,58.3,79.9,84.2,75.9,14.0,11.8,24.0,0.5,-0.4,12.7,44.8,15.5,14.0,24.1,24.0,0.5,-48.4,-19.6,41.1,-8.0,14.0,43.5,24.0,0.5
2009,10,24118,-179.7,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.96,28.3,28.71,28.33,3.0,0.55,8.0,0.7,26.87,27.25,27.63,27.25,2.0,0.78,8.0,0.5,15.6,15.95,16.3,15.95,2.0,0.73,8.0,0.5,67.9,70.9,74.0,70.9,2.0,6.3,8.0,0.5,2.58,3.6,6.74,4.63,3.0,3.18,8.0,0.7,-5.43,-3.6,-0.89,-3.17,3.0,3.34,8.0,0.7,-4.25,-2.07,-0.66,-2.45,3.0,2.66,8.0,0.7,1014.21,1015.5,1016.1,1015.18,4.0,1.23,6.0,0.8,3.0,3.0,3.7,3.3,3.0,0.6,8.0,0.7,67.9,70.9,74.0,70.9,2.0,6.3,8.0,0.5,-39.3,-13.0,-3.6,-21.2,3.0,27.1,8.0,0.7,-30.9,-4.3,-1.4,-15.9,3.0,23.8,8.0,0.7
2009,10,24118,-179.7,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.5,6.0,5.0,4.0,1.4,24.0,0.8,64.3,66.3,80.1,71.4,5.0,10.6,22.0,0.6,3.3,15.0,42.2,23.7,5.0,36.8,22.0,0.6,-73.1,-19.9,2.4,-33.0,5.0,40.8,22.0,0.6
2009,10,24118,-179.7,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,5.5,7.89,5.5,2.0,4.95,4.0,1.0,-4.59,-2.03,0.54,-2.03,2.0,5.32,4.0,1.0,-5.96,-3.95,-1.94,-3.95,2.0,4.17,4.0,1.0,1027.06,1029.55,1032.04,1029.55,2.0,5.16,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.6,-35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,1.0,0.0,26.0,1.0,86.0,87.7,89.4,87.7,2.0,3.5,6.0,1.0,35.2,38.6,47.4,41.2,3.0,9.2,12.0,1.0,-167.7,-58.2,11.0,-77.9,3.0,132.0,12.0,1.0
2009,10,24118,-179.6,-33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,7.4,6.7,3.0,1.2,14.0,0.7,69.2,70.0,71.5,70.4,3.0,1.7,14.0,0.7,24.7,29.4,34.1,29.4,2.0,9.7,18.0,0.5,26.8,56.3,85.9,56.3,2.0,61.3,18.0,0.5
2009,10,24118,-179.6,-17.6,-288.7,-262.6,-125.4,-208.3,3.0,128.5,14.0,0.3,53.7,169.1,226.0,140.5,3.0,128.6,14.0,0.3,-206.4,-183.8,-81.5,-144.9,3.0,97.5,14.0,0.3,29.5,93.1,153.8,91.7,3.0,91.0,14.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,10.3,13.78,10.97,3.0,4.14,14.0,0.3,-11.32,-10.3,-4.95,-8.19,3.0,5.01,14.0,0.3,2.15,6.77,8.9,5.55,3.0,5.06,14.0,0.3,1012.16,1012.5,1012.84,1012.5,3.0,0.5,14.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
