Year,Month,Running Month,Longitude,Latitude,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations
2025,3,24303,-179.9,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.1,-35.1,-35.1,-35.1,1.0,0.0,18.0,0.0,6.2,6.2,6.2,6.2,1.0,0.0,18.0,0.0,79.0,101.0,122.5,101.0,2.0,45.0,16.0,0.0,80.0,100.0,125.0,100.0,2.0,45.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.1,5.1,1.0,0.0,18.0,0.0,26.0,26.0,26.0,26.0,1.0,0.0,18.0,0.0,6.99,6.99,6.99,6.99,1.0,0.0,18.0,0.0,35.7,35.7,35.7,35.7,1.0,0.0,18.0,0.0,30.1,30.1,30.1,30.1,1.0,0.0,18.0,0.0,24.16,24.5,24.84,24.5,2.0,0.71,16.0,0.0,17.44,18.38,19.32,18.38,2.0,1.95,16.0,0.0,92.7,95.7,98.6,95.7,2.0,6.1,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,24303,-179.8,-45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.7,7.7,7.7,1.0,0.0,20.0,1.0,-4.95,-4.95,-4.95,-4.95,1.0,0.0,20.0,1.0,5.9,5.9,5.9,5.9,1.0,0.0,20.0,1.0,1025.0,1025.0,1025.0,1025.0,1.0,0.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,24303,-179.8,42.1,5.5,6.5,7.5,6.5,2.0,2.1,28.0,0.0,75.2,79.9,84.6,79.9,2.0,9.7,28.0,0.0,-71.7,-42.6,-13.5,-42.6,2.0,60.2,28.0,0.0,-8.5,5.5,19.5,5.5,2.0,29.0,28.0,0.0,-18.1,-10.7,-3.4,-10.7,2.0,15.2,28.0,0.0,-2.8,-0.6,1.6,-0.6,2.0,4.5,28.0,0.0,239.5,468.5,698.0,468.5,2.0,475.0,28.0,0.0,240.0,470.0,700.0,470.0,2.0,475.0,28.0,0.0,5.77,7.2,8.63,7.2,2.0,2.97,28.0,0.0,-7.71,-4.58,-1.45,-4.58,2.0,6.48,28.0,0.0,-0.55,1.74,4.03,1.74,2.0,4.75,28.0,0.0,1022.14,1026.75,1031.36,1026.75,2.0,9.55,28.0,0.0,-0.59,0.3,1.19,0.3,2.0,1.84,28.0,0.0,-1.9,4.9,11.7,4.9,2.0,14.1,28.0,0.0,0.8,1.43,2.05,1.43,2.0,1.3,28.0,0.0,5.6,12.2,18.8,12.2,2.0,13.6,28.0,0.0,8.66,8.8,8.94,8.8,2.0,0.28,28.0,0.0,7.48,8.5,9.52,8.5,2.0,2.12,28.0,0.0,4.77,5.49,6.21,5.49,2.0,1.5,28.0,0.0,75.2,79.9,84.6,79.9,2.0,9.7,28.0,0.0,-53.9,-32.1,-10.2,-32.1,2.0,45.3,28.0,0.0,-1.4,19.8,41.1,19.8,2.0,44.1,28.0,0.0,-34.2,-20.3,-6.4,-20.3,2.0,28.7,28.0,0.0,-0.7,13.1,27.0,13.1,2.0,28.7,28.0,0.0
2025,3,24303,-179.7,40.4,6.3,7.0,7.7,7.0,2.0,1.4,26.0,0.5,76.9,77.9,78.7,75.9,7.0,6.3,18.0,0.9,-95.0,-71.1,-47.2,-71.1,2.0,49.5,26.0,0.5,-11.1,-6.6,-2.1,-6.6,2.0,9.3,26.0,0.5,-16.6,-16.4,-16.3,-16.4,2.0,0.4,26.0,0.5,-5.1,-3.0,-1.0,-3.0,2.0,4.3,26.0,0.5,374.0,665.5,957.0,665.5,2.0,604.0,26.0,0.5,375.0,665.0,955.0,665.0,2.0,605.0,26.0,0.5,6.85,8.25,9.65,8.25,2.0,2.9,26.0,0.5,-9.59,-8.06,-6.54,-8.06,2.0,3.16,26.0,0.5,-1.78,-1.06,-0.34,-1.06,2.0,1.5,26.0,0.5,1016.09,1017.1,1030.09,1022.44,11.0,7.1,16.0,0.8,-0.84,-0.5,-0.16,-0.5,2.0,0.71,26.0,0.5,-8.7,-5.1,-1.6,-5.1,2.0,7.3,26.0,0.5,1.78,2.22,2.66,2.22,2.0,0.92,26.0,0.5,16.4,17.0,17.5,17.0,2.0,1.1,26.0,0.5,10.48,11.5,12.52,11.5,2.0,2.12,26.0,0.5,12.0,12.6,13.14,12.4,7.0,1.23,18.0,0.9,6.78,7.08,7.26,6.78,7.0,0.99,18.0,0.9,76.9,77.9,78.7,75.9,7.0,6.3,18.0,0.9,-130.6,-101.2,-71.9,-101.2,2.0,60.8,26.0,0.5,-17.8,-10.6,-3.4,-10.6,2.0,15.0,26.0,0.5,-70.8,-53.0,-35.2,-53.0,2.0,36.9,26.0,0.5,-8.2,-4.9,-1.6,-4.9,2.0,6.9,26.0,0.5
2025,3,24303,-179.7,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.57,-0.4,1.14,-0.7,4.0,2.52,28.0,0.5,-11.4,-4.1,9.1,-1.3,4.0,12.8,28.0,0.5,1.44,1.52,1.8,1.62,3.0,0.28,26.0,0.3,14.6,14.9,16.0,15.3,3.0,1.0,26.0,0.3,5.95,6.5,7.52,6.73,4.0,0.98,28.0,0.5,5.0,6.35,10.41,7.45,6.0,2.91,22.0,0.7,2.85,4.18,4.34,3.73,5.0,0.82,22.0,0.6,47.8,71.5,75.9,63.2,5.0,17.0,22.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,24303,-179.7,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.9,-10.6,-9.7,-11.3,3.0,2.4,26.0,0.3,7.0,11.1,12.1,9.6,3.0,4.0,26.0,0.3,61.0,294.5,1127.0,506.5,6.0,542.5,22.0,0.7,60.0,295.0,1125.0,505.0,6.0,545.0,22.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,24303,-179.7,48.5,5.2,7.0,8.0,6.4,5.0,2.5,20.0,1.0,58.7,58.9,72.1,65.1,4.0,12.7,14.0,0.8,-185.6,-38.4,109.7,-40.7,7.0,161.3,18.0,0.9,-33.6,0.0,42.1,56.5,7.0,213.8,18.0,0.9,-24.2,-1.6,11.7,-6.0,4.0,23.9,14.0,0.8,-9.7,2.7,36.1,12.7,4.0,37.1,14.0,0.8,230.0,2146.5,3011.5,3207.0,7.0,5327.5,18.0,0.9,230.0,2145.0,3010.0,3205.0,7.0,5325.0,18.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,24303,-179.7,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-1.5,2.0,-0.83,6.0,2.48,18.0,0.8,-22.8,-6.1,21.6,-1.0,6.0,30.5,18.0,0.8,1.4,1.78,2.6,1.99,4.0,0.79,14.0,0.8,7.7,18.1,52.6,29.6,4.0,32.3,14.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.2,8.6,42.1,3.6,6.0,52.3,18.0,0.8,-18.8,2.5,31.0,11.7,6.0,50.0,18.0,0.8,-32.4,-4.7,19.9,-6.2,4.0,30.8,14.0,0.8,-12.8,7.1,40.3,13.5,4.0,40.8,14.0,0.8
2025,3,24303,-179.6,-19.1,2.3,3.0,3.7,3.0,2.0,1.4,16.0,0.0,92.7,95.7,98.6,95.7,2.0,6.1,16.0,0.0,-24.2,-21.2,-18.2,-21.2,2.0,6.2,16.0,0.0,0.7,2.3,3.8,2.3,2.0,3.2,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,4.6,4.94,4.6,2.0,0.71,16.0,0.0,-4.88,-4.56,-4.25,-4.56,2.0,0.65,16.0,0.0,0.14,0.44,0.75,0.44,2.0,0.63,16.0,0.0,1012.32,1013.0,1013.68,1013.0,2.0,1.41,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-121.3,-112.0,-102.7,-112.0,2.0,19.2,16.0,0.0,3.5,11.1,18.6,11.1,2.0,15.7,16.0,0.0,-94.5,-84.5,-74.4,-84.5,2.0,20.9,16.0,0.0,2.8,8.7,14.7,8.7,2.0,12.4,16.0,0.0
2025,3,24303,-179.6,24.4,5.0,5.0,5.0,5.0,1.0,0.0,24.0,1.0,79.2,94.7,95.6,89.6,6.0,9.2,12.0,0.3,-39.7,-39.7,-39.7,-39.7,1.0,0.0,24.0,1.0,-33.3,-33.3,-33.3,-33.3,1.0,0.0,24.0,1.0,-20.3,-20.3,-20.3,-20.3,1.0,0.0,24.0,1.0,-17.0,-17.0,-17.0,-17.0,1.0,0.0,24.0,1.0,373.0,373.0,373.0,373.0,1.0,0.0,24.0,1.0,375.0,375.0,375.0,375.0,1.0,0.0,24.0,1.0,7.2,7.2,7.2,7.2,1.0,0.0,24.0,1.0,-5.52,-5.52,-5.52,-5.52,1.0,0.0,24.0,1.0,-4.63,-4.63,-4.63,-4.63,1.0,0.0,24.0,1.0,1016.85,1022.9,1023.12,1019.95,6.0,5.79,12.0,0.3,-1.0,-1.0,-1.0,-1.0,1.0,0.0,24.0,1.0,-7.2,-7.2,-7.2,-7.2,1.0,0.0,24.0,1.0,3.68,3.68,3.68,3.68,1.0,0.0,24.0,1.0,26.5,26.5,26.5,26.5,1.0,0.0,24.0,1.0,24.0,24.0,24.0,24.0,1.0,0.0,24.0,1.0,21.52,22.8,23.57,22.48,6.0,2.0,12.0,0.3,14.01,16.05,16.39,15.14,6.0,2.17,12.0,0.3,79.2,94.7,95.6,89.6,6.0,9.2,12.0,0.3,-137.9,-137.9,-137.9,-137.9,1.0,0.0,24.0,1.0,-115.7,-115.7,-115.7,-115.7,1.0,0.0,24.0,1.0,-81.8,-81.8,-81.8,-81.8,1.0,0.0,24.0,1.0,-68.6,-68.6,-68.6,-68.6,1.0,0.0,24.0,1.0
