Year/Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,S-Mean Longitude,S-Mean Latitude,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,A-Mean Longitude,A-Mean Latitude,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,Q-Mean Longitude,Q-Mean Latitude,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,R-Mean Longitude_x,R-Mean Latitude_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,W-Mean Longitude,W-Mean Latitude,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,U-Mean Longitude,U-Mean Latitude,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,V-Mean Longitude,V-Mean Latitude,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,P-Mean Longitude,P-Mean Latitude,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,C-Mean Longitude,C-Mean Latitude,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,R-Mean Longitude_y,R-Mean Latitude_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,X=W*U-Mean Longitude,X=W*U-Mean Latitude,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,Y=W*V-Mean Longitude,Y=W*V-Mean Latitude,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,D=S-A-Mean Longitude,D=S-A-Mean Latitude,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,E=(S-A)*W-Mean Longitude,E=(S-A)*W-Mean Latitude,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,F=QS-Q-Mean Longitude,F=QS-Q-Mean Latitude,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,G=(QS-Q)*W-Mean Longitude,G=(QS-Q)*W-Mean Latitude,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,I=U*A-Mean Longitude,I=U*A-Mean Latitude,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,J=V*A-Mean Longitude,J=V*A-Mean Latitude,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,K=U*Q-Mean Longitude,K=U*Q-Mean Latitude,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,L=V*Q-Mean Longitude,L=V*Q-Mean Latitude,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,M=(QS-Q)*U-Mean Longitude,M=(QS-Q)*U-Mean Latitude,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,N=(QS-Q)*V-Mean Longitude,N=(QS-Q)*V-Mean Latitude,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B1=W*W*W-Mean Longitude,B1=W*W*W-Mean Latitude,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,B2=W*W*W-Mean Longitude,B2=W*W*W-Mean Latitude
2024/10,0.0,-38.0,15.0,15.5,16.26,15.63,4.0,0.75,10.0,0.5,0.7,0.4,12.24,13.25,15.57,13.88,4.0,2.25,10.0,0.5,0.7,0.4,7.59,8.74,10.27,8.92,4.0,1.58,10.0,0.5,0.7,0.4,86.0,89.5,95.4,90.7,4.0,6.9,10.0,0.5,0.7,0.4,6.75,7.7,8.7,7.58,5.0,1.47,14.0,0.6,0.6,0.5,-1.59,4.35,6.01,2.34,5.0,5.51,14.0,0.6,0.6,0.5,-3.6,0.0,6.32,0.86,5.0,5.99,14.0,0.6,0.6,0.5,1014.84,1025.6,1026.18,1021.52,5.0,6.19,14.0,0.6,0.6,0.5,3.0,5.0,6.5,4.8,4.0,2.2,18.0,0.5,0.5,0.6,86.0,89.5,95.4,90.7,4.0,6.9,10.0,0.5,0.7,0.4,-14.6,26.0,45.3,14.9,5.0,44.4,14.0,0.6,0.6,0.5,-30.5,0.0,52.2,6.2,5.0,50.0,14.0,0.6,0.6,0.5,-0.05,2.0,3.52,1.75,4.0,2.22,10.0,0.5,0.7,0.4,0.1,15.9,29.2,14.7,4.0,18.4,10.0,0.5,0.7,0.4,0.53,1.76,3.54,2.02,4.0,1.79,10.0,0.5,0.7,0.4,4.4,13.9,29.4,16.8,4.0,15.3,10.0,0.5,0.7,0.4,-36.0,38.5,96.5,30.6,4.0,89.0,10.0,0.5,0.7,0.4,-66.1,23.6,81.0,8.2,4.0,90.4,10.0,0.5,0.7,0.4,-21.3,26.4,62.8,21.0,4.0,55.5,10.0,0.5,0.7,0.4,-45.4,13.8,50.5,3.0,4.0,59.9,10.0,0.5,0.7,0.4,-13.1,3.0,3.5,-4.4,4.0,15.5,10.0,0.5,0.7,0.4,-2.9,10.6,22.5,9.8,4.0,14.7,10.0,0.5,0.7,0.4,338.5,456.5,658.5,472.5,5.0,215.0,14.0,0.6,0.6,0.5,340.0,455.0,660.0,475.0,5.0,215.0,14.0,0.6,0.6,0.5
2024/10,0.0,-36.0,15.22,18.0,18.0,17.13,15.0,1.3,22.0,0.7,0.4,0.5,16.07,19.0,20.0,18.2,18.0,2.25,20.0,0.6,0.5,0.6,9.53,11.63,11.63,10.65,17.0,1.57,20.0,0.6,0.5,0.5,80.4,81.3,87.3,82.5,17.0,7.7,20.0,0.6,0.5,0.5,5.1,9.8,9.8,8.17,18.0,2.28,20.0,0.6,0.5,0.6,-1.41,5.47,6.3,3.08,18.0,3.93,20.0,0.6,0.5,0.6,-7.51,-7.51,-1.34,-5.27,18.0,4.57,20.0,0.6,0.5,0.6,1016.71,1028.1,1028.1,1024.25,18.0,5.34,20.0,0.6,0.5,0.6,6.0,6.0,6.1,6.0,13.0,1.1,22.0,0.7,0.3,0.5,80.4,81.3,87.3,82.5,17.0,7.7,20.0,0.6,0.5,0.5,-6.4,52.5,61.7,33.1,18.0,33.6,20.0,0.6,0.5,0.6,-73.6,-73.6,-7.8,-51.0,18.0,39.3,20.0,0.6,0.5,0.6,-2.0,-2.0,-1.22,-1.55,15.0,1.51,22.0,0.7,0.4,0.5,-19.6,-19.6,-10.3,-13.9,15.0,10.4,22.0,0.7,0.4,0.5,1.0,1.0,2.58,1.27,14.0,1.35,22.0,0.6,0.4,0.4,9.8,9.8,14.6,10.7,14.0,8.6,22.0,0.6,0.4,0.4,-20.8,102.5,126.0,62.0,18.0,74.9,20.0,0.6,0.5,0.6,-150.1,-150.1,-29.6,-100.2,18.0,83.7,20.0,0.6,0.5,0.6,-7.6,73.3,73.3,40.1,17.0,41.2,20.0,0.6,0.5,0.5,-87.3,-87.3,-15.7,-60.2,17.0,49.1,20.0,0.6,0.5,0.5,5.8,6.3,6.3,5.3,14.0,5.4,22.0,0.6,0.4,0.4,-9.6,-7.5,-7.5,-6.7,14.0,9.5,22.0,0.6,0.4,0.4,132.5,941.0,941.0,657.5,18.0,401.0,20.0,0.6,0.5,0.6,135.0,940.0,940.0,660.0,18.0,400.0,20.0,0.6,0.5,0.6
2024/10,0.0,-34.0,17.9,18.0,18.34,18.03,13.0,0.55,16.0,0.5,0.5,0.7,16.0,16.0,18.1,16.81,13.0,1.55,16.0,0.5,0.5,0.7,8.07,10.1,10.68,9.64,11.0,1.76,16.0,0.5,0.4,0.6,66.8,81.5,90.2,80.9,13.0,11.0,16.0,0.5,0.5,0.7,5.0,8.7,9.82,7.62,13.0,2.56,16.0,0.5,0.5,0.7,-8.51,-4.63,3.1,-3.09,13.0,5.37,16.0,0.5,0.5,0.7,-8.48,0.0,4.9,-0.18,13.0,5.51,16.0,0.5,0.5,0.7,1016.52,1019.0,1029.68,1021.29,17.0,5.99,18.0,0.6,0.4,0.7,2.3,6.0,7.7,5.2,9.0,2.5,16.0,0.4,0.4,0.6,66.8,81.5,90.2,80.9,13.0,11.0,16.0,0.5,0.5,0.7,-76.4,-26.0,17.8,-23.7,13.0,50.0,16.0,0.5,0.5,0.7,-78.2,0.0,40.5,-6.7,13.0,51.6,16.0,0.5,0.5,0.7,-0.1,1.7,2.3,1.22,13.0,1.27,16.0,0.5,0.5,0.7,-0.3,11.3,20.0,10.1,13.0,10.2,16.0,0.5,0.5,0.7,2.09,2.88,4.7,3.09,11.0,1.48,16.0,0.5,0.4,0.6,12.4,25.0,30.9,23.6,11.0,15.1,16.0,0.5,0.4,0.6,-136.1,-64.8,56.0,-49.0,13.0,87.2,16.0,0.5,0.5,0.7,-140.6,0.0,77.3,-6.8,13.0,94.3,16.0,0.5,0.5,0.7,-86.7,-26.6,34.1,-26.1,11.0,53.9,16.0,0.5,0.4,0.6,-76.4,0.0,44.4,-6.6,11.0,60.1,16.0,0.5,0.4,0.6,-24.7,-12.5,5.8,-7.3,11.0,20.1,16.0,0.5,0.4,0.6,-8.1,0.0,13.4,1.2,11.0,19.4,16.0,0.5,0.4,0.6,126.5,658.5,947.0,575.5,13.0,434.5,16.0,0.5,0.5,0.7,125.0,660.0,945.0,575.0,13.0,435.0,16.0,0.5,0.5,0.7
2024/10,0.0,-32.0,18.0,18.0,18.0,18.0,1.0,0.0,14.0,0.0,0.1,0.9,17.16,17.5,17.84,17.5,2.0,0.71,18.0,0.0,0.4,0.9,9.29,10.14,10.99,10.14,2.0,1.76,18.0,0.0,0.4,0.9,77.3,82.6,87.9,82.6,2.0,11.0,18.0,0.0,0.4,0.9,7.7,7.7,10.8,8.69,9.0,3.13,26.0,0.8,0.7,0.8,-10.15,-1.82,7.58,-0.7,9.0,8.35,26.0,0.8,0.7,0.8,-3.69,-1.34,0.41,-0.36,9.0,4.94,26.0,0.8,0.7,0.8,1028.2,1028.2,1028.2,1027.78,9.0,2.03,26.0,0.8,0.7,0.8,3.0,3.0,3.0,3.0,3.0,0.0,28.0,1.0,0.6,0.8,77.3,82.6,87.9,82.6,2.0,11.0,18.0,0.0,0.4,0.9,-109.6,-3.8,58.4,-17.3,9.0,79.2,26.0,0.8,0.7,0.8,-39.9,-10.3,-1.2,-0.3,9.0,60.9,26.0,0.8,0.7,0.8,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.1,0.9,1.22,1.22,1.22,1.22,1.0,0.0,14.0,0.0,0.1,0.9,15.8,15.8,15.8,15.8,1.0,0.0,14.0,0.0,0.1,0.9,-71.7,-55.2,-38.6,-55.2,2.0,34.3,18.0,0.0,0.4,0.9,49.6,118.0,186.4,118.0,2.0,141.7,18.0,0.0,0.4,0.9,-44.8,-33.2,-21.6,-33.2,2.0,24.1,18.0,0.0,0.4,0.9,29.8,73.7,117.6,73.7,2.0,91.0,18.0,0.0,0.4,0.9,-5.4,-5.4,-5.4,-5.4,1.0,0.0,14.0,0.0,0.1,0.9,14.8,14.8,14.8,14.8,1.0,0.0,14.0,0.0,0.1,0.9,456.5,456.5,1259.5,862.5,9.0,662.5,26.0,0.8,0.7,0.8,455.0,455.0,1260.0,860.0,9.0,660.0,26.0,0.8,0.7,0.8
2024/10,0.0,-30.0,18.0,19.0,20.0,18.99,12.0,0.82,18.0,0.5,0.6,0.6,17.0,18.15,20.0,18.43,12.0,1.56,18.0,0.4,0.6,0.7,8.8,9.97,12.11,10.16,10.0,2.12,18.0,0.4,0.6,0.7,70.8,80.6,87.2,79.0,10.0,12.8,18.0,0.4,0.6,0.7,4.0,7.2,9.35,6.49,13.0,2.48,18.0,0.5,0.6,0.7,-5.35,-2.63,2.27,-1.94,13.0,4.69,18.0,0.5,0.6,0.7,-0.23,3.91,7.2,3.26,13.0,3.77,18.0,0.5,0.6,0.7,1021.82,1026.8,1028.31,1025.56,16.0,3.48,18.0,0.4,0.6,0.7,3.6,5.0,6.0,5.0,11.0,1.4,20.0,0.5,0.5,0.7,70.8,80.6,87.2,79.0,10.0,12.8,18.0,0.4,0.6,0.7,-42.6,-10.8,9.4,-15.6,13.0,41.2,18.0,0.5,0.6,0.7,-0.7,19.9,52.2,25.5,13.0,28.4,18.0,0.5,0.6,0.7,-1.41,0.0,2.04,0.35,11.0,1.83,18.0,0.5,0.6,0.7,-5.7,0.0,8.5,1.5,11.0,11.3,18.0,0.5,0.6,0.7,0.39,3.2,3.94,2.87,9.0,2.29,18.0,0.4,0.6,0.7,2.3,11.7,28.4,14.6,9.0,13.5,18.0,0.4,0.6,0.7,-90.7,-43.8,46.1,-27.1,12.0,81.3,18.0,0.4,0.6,0.7,8.3,83.0,123.2,65.5,12.0,67.2,18.0,0.4,0.6,0.7,-31.2,-8.0,35.2,-0.3,10.0,40.6,18.0,0.4,0.6,0.7,-8.6,52.8,71.3,35.7,10.0,42.4,18.0,0.4,0.6,0.7,-5.8,0.0,6.7,0.2,9.0,10.6,18.0,0.4,0.6,0.7,-6.5,3.9,23.2,7.5,9.0,15.8,18.0,0.4,0.6,0.7,65.0,373.0,817.5,382.0,13.0,334.0,18.0,0.5,0.6,0.7,65.0,375.0,815.0,380.0,13.0,335.0,18.0,0.5,0.6,0.7
2024/10,0.0,-28.0,18.0,18.95,19.79,18.8,10.0,1.27,10.0,0.5,0.4,0.4,17.0,18.0,19.37,18.12,27.0,1.26,14.0,0.7,0.5,0.5,9.29,9.61,10.48,9.62,25.0,0.97,14.0,0.7,0.5,0.5,69.9,74.7,80.5,75.6,26.0,7.8,14.0,0.7,0.5,0.5,5.45,7.2,9.07,7.06,11.0,2.14,12.0,0.5,0.5,0.5,-3.87,-1.79,0.44,-1.18,11.0,3.52,12.0,0.5,0.5,0.5,-4.34,4.1,8.71,2.82,11.0,6.07,12.0,0.5,0.5,0.5,1015.86,1023.25,1026.0,1021.54,30.0,4.56,14.0,0.7,0.5,0.5,4.0,7.0,8.0,6.2,11.0,1.9,12.0,0.5,0.5,0.6,69.9,74.7,80.5,75.6,26.0,7.8,14.0,0.7,0.5,0.5,-24.5,-18.4,2.8,-7.3,11.0,25.8,12.0,0.5,0.5,0.5,-21.3,24.9,78.0,27.5,11.0,51.0,12.0,0.5,0.5,0.5,0.34,1.0,1.91,1.25,10.0,1.25,10.0,0.5,0.4,0.4,2.4,7.7,14.5,11.7,7.0,13.9,10.0,0.4,0.4,0.4,3.08,3.84,5.83,4.13,9.0,1.46,10.0,0.6,0.5,0.4,14.2,24.8,56.6,32.7,6.0,23.4,10.0,0.5,0.5,0.4,-65.7,-14.3,10.5,-10.2,10.0,59.8,12.0,0.5,0.5,0.5,-84.2,78.2,145.6,48.3,10.0,107.2,12.0,0.5,0.5,0.5,-37.3,-6.8,9.1,-6.8,8.0,33.3,10.0,0.5,0.6,0.4,-27.5,39.8,62.1,26.3,8.0,47.6,10.0,0.5,0.6,0.4,-12.1,-6.0,13.0,2.4,6.0,22.6,10.0,0.5,0.5,0.4,-11.9,15.7,35.2,15.5,6.0,32.0,10.0,0.5,0.5,0.4,163.5,373.0,775.0,440.5,11.0,357.5,12.0,0.5,0.5,0.5,165.0,375.0,775.0,440.0,11.0,360.0,12.0,0.5,0.5,0.5
2024/10,0.0,-26.0,19.16,19.5,19.84,19.5,2.0,0.71,20.0,1.0,0.5,0.4,17.2,17.2,19.46,18.32,5.0,2.09,18.0,0.4,0.6,0.7,9.6,9.62,11.21,10.26,5.0,0.92,18.0,0.4,0.6,0.7,75.2,79.9,83.5,79.4,5.0,7.8,18.0,0.4,0.6,0.7,4.33,5.9,7.47,5.9,2.0,3.25,20.0,1.0,0.5,0.4,1.75,4.17,6.58,4.17,2.0,5.01,20.0,1.0,0.5,0.4,-2.54,-0.37,1.8,-0.37,2.0,4.49,20.0,1.0,0.5,0.4,1018.36,1023.4,1023.6,1021.46,5.0,2.84,18.0,0.4,0.6,0.7,4.0,4.0,4.0,4.0,1.0,0.0,12.0,1.0,0.6,0.6,75.2,79.9,83.5,79.4,5.0,7.8,18.0,0.4,0.6,0.7,11.9,32.7,53.5,32.7,2.0,43.1,20.0,1.0,0.5,0.4,-7.1,5.1,17.3,5.1,2.0,25.3,20.0,1.0,0.5,0.4,-2.21,-0.5,1.21,-0.5,2.0,3.54,20.0,1.0,0.5,0.4,-19.6,-8.7,2.2,-8.7,2.0,22.5,20.0,1.0,0.5,0.4,2.59,2.76,2.94,2.76,2.0,0.37,20.0,1.0,0.5,0.4,12.4,15.7,19.0,15.7,2.0,6.8,20.0,1.0,0.5,0.4,36.4,90.4,144.4,90.4,2.0,111.9,20.0,1.0,0.5,0.4,-43.9,-1.1,41.8,-1.1,2.0,88.8,20.0,1.0,0.5,0.4,19.6,46.3,73.0,46.3,2.0,55.3,20.0,1.0,0.5,0.4,-29.2,-4.7,19.7,-4.7,2.0,50.7,20.0,1.0,0.5,0.4,4.7,10.6,16.5,10.6,2.0,12.3,20.0,1.0,0.5,0.4,-7.9,-1.8,4.2,-1.8,2.0,12.5,20.0,1.0,0.5,0.4,127.0,299.0,471.5,299.0,2.0,357.0,20.0,1.0,0.5,0.4,125.0,300.0,470.0,300.0,2.0,355.0,20.0,1.0,0.5,0.4
2024/10,0.0,-24.0,19.0,19.0,19.0,19.0,2.0,0.0,4.0,1.0,0.4,0.3,17.14,17.5,17.67,17.49,7.0,0.88,12.0,0.4,0.3,0.2,9.48,10.0,10.13,9.79,7.0,0.91,12.0,0.4,0.3,0.2,79.0,81.0,81.5,79.5,7.0,3.7,12.0,0.4,0.3,0.2,6.2,6.2,6.2,6.2,1.0,0.0,6.0,1.0,0.4,0.5,4.75,4.75,4.75,4.75,1.0,0.0,6.0,1.0,0.4,0.5,3.99,3.99,3.99,3.99,1.0,0.0,6.0,1.0,0.4,0.5,1020.36,1022.1,1023.39,1021.79,8.0,1.9,14.0,0.5,0.4,0.3,1.1,3.5,5.9,3.5,2.0,4.9,4.0,1.0,0.4,0.3,79.0,81.0,81.5,79.5,7.0,3.7,12.0,0.4,0.3,0.2,29.4,29.4,29.4,29.4,1.0,0.0,6.0,1.0,0.4,0.5,24.7,24.7,24.7,24.7,1.0,0.0,6.0,1.0,0.4,0.5,0.48,1.5,2.52,1.5,2.0,2.12,4.0,1.0,0.4,0.3,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.4,0.5,3.12,4.12,5.13,4.12,2.0,2.08,4.0,1.0,0.4,0.3,16.4,16.4,16.4,16.4,1.0,0.0,6.0,1.0,0.4,0.5,90.2,90.2,90.2,90.2,1.0,0.0,6.0,1.0,0.4,0.5,75.7,75.7,75.7,75.7,1.0,0.0,6.0,1.0,0.4,0.5,52.0,52.0,52.0,52.0,1.0,0.0,6.0,1.0,0.4,0.5,43.6,43.6,43.6,43.6,1.0,0.0,6.0,1.0,0.4,0.5,12.6,12.6,12.6,12.6,1.0,0.0,6.0,1.0,0.4,0.5,10.6,10.6,10.6,10.6,1.0,0.0,6.0,1.0,0.4,0.5,238.5,238.5,238.5,238.5,1.0,0.0,6.0,1.0,0.4,0.5,240.0,240.0,240.0,240.0,1.0,0.0,6.0,1.0,0.4,0.5
2024/10,0.0,-22.0,18.0,18.0,19.37,18.67,3.0,1.15,24.0,1.0,0.4,0.4,16.0,19.0,21.95,19.0,5.0,3.0,20.0,1.0,0.6,0.6,9.47,10.71,10.92,10.24,5.0,1.06,20.0,1.0,0.6,0.6,64.2,67.0,93.4,76.9,5.0,16.8,20.0,1.0,0.6,0.6,6.28,6.45,6.62,6.45,2.0,0.35,24.0,1.0,0.4,0.4,-3.15,-2.74,-2.32,-2.74,2.0,0.87,24.0,1.0,0.4,0.4,5.81,5.81,5.82,5.81,2.0,0.02,24.0,1.0,0.4,0.4,1020.94,1021.4,1022.2,1021.5,5.0,0.72,20.0,1.0,0.6,0.6,6.3,7.0,7.7,7.0,3.0,1.0,24.0,1.0,0.4,0.4,64.2,67.0,93.4,76.9,5.0,16.8,20.0,1.0,0.6,0.6,-21.0,-17.8,-14.6,-17.8,2.0,6.6,24.0,1.0,0.4,0.4,36.6,37.5,38.4,37.5,2.0,1.9,24.0,1.0,0.4,0.4,1.32,2.0,2.0,1.67,3.0,0.58,24.0,1.0,0.4,0.4,7.6,9.6,11.5,9.6,2.0,4.0,24.0,1.0,0.4,0.4,1.89,2.69,4.89,3.38,3.0,2.27,24.0,1.0,0.4,0.4,14.2,24.5,34.8,24.5,2.0,21.3,24.0,1.0,0.4,0.4,-58.9,-48.8,-38.6,-48.8,2.0,21.0,24.0,1.0,0.4,0.4,95.9,101.7,107.5,101.7,2.0,12.0,24.0,1.0,0.4,0.4,-27.7,-26.1,-24.5,-26.1,2.0,3.4,24.0,1.0,0.4,0.4,51.8,57.2,62.6,57.2,2.0,11.2,24.0,1.0,0.4,0.4,-17.2,-11.5,-5.9,-11.5,2.0,11.7,24.0,1.0,0.4,0.4,12.9,21.6,30.3,21.6,2.0,18.0,24.0,1.0,0.4,0.4,248.0,269.5,291.0,269.5,2.0,44.0,24.0,1.0,0.4,0.4,250.0,270.0,290.0,270.0,2.0,45.0,24.0,1.0,0.4,0.4
2024/10,0.0,-20.0,19.63,20.0,20.73,20.2,5.0,1.1,20.0,0.2,0.5,0.6,18.18,18.8,19.0,18.89,13.0,1.2,16.0,0.2,0.5,0.6,10.55,10.65,10.81,10.65,11.0,0.39,16.0,0.3,0.5,0.6,78.4,80.0,81.0,79.3,13.0,6.4,16.0,0.2,0.5,0.6,8.53,10.3,12.02,10.42,5.0,2.86,20.0,0.2,0.5,0.6,-8.53,-7.12,-4.96,-6.89,5.0,2.05,20.0,0.2,0.5,0.6,5.81,6.62,9.86,7.7,5.0,2.49,20.0,0.2,0.5,0.6,1019.37,1020.2,1021.13,1020.12,12.0,1.02,16.0,0.3,0.5,0.7,7.3,8.0,8.0,7.7,3.0,0.6,20.0,0.3,0.6,0.7,78.4,80.0,81.0,79.3,13.0,6.4,16.0,0.2,0.5,0.6,-104.4,-66.3,-45.8,-75.7,5.0,42.4,20.0,0.2,0.5,0.6,49.8,68.2,121.3,85.5,5.0,52.1,20.0,0.2,0.5,0.6,1.0,1.1,2.14,1.55,4.0,0.97,18.0,0.0,0.5,0.6,9.8,14.2,19.9,14.8,4.0,6.0,18.0,0.0,0.5,0.6,4.19,5.18,6.17,5.18,2.0,2.05,20.0,0.0,0.4,0.5,49.0,51.8,54.6,51.8,2.0,5.8,20.0,0.0,0.4,0.5,-162.6,-138.7,-110.5,-136.6,4.0,38.3,18.0,0.0,0.5,0.6,109.0,116.4,169.9,138.4,4.0,52.1,18.0,0.0,0.5,0.6,-94.0,-74.1,-54.2,-74.1,2.0,41.3,20.0,0.0,0.4,0.5,64.6,88.3,112.0,88.3,2.0,49.2,20.0,0.0,0.4,0.5,-35.1,-33.3,-31.5,-33.3,2.0,3.7,20.0,0.0,0.4,0.5,37.6,39.7,41.9,39.7,2.0,4.5,20.0,0.0,0.4,0.5,647.0,1092.5,1926.0,1347.5,5.0,1171.0,20.0,0.2,0.5,0.6,645.0,1095.0,1925.0,1350.0,5.0,1170.0,20.0,0.2,0.5,0.6
